category,dataset,model,mean_accuracy,n_seed,chance_level
Type-II,AD65,bendr,0.3333333333333333,3,0.3333333333333333
Type-II,AD65,biot,0.4913908399868953,3,0.3333333333333333
Type-II,AD65,brainomni,0.4621848103130645,3,0.3333333333333333
Type-II,AD65,cbramod,0.5824043093799853,3,0.3333333333333333
Type-II,AD65,eegmamba,0.3895536114071299,3,0.3333333333333333
Type-II,AD65,femba,0.470062839204797,3,0.3333333333333333
Type-II,AD65,labram,0.4572272678024773,3,0.3333333333333333
Type-II,AD65,neurogpt,0.409620639060214,3,0.3333333333333333
Type-II,AD65,neurolm,0.33884834736773,3,0.3333333333333333
Type-II,AD65,reve,0.5268178057456395,3,0.3333333333333333
Type-II,ADHD,bendr,0.5,3,0.5
Type-II,ADHD,biot,0.5349073178627651,3,0.5
Type-II,ADHD,brainomni,0.6274531917133007,3,0.5
Type-II,ADHD,cbramod,0.6655692516568475,3,0.5
Type-II,ADHD,eegmamba,0.551896189156233,3,0.5
Type-II,ADHD,femba,0.6416145093812684,3,0.5
Type-II,ADHD,labram,0.5800913945347873,3,0.5
Type-II,ADHD,neurogpt,0.6984804586001311,3,0.5
Type-II,ADHD,neurolm,0.6618654939255818,3,0.5
Type-II,ADHD,reve,0.561231088966743,3,0.5
Type-II,Depression_rest,bendr,0.5,2,0.5
Type-II,Depression_rest,biot,0.5050598396581956,2,0.5
Type-II,Depression_rest,brainomni,0.5005237751919864,2,0.5
Type-II,Depression_rest,cbramod,0.5087352555532055,2,0.5
Type-II,Depression_rest,eegmamba,0.49946042605168084,2,0.5
Type-II,Depression_rest,femba,0.5216141958053699,2,0.5
Type-II,Depression_rest,labram,0.5002338634237605,2,0.5
Type-II,Depression_rest,neurogpt,0.5026188233754709,2,0.5
Type-II,Depression_rest,neurolm,0.5034979375548457,2,0.5
Type-II,Depression_rest,reve,0.5112061122648446,3,0.5
Type-II,EEG_Mortality_PD,bendr,0.5,3,0.5
Type-II,EEG_Mortality_PD,biot,0.6233957592478293,3,0.5
Type-II,EEG_Mortality_PD,brainomni,0.501493814349674,3,0.5
Type-II,EEG_Mortality_PD,cbramod,0.5295698356579864,3,0.5
Type-II,EEG_Mortality_PD,eegmamba,0.5014364879507099,3,0.5
Type-II,EEG_Mortality_PD,femba,0.4999614683740985,3,0.5
Type-II,EEG_Mortality_PD,labram,0.5161004938873287,3,0.5
Type-II,EEG_Mortality_PD,neurogpt,0.5302761236857642,3,0.5
Type-II,EEG_Mortality_PD,neurolm,0.5595050478472441,3,0.5
Type-II,EEG_Mortality_PD,reve,0.5675348986475972,3,0.5
Type-II,HFO,bendr,0.5,3,0.5
Type-II,HFO,biot,0.5858300698992059,3,0.5
Type-II,HFO,brainomni,0.5582315492437283,3,0.5
