category,dataset,model,mean_accuracy,n_seed,chance_level
Type-I,HFO,bendr,0.5044479031,1,0.5
Type-I,HFO,biot,0.5806066093,1,0.5
Type-I,HFO,brainomni,0.5564574922,1,0.5
Type-I,HFO,cbramod,0.5766793022,1,0.5
Type-I,HFO,eegmamba,0.5771836937,1,0.5
Type-I,HFO,femba,0.5234025488,1,0.5
Type-I,HFO,labram,0.5350701175,1,0.5
Type-I,HFO,neurogpt,0.5424831628,1,0.5
Type-I,HFO,neurolm,0.5430686724,1,0.5
Type-I,HFO,reve,0.5079511864,1,0.5
Type-I,Longitudinal_EEG_Reliability,bendr,,1,0.5
Type-I,Longitudinal_EEG_Reliability,biot,0.7248532404,1,0.5
Type-I,Longitudinal_EEG_Reliability,brainomni,0.7395250489,1,0.5
Type-I,Longitudinal_EEG_Reliability,cbramod,0.6481660334,1,0.5
Type-I,Longitudinal_EEG_Reliability,eegmamba,0.6772462842,1,0.5
Type-I,Longitudinal_EEG_Reliability,femba,0.7231910475,1,0.5
Type-I,Longitudinal_EEG_Reliability,labram,0.6922392711,1,0.5
Type-I,Longitudinal_EEG_Reliability,neurogpt,0.6531964433,1,0.5
Type-I,Longitudinal_EEG_Reliability,neurolm,0.7370455514,1,0.5
Type-I,Longitudinal_EEG_Reliability,reve,0.6378437365,1,0.5
Type-II,AD65,bendr,0.3380938519,1,0.3333333333333333
Type-II,AD65,biot,0.5083650017,1,0.3333333333333333
Type-II,AD65,brainomni,0.4526938154,1,0.3333333333333333
Type-II,AD65,cbramod,0.3768715484,1,0.3333333333333333
Type-II,AD65,eegmamba,0.3766767197,1,0.3333333333333333
Type-II,AD65,femba,0.4557655967,1,0.3333333333333333
Type-II,AD65,labram,0.4739906521,1,0.3333333333333333
Type-II,AD65,neurogpt,0.4195187923,1,0.3333333333333333
Type-II,AD65,neurolm,0.3808167938,1,0.3333333333333333
Type-II,AD65,reve,0.3375522119,1,0.3333333333333333
Type-II,ADHD,bendr,,1,0.5
Type-II,ADHD,biot,0.5512292352,1,0.5
Type-II,ADHD,brainomni,0.6300522351,1,0.5
Type-II,ADHD,cbramod,0.5478054871,1,0.5
Type-II,ADHD,eegmamba,0.5503674088,1,0.5
Type-II,ADHD,femba,0.6567658386,1,0.5
Type-II,ADHD,labram,0.5681207865,1,0.5
Type-II,ADHD,neurogpt,0.7140571154,1,0.5
Type-II,ADHD,neurolm,0.6291939858,1,0.5
Type-II,ADHD,reve,,1,0.5
Type-II,Depression_rest,bendr,0.5,1,0.5
Type-II,Depression_rest,biot,,1,0.5
Type-II,Depression_rest,brainomni,0.5003663051,1,0.5
Type-II,Depression_rest,cbramod,0.5,1,0.5
Type-II,Depression_rest,eegmamba,,1,0.5
Type-II,Depression_rest,femba,0.5193399261,1,0.5
Type-II,Depression_rest,labram,0.5001933251,1,0.5
Type-II,Depression_rest,neurogpt,0.5064696045,1,0.5
Type-II,Depression_rest,neurolm,0.501085162,1,0.5
Type-II,Depression_rest,reve,,1,0.5
Type-II,EEG_Mortality_PD,bendr,,1,0.5
Type-II,EEG_Mortality_PD,biot,0.5788793964,1,0.5
Type-II,EEG_Mortality_PD,brainomni,0.5,1,0.5
Type-II,EEG_Mortality_PD,cbramod,0.5,1,0.5
Type-II,EEG_Mortality_PD,eegmamba,0.5024737642,1,0.5
Type-II,EEG_Mortality_PD,femba,0.502025467,1,0.5
Type-II,EEG_Mortality_PD,labram,0.5,1,0.5
Type-II,EEG_Mortality_PD,neurogpt,0.5,1,0.5
Type-II,EEG_Mortality_PD,neurolm,0.5273554184,1,0.5
Type-II,EEG_Mortality_PD,reve,0.5010684803,1,0.5
Type-II,LEMON_age,bendr,0.3333467708,1,0.25
Type-II,LEMON_age,biot,0.4857103562,1,0.25
Type-II,LEMON_age,brainomni,0.4552551106,1,0.25
Type-II,LEMON_age,cbramod,0.3333333333,1,0.25
Type-II,LEMON_age,eegmamba,0.3315098192,1,0.25
Type-II,LEMON_age,femba,0.4824340638,1,0.25
Type-II,LEMON_age,labram,0.4375867142,1,0.25
Type-II,LEMON_age,neurogpt,0.4307553226,1,0.25
Type-II,LEMON_age,neurolm,0.3885612784,1,0.25
Type-II,LEMON_age,reve,0.4390467141,1,0.25
Type-II,LEMON_extraversial,bendr,0.5032452984,1,0.5
Type-II,LEMON_extraversial,biot,,1,0.5
Type-II,LEMON_extraversial,brainomni,,1,0.5
Type-II,LEMON_extraversial,cbramod,0.5273440796,1,0.5
Type-II,LEMON_extraversial,eegmamba,0.5062660046,1,0.5
Type-II,LEMON_extraversial,femba,0.5192380673,1,0.5
Type-II,LEMON_extraversial,labram,0.5016329018,1,0.5
Type-II,LEMON_extraversial,neurogpt,,1,0.5
Type-II,LEMON_extraversial,neurolm,0.5087713277,1,0.5
Type-II,LEMON_extraversial,reve,0.5039384319,1,0.5
Type-II,LEMON_gender,bendr,,1,0.5
Type-II,LEMON_gender,biot,0.5802646216,1,0.5
Type-II,LEMON_gender,brainomni,0.5375259221,1,0.5
Type-II,LEMON_gender,cbramod,0.5051081517,1,0.5
Type-II,LEMON_gender,eegmamba,,1,0.5
Type-II,LEMON_gender,femba,0.5535349971,1,0.5
Type-II,LEMON_gender,labram,0.5778729528,1,0.5
Type-II,LEMON_gender,neurogpt,0.5327322976,1,0.5
Type-II,LEMON_gender,neurolm,0.5816966123,1,0.5
Type-II,LEMON_gender,reve,0.5372104918,1,0.5
Type-II,MDD,bendr,0.5259175865,1,0.5
Type-II,MDD,biot,0.8616941314,1,0.5
Type-II,MDD,brainomni,0.9959199063,1,0.5
Type-II,MDD,cbramod,0.7495484678,1,0.5
Type-II,MDD,eegmamba,0.7056463875,1,0.5
Type-II,MDD,femba,0.7440077518,1,0.5
Type-II,MDD,labram,0.7441721363,1,0.5
Type-II,MDD,neurogpt,0.631404687,1,0.5
Type-II,MDD,neurolm,0.9195157366,1,0.5
Type-II,MDD,reve,0.8237497243,1,0.5
Type-II,MODMA,bendr,0.5,1,0.5
Type-II,MODMA,biot,0.5,1,0.5
Type-II,MODMA,brainomni,0.6572939068,1,0.5
Type-II,MODMA,cbramod,0.5,1,0.5
Type-II,MODMA,eegmamba,0.6102150538,1,0.5
Type-II,MODMA,femba,0.7727240143,1,0.5
Type-II,MODMA,labram,0.5,1,0.5
Type-II,MODMA,neurogpt,0.5435483871,1,0.5
Type-II,MODMA,reve,0.5720430108,1,0.5
Type-II,PD31,bendr,,1,0.5
Type-II,PD31,biot,0.5513340679,1,0.5
Type-II,PD31,brainomni,0.5579297625,1,0.5
Type-II,PD31,cbramod,0.521126873,1,0.5
Type-II,PD31,eegmamba,,1,0.5
Type-II,PD31,femba,0.5779354923,1,0.5
Type-II,PD31,labram,0.5008895482,1,0.5
Type-II,PD31,neurogpt,,1,0.5
Type-II,PD31,neurolm,0.5136355423,1,0.5
Type-II,PD31,reve,0.5859328092,1,0.5
Type-II,Siena_EEG,bendr,0.6303823243,1,0.5
Type-II,Siena_EEG,biot,0.6522737433,1,0.5
Type-II,Siena_EEG,brainomni,0.6406104774,1,0.5
Type-II,Siena_EEG,cbramod,0.7993955775,1,0.5
Type-II,Siena_EEG,eegmamba,0.7321505031,1,0.5
Type-II,Siena_EEG,femba,0.5112056265,1,0.5
Type-II,Siena_EEG,labram,0.7242642703,1,0.5
Type-II,Siena_EEG,neurogpt,,1,0.5
Type-II,Siena_EEG,neurolm,0.7737207607,1,0.5
Type-II,Siena_EEG,reve,0.5441166973,1,0.5
Type-II,TDBRAIN,bendr,0.2783985102,1,0.25
Type-II,TDBRAIN,biot,0.3914605346,1,0.25
Type-II,TDBRAIN,brainomni,0.4086903173,1,0.25
Type-II,TDBRAIN,cbramod,0.3411323547,1,0.25
Type-II,TDBRAIN,eegmamba,0.3232964272,1,0.25
Type-II,TDBRAIN,femba,0.3993623709,1,0.25
Type-II,TDBRAIN,labram,0.3911326599,1,0.25
Type-II,TDBRAIN,neurogpt,0.383654312,1,0.25
Type-II,TDBRAIN,neurolm,0.3875216834,1,0.25
Type-II,TDBRAIN,reve,0.3074353306,1,0.25
Type-II,TUAB,bendr,0.5,1,0.5
Type-II,TUAB,biot,0.7864577894,1,0.5
Type-II,TUAB,brainomni,0.7308094862,1,0.5
Type-II,TUAB,cbramod,0.737741292,1,0.5
Type-II,TUAB,eegmamba,0.6767340355,1,0.5
Type-II,TUAB,femba,0.7103901749,1,0.5
Type-II,TUAB,labram,0.7405061852,1,0.5
Type-II,TUAB,neurogpt,0.6503756149,1,0.5
Type-II,TUAB,neurolm,0.7084226795,1,0.5
Type-II,TUAB,reve,0.6388725262,1,0.5
Type-II,TUEP,bendr,,1,0.5
Type-II,TUEP,biot,0.5871542376,1,0.5
Type-II,TUEP,brainomni,0.5988083572,1,0.5
Type-II,TUEP,cbramod,0.6124527403,1,0.5
Type-II,TUEP,eegmamba,0.6077711352,1,0.5
Type-II,TUEP,femba,0.5333030141,1,0.5
Type-II,TUEP,labram,0.6271914919,1,0.5
Type-II,TUEP,neurogpt,0.5301815727,1,0.5
Type-II,TUEP,neurolm,0.6171618726,1,0.5
Type-II,TUEP,reve,0.5054729461,1,0.5
Type-II,TUEV,bendr,,1,0.16666666666666666
Type-II,TUEV,biot,0.6930945712,1,0.16666666666666666
Type-II,TUEV,brainomni,0.4239683825,1,0.16666666666666666
Type-II,TUEV,cbramod,0.2812555307,1,0.16666666666666666
Type-II,TUEV,eegmamba,0.3128657288,1,0.16666666666666666
Type-II,TUEV,femba,0.426512999,1,0.16666666666666666
Type-II,TUEV,labram,0.4137375307,1,0.16666666666666666
Type-II,TUEV,neurogpt,0.323925371,1,0.16666666666666666
Type-II,TUEV,neurolm,0.2838490657,1,0.16666666666666666
Type-II,TUEV,reve,0.1916919695,1,0.16666666666666666
Type-II,TUSL,bendr,,1,0.3333333333333333
Type-II,TUSL,biot,0.6043817294,1,0.3333333333333333
Type-II,TUSL,brainomni,0.4724849225,1,0.3333333333333333
Type-II,TUSL,cbramod,0.4737234987,1,0.3333333333333333
Type-II,TUSL,eegmamba,0.4917200084,1,0.3333333333333333
Type-II,TUSL,femba,0.5323297073,1,0.3333333333333333
Type-II,TUSL,labram,0.3835719836,1,0.3333333333333333
Type-II,TUSL,neurogpt,0.4426551843,1,0.3333333333333333
Type-II,TUSL,neurolm,0.4662784746,1,0.3333333333333333
Type-II,TUSL,reve,0.4503980587,1,0.3333333333333333
Type-III,Awakening,bendr,,1,0.5
Type-III,Awakening,biot,0.6022660819,1,0.5
Type-III,Awakening,brainomni,0.7229775828,1,0.5
Type-III,Awakening,cbramod,,1,0.5
Type-III,Awakening,eegmamba,,1,0.5
Type-III,Awakening,femba,0.7543006823,1,0.5
Type-III,Awakening,labram,0.6306773879,1,0.5
Type-III,Awakening,neurogpt,0.5769736842,1,0.5
Type-III,Awakening,neurolm,0.5950536062,1,0.5
Type-III,Awakening,reve,0.63857610925,1,0.5
Type-III,HBN_EEG,bendr,0.0803835056,1,0.07692307692307693
Type-III,HBN_EEG,biot,0.1289014282,1,0.07692307692307693
Type-III,HBN_EEG,brainomni,0.1534776246,1,0.07692307692307693
Type-III,HBN_EEG,cbramod,0.1103088327,1,0.07692307692307693
Type-III,HBN_EEG,eegmamba,0.1006398709,1,0.07692307692307693
Type-III,HBN_EEG,femba,0.1162869574,1,0.07692307692307693
