dataset,bendr,biot,brainomni,cbramod,eegmamba,femba,labram,neurogpt,neurolm,reve,category
AD65,9.0,1.0,4.0,7.0,8.0,3.0,2.0,5.0,6.0,10.0,Type-II
ADHD,9.5,6.0,3.0,8.0,7.0,2.0,5.0,1.0,4.0,9.5,Type-II
Awakening,9.0,5.0,2.0,9.0,9.0,1.0,4.0,7.0,6.0,3.0,Type-III
BCIC2A,9.5,8.0,2.0,4.0,3.0,6.0,5.0,7.0,1.0,9.5,Type-VI
BCIC4_1,7.0,7.0,7.0,2.0,7.0,7.0,3.0,7.0,7.0,1.0,Type-VI
BCI_Speech,5.0,6.0,2.0,7.0,4.0,9.5,3.0,9.5,1.0,8.0,Type-VI
BETA_SSVEP,3.0,5.5,1.0,5.5,7.0,2.0,9.0,8.0,4.0,10.0,Type-VI
BenchmarkSSVEP,10.0,4.0,2.0,1.0,6.0,5.0,7.0,9.0,8.0,3.0,Type-VI
Broderick_CP,5.0,2.0,1.0,8.0,4.0,8.0,8.0,3.0,8.0,8.0,Type-V
Broderick_Rev,2.0,6.5,6.5,1.0,6.5,6.5,6.5,6.5,6.5,6.5,Type-V
CIRE,10.0,6.0,4.0,8.0,5.0,1.0,2.0,3.0,7.0,9.0,Type-IV
ChineseEEG2_RA_Tone,9.5,2.0,9.5,6.0,4.0,1.0,7.0,5.0,8.0,3.0,Type-V
DEAP_arousal,6.5,6.5,2.0,1.0,6.5,6.5,6.5,6.5,6.5,6.5,Type-IV
DEAP_valence,7.0,3.0,1.0,10.0,2.0,4.0,9.0,8.0,6.0,5.0,Type-IV
DUAL_FREQ_SSVEP,8.0,4.0,1.0,7.0,3.0,2.0,9.0,10.0,6.0,5.0,Type-VI
Depression_rest,6.5,9.0,4.0,6.5,9.0,1.0,5.0,2.0,3.0,9.0,Type-II
EEGMAT,8.5,3.0,8.5,6.0,5.0,2.0,8.5,4.0,1.0,8.5,Type-IV
EEG_Mortality_PD,10.0,1.0,7.5,7.5,3.0,4.0,7.5,7.5,2.0,5.0,Type-II
EEG_SVRec,6.0,9.0,7.0,9.0,4.0,2.0,1.0,3.0,9.0,5.0,Type-IV
ExoEEG_WalkStop,7.0,5.0,2.0,9.0,10.0,1.0,8.0,4.0,3.0,6.0,Type-VI
FACED_new,10.0,6.0,3.0,1.0,9.0,5.0,7.0,8.0,4.0,2.0,Type-IV
HBN_EEG,10.0,2.0,1.0,5.0,6.0,4.0,3.0,7.0,9.0,8.0,Type-III
HFO,10.0,1.0,4.0,3.0,2.0,8.0,7.0,6.0,5.0,9.0,Type-I
HMC,10.0,7.0,1.0,9.0,8.0,5.0,3.0,6.0,2.0,4.0,Type-III
ISRUC_S1,10.0,6.0,2.0,9.0,8.0,3.0,5.0,7.0,1.0,4.0,Type-III
ISRUC_S2,8.0,2.0,1.0,7.0,6.0,4.0,10.0,3.0,9.0,5.0,Type-III
ISRUC_S3,10.0,3.0,4.0,9.0,6.0,2.0,8.0,7.0,1.0,5.0,Type-III
LEMON_age,8.0,1.0,3.0,9.0,10.0,2.0,5.0,6.0,7.0,4.0,Type-II
LEMON_extraversial,6.0,9.0,9.0,1.0,4.0,2.0,7.0,9.0,3.0,5.0,Type-II
LEMON_gender,9.5,2.0,5.0,8.0,9.5,4.0,3.0,7.0,1.0,6.0,Type-II
Longitudinal_EEG_Reliability,10.0,3.0,1.0,8.0,6.0,4.0,5.0,7.0,2.0,9.0,Type-I
MDD,10.0,3.0,1.0,5.0,8.0,7.0,6.0,9.0,2.0,4.0,Type-II
MODMA,7.5,7.5,2.0,7.5,3.0,1.0,7.5,5.0,10.0,4.0,Type-II
Monitering-Errp,3.0,2.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,Type-VI
MusicEEG,9.0,9.0,3.0,1.0,4.0,7.0,2.0,9.0,6.0,5.0,Type-IV
PD31,9.0,4.0,3.0,5.0,9.0,2.0,7.0,9.0,6.0,1.0,Type-II
PEARL_Neuro,10.0,5.0,1.0,6.0,8.0,3.0,4.0,7.0,2.0,9.0,Type-III
Physionet_MI,9.0,10.0,1.0,8.0,6.0,4.0,5.0,7.0,3.0,2.0,Type-VI
RestCog,10.0,1.0,3.0,7.0,8.0,4.0,2.0,6.0,5.0,9.0,Type-III
