category,dataset,dataset_exp_name,csv_dataset,seed,model,model_label,accuracy,chance_level,source_csv
Type-II,AD65,AD65,AD65,0,brainomni,BrainOmni,0.4526938154,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,labram,LaBraM,0.4739906521,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,biot,BIOT,0.5083650017,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,femba,FEMBA,0.4557655967,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,neurolm,NeuroLM,0.3808167938,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,cbramod,CBraMod,0.3768715484,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,neurogpt,NeuroGPT,0.4195187923,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,reve,REVE,0.3375522119,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,eegmamba,EEGMamba,0.3766767197,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,AD65,AD65,AD65,0,bendr,BENDR,0.3380938519,0.3333333333333333,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,brainomni,BrainOmni,0.6300522351,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,labram,LaBraM,0.5681207865,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,biot,BIOT,0.5512292352,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,femba,FEMBA,0.6567658386,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,neurolm,NeuroLM,0.6291939858,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,cbramod,CBraMod,0.5478054871,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,neurogpt,NeuroGPT,0.7140571154,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,reve,REVE,0.4920265087,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,eegmamba,EEGMamba,0.5503674088,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-II,ADHD,ADHD,ADHD,0,bendr,BENDR,0.4886378424,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening,0,reve,REVE,0.6835359159,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,brainomni,BrainOmni,0.7229775828,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,labram,LaBraM,0.6306773879,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,biot,BIOT,0.6022660819,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,femba,FEMBA,0.7543006823,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,neurolm,NeuroLM,0.5950536062,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,cbramod,CBraMod,0.473245614,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,neurogpt,NeuroGPT,0.5769736842,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,reve,REVE,0.5936163026,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,eegmamba,EEGMamba,0.489205653,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,bendr,BENDR,0.4719907407,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,brainomni,BrainOmni,0.3055555556,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,labram,LaBraM,0.2615740741,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,biot,BIOT,0.25,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,femba,FEMBA,0.2586805556,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,neurolm,NeuroLM,0.3171296296,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,cbramod,CBraMod,0.2690972222,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,neurogpt,NeuroGPT,0.2540509259,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,reve,REVE,0.2280092593,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,eegmamba,EEGMamba,0.2818287037,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,bendr,BENDR,0.2361111111,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
Type-VI,BCIC4_1,BCIC4_1,BCIC4_1,0,brainomni,BrainOmni,0.495,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_cross_subject_mean_var.csv
