category,dataset_display,dataset_exp_name,csv_dataset
Type-II,AD65,AD65,AD65
Type-II,ADHD,ADHD,ADHD
Type-III,Awakening,Awakening,Awakening
Type-III,Awakening,Awakening,Awakening_balanced
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn
Type-VI,BCIC4_1,BCIC4_1,BCIC4_1
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn
Type-VI,BenchmarkSSVEP,BenchmarkSSVEP,BenchmarkSSVEP
Type-V,Broderick_CP,Broderick_CP,Broderick_CP
Type-V,Broderick_CP,Broderick_CP,Broderick_CP_128
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_128
Type-IV,CIRE,CIRE_wsn,CIRE_wsn
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone
Type-IV,DEAP_arousal,DEAP_arousal,DEAP_arousal_wsn
Type-IV,DEAP_valence,DEAP_valence,DEAP_valence_wsn
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn
Type-II,Depression_rest,Depression_rest,Depression_rest_wsn
Type-IV,EEGMAT,EEGMAT,EEGMAT
Type-II,EEG_Mortality_PD,EEG_Mortality_PD,EEG_Mortality_PD_wsn
Type-IV,EEG_SVRec,EEG_SVRec,EEG_SVRec
Type-VI,ExoEEG_WalkStop,ExoEEG_WalkStop,ExoEEG_WalkStop
Type-IV,FACED_new,FACED_new,FACED_new
Type-III,HBN_EEG,HBN_EEG,HBN_EEG
Type-I,HFO,HFO,HFO
Type-III,HMC,HMC,HMC
Type-III,ISRUC_S1,ISRUC_S1,ISRUC_S1
Type-III,ISRUC_S2,ISRUC_S2_wsn,ISRUC_S2_wsn
Type-III,ISRUC_S3,ISRUC_S3_wsn,ISRUC_S3_wsn
Type-II,LEMON_age,LEMON_age,LEMON_age_wsn
Type-II,LEMON_extraversial,LEMON_extraversion,LEMON_extraversion
Type-II,LEMON_gender,LEMON_gender,LEMON_gender_wsn
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn
Type-II,MDD,MDD,MDD
Type-II,MODMA,MODMA,MODMA
Type-VI,Monitering-Errp,MonitoringErrP,MonitoringErrP
Type-IV,MusicEEG,MusicEEG_wsn,MusicEEG
Type-II,PD31,PD31,PD31
Type-III,PEARL_Neuro,PEARL_Neuro_wsn,PEARL_Neuro_wsn
Type-VI,Physionet_MI,Physionet_MI_wsn,Physionet_MI_wsn
Type-III,RestCog,RestCog_wsn,RestCog_wsn
Type-IV,SEED,SEED,SEED
Type-IV,SEED_IV,SEEDIV,SEEDIV
Type-IV,SEED_FRA,SEED_FRA_wsn,SEED_FRA
Type-IV,SEED_V,SEED_V,SEED_V
Type-IV,SEED_VIG,SEED_VIG_wsn,SEED_VIG_wsn
Type-IV,SEED_VII,SEED_VII,SEED_VII
Type-VI,SHU_MI,SHU_MI,SHU_MI
Type-VI,SSVEP,SSVEP_wsn,SSVEP_wsn
Type-II,Siena_EEG,Siena_EEG,Siena_EEG
Type-III,SleepEDF_full,SleepEDF_full,SleepEDF_full
Type-II,TDBRAIN,TDBRAIN,TDBRAIN
Type-II,TUAB,TUAB,TUAB
Type-II,TUEP,TUEP,TUEP
Type-II,TUEV,TUEV,TUEV
Type-II,TUSL,TUSL,TUSL
Type-V,Things_EEG2,Things_EEG2,Things_EEG2
Type-IV,Workload,Workload,Workload
