category,category_label,dataset,dataset_exp_name,result_dir,seed,model,model_label,accuracy,chance_level,summary_path
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,bendr,BENDR,0.3333333333333333,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/bendr/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,biot,BIOT,0.4813284960412399,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/biot/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,brainomni,BrainOmni,0.4878134989479655,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/brainomni/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,cbramod,CBraMod,0.5077578928586287,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/cbramod/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,eegmamba,EEGMamba,0.3329490557751427,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/eegmamba/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,femba,FEMBA,0.47596856249529856,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/femba/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,labram,LaBraM,0.453193208631054,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/labram/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,neurogpt,NeuroGPT,0.42033948540149857,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/neurogpt/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,neurolm,NeuroLM,0.4342237356159239,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/neurolm/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,42,reve,REVE,0.5027539791465113,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/reve/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,bendr,BENDR,0.3333333333333333,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/bendr/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,biot,BIOT,0.45631005756639587,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/biot/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,brainomni,BrainOmni,0.3941946882986134,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/brainomni/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,cbramod,CBraMod,0.4542406628620313,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/cbramod/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,eegmamba,EEGMamba,0.3313869292478528,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/eegmamba/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,femba,FEMBA,0.4510479080054304,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/femba/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,labram,LaBraM,0.3738590379896975,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/labram/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,neurogpt,NeuroGPT,0.37269154256316767,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/neurogpt/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,neurolm,NeuroLM,0.3289075888672844,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/neurolm/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,10,reve,REVE,0.4350900704206917,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/reve/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,bendr,BENDR,0.3333333333333333,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/bendr/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,biot,BIOT,0.5148494293705855,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/biot/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,brainomni,BrainOmni,0.49493236436360516,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/brainomni/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,cbramod,CBraMod,0.5287948895443156,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/cbramod/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,eegmamba,EEGMamba,0.33278989318031177,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/eegmamba/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,femba,FEMBA,0.5123136109794083,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/femba/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,labram,LaBraM,0.4899233264992251,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/labram/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,neurogpt,NeuroGPT,0.48440461179711,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/neurogpt/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,neurolm,NeuroLM,0.4446837029390018,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/neurolm/summary.json
Type-II,Biometrics & Disease,LEMON_age,LEMON_age,LEMON_age_cross_subject_linear_downsample,5,reve,REVE,0.48975021997684237,0.25,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_age_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/reve/summary.json
Type-II,Biometrics & Disease,LEMON_gender,LEMON_gender,LEMON_gender_cross_subject_linear_downsample,42,bendr,BENDR,0.5,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_gender_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/bendr/summary.json
Type-II,Biometrics & Disease,LEMON_gender,LEMON_gender,LEMON_gender_cross_subject_linear_downsample,42,biot,BIOT,0.5420787811092097,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/LEMON_gender_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/biot/summary.json
