category,dataset_display,dataset_exp_name,linear_downsample_cross,result_dir_name
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,NOT_RUN,
Type-I,EEGDenoiseNet,EEGDenoiseNet_singleCOz,NOT_RUN,
Type-II,LEMON_age,LEMON_age,DONE 3/3,LEMON_age_cross_subject_linear_downsample
Type-II,LEMON_gender,LEMON_gender,DONE 3/3,LEMON_gender_cross_subject_linear_downsample
Type-II,LEMON_extraversial,LEMON_extraversion,DONE 3/3,LEMON_extraversion_cross_subject_linear_downsample
Type-II,HFO,HFO,DONE 3/3,HFO_cross_subject_linear_downsample
Type-II,TUAB,TUAB,DONE 3/3,TUAB_cross_subject_linear_downsample
Type-II,TUEP,TUEP,DONE 3/3,TUEP_cross_subject_linear_downsample
Type-II,TUEV,TUEV,DONE 3/3,TUEV_cross_subject_linear_downsample
Type-II,TUSL,TUSL,DONE 3/3,TUSL_cross_subject_linear_downsample
Type-II,Siena_EEG,Siena_EEG,DONE 3/3,Siena_EEG_cross_subject_linear_downsample
Type-II,ADHD,ADHD,DONE 3/3,ADHD_cross_subject_linear_downsample
Type-II,AD65,AD65,DONE 3/3,AD65_cross_subject_linear_downsample
Type-II,PD31,PD31,DONE 3/3,PD31_cross_subject_linear_downsample
Type-II,EEG_Mortality_PD,EEG_Mortality_PD,DONE 3/3,EEG_Mortality_PD_cross_subject_linear_downsample
Type-II,MDD,MDD,DONE 3/3,MDD_cross_subject_linear_downsample
Type-II,TDBRAIN,TDBRAIN,DONE 3/3,TDBRAIN_cross_subject_linear_downsample
Type-II,Depression_rest,Depression_rest,PARTIAL 2/3,Depression_rest_cross_subject_linear_downsample
Type-II,MODMA,MODMA,PARTIAL 0/3,MODMA_cross_subject_linear_downsample
Type-III,Awakening,Awakening,DONE 3/3,Awakening_cross_subject_linear_downsample
Type-III,ISRUC_S1,ISRUC_S1,DONE 3/3,ISRUC_S1_cross_subject_linear_downsample
Type-III,ISRUC_S2,ISRUC_S2_wsn,DONE 3/3,ISRUC_S2_cross_subject_linear_downsample
Type-III,ISRUC_S3,ISRUC_S3_wsn,DONE 3/3,ISRUC_S3_cross_subject_linear_downsample
Type-III,SleepEDF_full,SleepEDF_full,DONE 3/3,SleepEDF_full_cross_subject_linear_downsample
Type-III,HMC,HMC,DONE 3/3,HMC_cross_subject_linear_downsample
Type-III,HBN_EEG,HBN_EEG,DONE 3/3,HBN_EEG_cross_subject_linear_downsample
Type-III,PEARL_Neuro,PEARL_Neuro_wsn,DONE 3/3,PEARL_Neuro_cross_subject_linear_downsample
Type-III,RestCog,RestCog_wsn,DONE 3/3,RestCog_cross_subject_linear_downsample
Type-IV,SEED_VIG,SEED_VIG_wsn,DONE 3/3,SEED_VIG_cross_subject_linear_downsample
Type-IV,DEAP_arousal,DEAP_arousal,DONE 3/3,DEAP_arousal_cross_subject_linear_downsample
Type-IV,DEAP_valence,DEAP_valence,DONE 3/3,DEAP_valence_cross_subject_linear_downsample
Type-IV,SEED,SEED,DONE 3/3,SEED_cross_subject_linear_downsample
Type-IV,SEED_IV,SEEDIV,DONE 3/3,SEEDIV_cross_subject_linear_downsample
Type-IV,SEED_V,SEED_V,DONE 3/3,SEED_V_cross_subject_linear_downsample
Type-IV,SEED_VII,SEED_VII,DONE 3/3,SEED_VII_cross_subject_linear_downsample
Type-IV,SEED_FRA,SEED_FRA_wsn,DONE 3/3,SEED_FRA_cross_subject_linear_downsample
Type-IV,EEG_SVRec,EEG_SVRec,DONE 3/3,EEG_SVRec_cross_subject_linear_downsample
Type-IV,FACED,FACED_new,DONE 3/3,FACED_new_cross_subject_linear_downsample
Type-IV,MusicEEG,MusicEEG_wsn,DONE 3/3,MusicEEG_cross_subject_linear_downsample
Type-IV,CIRE,CIRE_wsn,DONE 3/3,CIRE_cross_subject_linear_downsample
Type-IV,EEGMAT,EEGMAT,NOT_RUN,EEGMAT_cross_subject_linear_downsample
Type-IV,Workload,Workload,DONE 3/3,Workload_cross_subject_linear_downsample
Type-VI,BCI_Speech,BCI_Speech,DONE 3/3,BCI_Speech_cross_subject_linear_downsample
Type-V,Broderick_CP,Broderick_CP,DONE 3/3,Broderick_CP_128_cross_subject_linear_downsample
Type-V,Broderick_Rev,Broderick_Rev_wsn,DONE 3/3,Broderick_Rev_128_cross_subject_linear_downsample
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,DONE 3/3,ChineseEEG2_RA_Tone_cross_subject_linear_downsample
Type-V,Things_EEG2,Things_EEG2,DONE 3/3,Things_EEG2_cross_subject_linear_downsample
Type-VI,BCIC2A,BCIC2A_wsn,DONE 3/3,BCIC2A_cross_subject_linear_downsample
Type-VI,BCIC4_1,BCIC4_1,DONE 3/3,BCIC4_1_cross_subject_linear_downsample
Type-VI,Physionet_MI,Physionet_MI_wsn,DONE 3/3,Physionet_MI_cross_subject_linear_downsample
Type-VI,SHU_MI,SHU_MI,DONE 3/3,SHU_MI_cross_subject_linear_downsample
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,DONE 3/3,BETA_SSVEP_cross_subject_linear_downsample
