category,dataset,model,mean_accuracy,n_seed,chance_level
Type-I,HFO,bendr,,3,0.5
Type-I,HFO,biot,0.63846744765172,3,0.5
Type-I,HFO,brainomni,0.5939654645109483,3,0.5
Type-I,HFO,cbramod,0.6204747800082119,3,0.5
Type-I,HFO,eegmamba,0.5983152528068914,3,0.5
Type-I,HFO,femba,0.5528449471073841,3,0.5
Type-I,HFO,labram,0.5859731447660037,3,0.5
Type-I,HFO,neurogpt,0.5887686263379713,3,0.5
Type-I,HFO,neurolm,0.6318778536070027,3,0.5
Type-I,HFO,reve,0.5260759295788503,3,0.5
Type-I,Longitudinal_EEG_Reliability,bendr,0.5111931370559918,3,0.5
Type-I,Longitudinal_EEG_Reliability,biot,0.7083932323358888,3,0.5
Type-I,Longitudinal_EEG_Reliability,brainomni,0.7263681899827774,3,0.5
Type-I,Longitudinal_EEG_Reliability,cbramod,0.6683743641004285,3,0.5
Type-I,Longitudinal_EEG_Reliability,eegmamba,0.6405073878106586,3,0.5
Type-I,Longitudinal_EEG_Reliability,femba,0.6811176585062834,3,0.5
Type-I,Longitudinal_EEG_Reliability,labram,0.6774376557237879,3,0.5
Type-I,Longitudinal_EEG_Reliability,neurogpt,0.6980492109701829,3,0.5
Type-I,Longitudinal_EEG_Reliability,neurolm,0.6637686204986899,3,0.5
Type-I,Longitudinal_EEG_Reliability,reve,0.7194645960992031,3,0.5
Type-III,Awakening,bendr,0.5321730104210959,3,0.5
Type-III,Awakening,biot,0.9804733076567396,3,0.5
Type-III,Awakening,brainomni,0.9856553669142335,3,0.5
Type-III,Awakening,cbramod,0.814902407654731,3,0.5
Type-III,Awakening,eegmamba,0.7907126328591292,3,0.5
Type-III,Awakening,femba,0.957704202651967,3,0.5
Type-III,Awakening,labram,0.9380269352290641,3,0.5
Type-III,Awakening,neurogpt,0.8162930897541637,3,0.5
Type-III,Awakening,neurolm,0.9250452706363793,3,0.5
Type-III,Awakening,reve,0.6115116621618961,3,0.5
Type-III,HBN_EEG,bendr,0.07980977497921067,3,0.07692307692307693
Type-III,HBN_EEG,biot,0.12120187764290995,3,0.07692307692307693
Type-III,HBN_EEG,brainomni,0.1296373525349531,3,0.07692307692307693
Type-III,HBN_EEG,cbramod,0.10734162963226089,3,0.07692307692307693
Type-III,HBN_EEG,eegmamba,0.11025719641071373,3,0.07692307692307693
Type-III,HBN_EEG,femba,0.11377934172242211,3,0.07692307692307693
Type-III,HBN_EEG,labram,0.12957221958089885,3,0.07692307692307693
Type-III,HBN_EEG,neurogpt,0.10462551140305319,3,0.07692307692307693
Type-III,HBN_EEG,neurolm,0.08666082572837724,3,0.07692307692307693
Type-III,HBN_EEG,reve,0.09087673453606815,3,0.07692307692307693
Type-III,HMC,bendr,0.20819269907773894,3,0.2
Type-III,HMC,biot,0.5760222934569759,3,0.2
Type-III,HMC,brainomni,0.6562630635635627,3,0.2
Type-III,HMC,cbramod,0.5069487974319201,3,0.2
Type-III,HMC,eegmamba,0.572101294652985,3,0.2
Type-III,HMC,femba,0.6018358859075653,3,0.2
Type-III,HMC,labram,0.6443293990512455,3,0.2
Type-III,HMC,neurogpt,0.5713198636554843,3,0.2
