dataset,bendr,biot,brainomni,cbramod,eegmamba,femba,labram,neurogpt,neurolm,reve,category
Awakening,10.0,2.0,1.0,7.0,8.0,3.0,4.0,6.0,5.0,9.0,Type-III
BCIC2A,10.0,9.0,2.0,6.0,5.0,1.0,7.0,3.0,4.0,8.0,Type-VI
BCI_Speech,8.0,5.0,9.5,2.0,4.0,7.0,3.0,6.0,1.0,9.5,Type-VI
BETA_SSVEP,3.0,4.0,2.0,5.0,9.0,1.0,9.0,6.0,7.0,9.0,Type-VI
Broderick_CP,9.0,1.0,4.0,5.0,8.0,3.0,2.0,7.0,6.0,10.0,Type-V
Broderick_Rev,7.0,1.0,5.0,8.5,10.0,4.0,2.0,8.5,3.0,6.0,Type-V
CIRE,7.0,6.0,3.0,4.0,5.0,1.0,8.0,2.0,9.0,10.0,Type-IV
ChineseEEG2_RA_Tone,6.5,1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,2.0,Type-V
DUAL_FREQ_SSVEP,9.0,6.0,1.0,5.0,7.0,3.0,9.0,9.0,2.0,4.0,Type-VI
EEGDenoiseNet,6.0,8.5,5.0,1.0,8.5,8.5,2.0,3.0,8.5,4.0,Type-I
HBN_EEG,10.0,3.0,1.0,6.0,5.0,4.0,2.0,7.0,9.0,8.0,Type-III
HFO,10.0,1.0,5.0,3.0,4.0,8.0,7.0,6.0,2.0,9.0,Type-I
HMC,10.0,5.0,2.0,8.0,6.0,4.0,3.0,7.0,1.0,9.0,Type-III
Longitudinal_EEG_Reliability,10.0,3.0,2.0,7.0,8.0,5.0,6.0,4.0,1.0,9.0,Type-I
Monitering-Errp,4.0,7.0,2.0,5.0,3.0,9.0,9.0,6.0,1.0,9.0,Type-VI
PEARL_Neuro,10.0,4.0,2.0,7.0,8.0,1.0,5.0,6.0,3.0,9.0,Type-III
Physionet_MI,4.0,10.0,1.0,9.0,6.0,8.0,5.0,3.0,2.0,7.0,Type-VI
RestCog,10.0,1.0,2.0,6.0,9.0,5.0,3.0,7.0,4.0,8.0,Type-III
SEED,10.0,4.0,2.0,8.0,6.0,5.0,3.0,7.0,1.0,9.0,Type-IV
SEED_FRA,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Type-IV
SEED_VII,10.0,8.0,1.0,5.0,7.0,3.0,2.0,6.0,4.0,9.0,Type-IV
SHU_MI,9.0,3.0,1.0,6.0,5.0,2.0,9.0,7.0,4.0,9.0,Type-VI
SSVEP,3.5,9.0,2.0,7.5,3.5,5.0,6.0,7.5,1.0,10.0,Type-VI
Workload,7.0,7.0,7.0,7.0,3.0,7.0,2.0,7.0,1.0,7.0,Type-IV
