category,dataset,dataset_exp_name,csv_dataset,seed,model,model_label,accuracy,chance_level,source_csv
Type-III,Awakening,Awakening,Awakening_balanced,0,brainomni,BrainOmni,0.9856553669,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,labram,LaBraM,0.9380269352,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,biot,BIOT,0.9804733077,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,femba,FEMBA,0.9577042027,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,neurolm,NeuroLM,0.9250452706,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,cbramod,CBraMod,0.8149024077,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,neurogpt,NeuroGPT,0.8162930898,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,reve,REVE,0.6115116622,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,eegmamba,EEGMamba,0.7907126329,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-III,Awakening,Awakening,Awakening_balanced,0,bendr,BENDR,0.5321730104,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,brainomni,BrainOmni,0.3142651271,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,labram,LaBraM,0.2725859445,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,biot,BIOT,0.25,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,femba,FEMBA,0.3194608738,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,neurolm,NeuroLM,0.2968151019,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,cbramod,CBraMod,0.2745455252,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,neurogpt,NeuroGPT,0.3000278074,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,reve,REVE,0.2523222804,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,eegmamba,EEGMamba,0.2874400285,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn,0,bendr,BENDR,0.2396541618,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,brainomni,BrainOmni,0.1986868922,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,labram,LaBraM,0.2178797487,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,biot,BIOT,0.2088519224,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,femba,FEMBA,0.2041400805,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,neurolm,NeuroLM,0.2339697464,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,cbramod,CBraMod,0.2242657088,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,neurogpt,NeuroGPT,0.2057639343,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,reve,REVE,0.1955908506,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,eegmamba,EEGMamba,0.2123672434,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech,0,bendr,BENDR,0.2014223118,0.2,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,brainomni,BrainOmni,0.0358394133,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,labram,LaBraM,0.0247379678,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,biot,BIOT,0.0304805596,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,femba,FEMBA,0.0425801635,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,neurolm,NeuroLM,0.027010523,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,cbramod,CBraMod,0.0286126721,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,neurogpt,NeuroGPT,0.0284973286,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,reve,REVE,0.0238611533,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,eegmamba,EEGMamba,0.0238267492,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn,0,bendr,BENDR,0.0338850642,0.025,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,brainomni,BrainOmni,0.5814359248,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,labram,LaBraM,0.6006218606,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,biot,BIOT,0.6085674507,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,femba,FEMBA,0.5827466828,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,neurolm,NeuroLM,0.5399956253,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,cbramod,CBraMod,0.5451205954,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,neurogpt,NeuroGPT,0.5172181072,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,reve,REVE,0.4993576035,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,eegmamba,EEGMamba,0.5111786593,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_CP,Broderick_CP,Broderick_CP,0,bendr,BENDR,0.5010053157,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,brainomni,BrainOmni,0.5135985625,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,labram,LaBraM,0.5888761427,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,biot,BIOT,0.6154542797,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,femba,FEMBA,0.5741329084,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,neurolm,NeuroLM,0.5770673836,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,cbramod,CBraMod,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,neurogpt,NeuroGPT,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,reve,REVE,0.5128441898,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,eegmamba,EEGMamba,0.4985316994,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn,0,bendr,BENDR,0.5001688255,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,brainomni,BrainOmni,0.5408033329,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,labram,LaBraM,0.5063564304,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,biot,BIOT,0.5268731913,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,femba,FEMBA,0.5519115324,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,neurolm,NeuroLM,0.5062976482,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,cbramod,CBraMod,0.5376020095,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,neurogpt,NeuroGPT,0.5449411264,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,reve,REVE,0.5044855922,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,eegmamba,EEGMamba,0.5355855444,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-IV,CIRE,CIRE_wsn,CIRE_wsn,0,bendr,BENDR,0.5096401608,0.5,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,brainomni,BrainOmni,0.2457419336,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,labram,LaBraM,0.2486099457,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,biot,BIOT,0.2517000499,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,femba,FEMBA,0.2491509449,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,neurolm,NeuroLM,0.246126486,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,0,cbramod,CBraMod,0.2496829359,0.25,/benchmark-eeg/5.0_version/tables/withstd/benchmark_results_linear_downsample_within_subject_mean_var.csv
