category,dataset_display,dataset_exp_name,csv_dataset
Type-III,Awakening,Awakening,Awakening_balanced
Type-VI,BCIC2A,BCIC2A_wsn,BCIC2A_wsn
Type-VI,BCI_Speech,BCI_Speech,BCI_Speech
Type-VI,BETA_SSVEP,BETA_SSVEP_wsn,BETA_SSVEP_wsn
Type-V,Broderick_CP,Broderick_CP,Broderick_CP
Type-V,Broderick_Rev,Broderick_Rev_wsn,Broderick_Rev_wsn
Type-IV,CIRE,CIRE_wsn,CIRE_wsn
Type-V,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone,ChineseEEG2_RA_Tone
Type-VI,DUAL_FREQ_SSVEP,DUAL_FREQ_SSVEP_wsn,DUAL_FREQ_SSVEP_wsn
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet_singleCOz
Type-III,HBN_EEG,HBN_EEG,HBN_EEG
Type-I,HFO,HFO,HFO
Type-III,HMC,HMC,HMC
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn
Type-VI,Monitering-Errp,MonitoringErrP,MonitoringErrP
Type-III,PEARL_Neuro,PEARL_Neuro_wsn,PEARL_Neuro_wsn
Type-VI,Physionet_MI,Physionet_MI_wsn,Physionet_MI_wsn
Type-III,RestCog,RestCog_wsn,RestCog_wsn
Type-IV,SEED,SEED,SEED
Type-IV,SEED_FRA,SEED_FRA_wsn,SEED_FRA
Type-IV,SEED_VII,SEED_VII,SEED_VII
Type-VI,SHU_MI,SHU_MI,SHU_MI
Type-VI,SSVEP,SSVEP_wsn,SSVEP_wsn
Type-IV,Workload,Workload,Workload
