category,dataset,model,mean_accuracy,n_seed,chance_level
Type-I,EEGDenoiseNet,bendr,0.5074982958,1,0.5
Type-I,EEGDenoiseNet,biot,0.5,1,0.5
Type-I,EEGDenoiseNet,brainomni,0.6077027948,1,0.5
Type-I,EEGDenoiseNet,cbramod,0.9986366735,1,0.5
Type-I,EEGDenoiseNet,eegmamba,0.5,1,0.5
Type-I,EEGDenoiseNet,femba,0.5,1,0.5
Type-I,EEGDenoiseNet,labram,0.7610770279,1,0.5
Type-I,EEGDenoiseNet,neurogpt,0.7113156101,1,0.5
Type-I,EEGDenoiseNet,neurolm,0.5,1,0.5
Type-I,EEGDenoiseNet,reve,0.5954328562,1,0.5
Type-I,Longitudinal_EEG_Reliability,bendr,0.5111931371,1,0.5
Type-I,Longitudinal_EEG_Reliability,biot,0.7083932323,1,0.5
Type-I,Longitudinal_EEG_Reliability,brainomni,0.72636819,1,0.5
Type-I,Longitudinal_EEG_Reliability,cbramod,0.6683743641,1,0.5
Type-I,Longitudinal_EEG_Reliability,eegmamba,0.6405073878,1,0.5
Type-I,Longitudinal_EEG_Reliability,femba,0.6811176585,1,0.5
Type-I,Longitudinal_EEG_Reliability,labram,0.6774376557,1,0.5
Type-I,Longitudinal_EEG_Reliability,neurogpt,0.698049211,1,0.5
Type-I,Longitudinal_EEG_Reliability,neurolm,0.7403423306,1,0.5
Type-I,Longitudinal_EEG_Reliability,reve,0.6327979294,1,0.5
Type-III,Awakening,bendr,0.5321730104,1,0.5
Type-III,Awakening,biot,0.9804733077,1,0.5
Type-III,Awakening,cbramod,0.8149024077,1,0.5
Type-III,Awakening,eegmamba,0.7907126329,1,0.5
Type-III,Awakening,femba,0.9577042027,1,0.5
Type-III,Awakening,labram,0.9380269352,1,0.5
Type-III,Awakening,neurogpt,0.8162930898,1,0.5
Type-III,Awakening,neurolm,0.9250452706,1,0.5
Type-III,Awakening,reve,0.6115116622,1,0.5
Type-III,HBN_EEG,bendr,0.079809775,1,0.07692307692307693
Type-III,HBN_EEG,biot,0.1212018776,1,0.07692307692307693
Type-III,HBN_EEG,cbramod,0.1073416296,1,0.07692307692307693
Type-III,HBN_EEG,eegmamba,0.1102571964,1,0.07692307692307693
Type-III,HBN_EEG,femba,0.1137793417,1,0.07692307692307693
Type-III,HBN_EEG,labram,0.1295722196,1,0.07692307692307693
Type-III,HBN_EEG,neurogpt,0.1046255114,1,0.07692307692307693
Type-III,HBN_EEG,neurolm,0.0866608257,1,0.07692307692307693
Type-III,HBN_EEG,reve,0.0908767345,1,0.07692307692307693
Type-III,HMC,bendr,0.2081926991,1,0.2
Type-III,HMC,biot,0.5760222935,1,0.2
Type-III,HMC,brainomni,0.6562630636,1,0.2
Type-III,HMC,cbramod,0.5069487974,1,0.2
Type-III,HMC,eegmamba,0.5721012947,1,0.2
Type-III,HMC,femba,0.6018358859,1,0.2
Type-III,HMC,labram,0.6443293991,1,0.2
Type-III,HMC,neurogpt,0.5713198637,1,0.2
Type-III,HMC,neurolm,0.6590826536,1,0.2
Type-III,HMC,reve,0.4931217806,1,0.2
Type-III,PEARL_Neuro,bendr,0.3351702262,1,0.3333333333333333
Type-III,PEARL_Neuro,biot,0.4212115127,1,0.3333333333333333
Type-III,PEARL_Neuro,cbramod,0.3828669961,1,0.3333333333333333
Type-III,PEARL_Neuro,eegmamba,0.3729938784,1,0.3333333333333333
Type-III,PEARL_Neuro,femba,0.4366874664,1,0.3333333333333333
Type-III,PEARL_Neuro,labram,0.4197205177,1,0.3333333333333333
Type-III,PEARL_Neuro,neurogpt,0.4166556808,1,0.3333333333333333
Type-III,PEARL_Neuro,neurolm,0.4287005309,1,0.3333333333333333
Type-III,PEARL_Neuro,reve,0.3682787871,1,0.3333333333333333
Type-III,RestCog,bendr,0.2058219329,1,0.2
Type-III,RestCog,biot,0.367708934,1,0.2
Type-III,RestCog,cbramod,0.3050152429,1,0.2
Type-III,RestCog,eegmamba,0.2342910084,1,0.2
Type-III,RestCog,femba,0.3240432634,1,0.2
Type-III,RestCog,labram,0.3407371223,1,0.2
Type-III,RestCog,neurogpt,0.2922413794,1,0.2
Type-III,RestCog,neurolm,0.3351710549,1,0.2
Type-III,RestCog,reve,0.2365271419,1,0.2
Type-IV,CIRE,bendr,0.5096401608,1,0.5
Type-IV,CIRE,biot,0.5268731913,1,0.5
Type-IV,CIRE,brainomni,0.5408033329,1,0.5
Type-IV,CIRE,cbramod,0.5376020095,1,0.5
Type-IV,CIRE,eegmamba,0.5355855444,1,0.5
Type-IV,CIRE,femba,0.5519115324,1,0.5
