category,dataset,dataset_exp_name,csv_dataset,seed,model,model_label,accuracy,chance_level,source_csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,brainomni,BrainOmni,0.6077027948,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,labram,LaBraM,0.7610770279,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,biot,BIOT,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,femba,FEMBA,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,neurolm,NeuroLM,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,cbramod,CBraMod,0.9986366735,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,neurogpt,NeuroGPT,0.7113156101,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,reve,REVE,0.5954328562,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,eegmamba,EEGMamba,0.5,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,EEGDenoiseNet,EEGDenoiseNet,EEGDenoiseNet,0,bendr,BENDR,0.5074982958,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,brainomni,BrainOmni,0.72636819,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,labram,LaBraM,0.6774376557,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,biot,BIOT,0.7083932323,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,femba,FEMBA,0.6811176585,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,neurolm,NeuroLM,0.7403423306,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,cbramod,CBraMod,0.6683743641,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,neurogpt,NeuroGPT,0.698049211,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
Type-I,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal test-retest,0,reve,REVE,0.6327979294,0.5,/benchmark-eeg/5.0_version/tables/withstd/within_subject_marking_pretrained_pairs.csv
