category,category_label,dataset,dataset_exp_name,result_dir,seed,model,model_label,accuracy,chance_level,summary_path
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,bendr,BENDR,0.5209636915732647,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/bendr/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,biot,BIOT,0.6948826108991535,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/biot/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,brainomni,BrainOmni,0.7115652926994223,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/brainomni/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,cbramod,CBraMod,0.6855598456179841,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/cbramod/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,eegmamba,EEGMamba,0.6362218331552201,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/eegmamba/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,femba,FEMBA,0.6730024320631364,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/femba/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,labram,LaBraM,0.6810439866561349,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/labram/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,neurogpt,NeuroGPT,0.6853504872730777,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/neurogpt/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,neurolm,NeuroLM,0.645865410925311,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/neurolm/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,42,reve,REVE,0.6853276638254594,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/reve/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,bendr,BENDR,0.493395812508048,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/bendr/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,biot,BIOT,0.7118548807831236,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/biot/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,brainomni,BrainOmni,0.7075710117338452,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/brainomni/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,cbramod,CBraMod,0.6864483645762395,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/cbramod/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,eegmamba,EEGMamba,0.6580825006537978,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/eegmamba/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,femba,FEMBA,0.6389516136526256,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/femba/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,labram,LaBraM,0.6707270165181849,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/labram/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,neurogpt,NeuroGPT,0.6839498281540599,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/neurogpt/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,neurolm,NeuroLM,0.6753165244241602,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/neurolm/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,10,reve,REVE,0.7788588274650832,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/reve/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,5,bendr,BENDR,0.5192199070866627,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/bendr/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,5,biot,BIOT,0.7184422053253892,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/biot/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,5,brainomni,BrainOmni,0.7599682655150648,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/brainomni/summary.json
Type-I,Signal Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,5,cbramod,CBraMod,0.633114882107062,0.5,/benchmark-eeg/5.0_version/result_5/linear_downsample/Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/cbramod/summary.json
