Category,dataset_display,model,rank
Type-I,Longitudinal_EEG_Reliability,BrainOmni,1.0
Type-II,LEMON_age,BrainOmni,3.0
Type-II,LEMON_gender,BrainOmni,5.0
Type-II,LEMON_extraversial,BrainOmni,10.0
Type-II,TUEV,BrainOmni,2.0
Type-II,TUEP,BrainOmni,1.0
Type-II,TUSL,BrainOmni,2.0
Type-II,Siena_EEG,BrainOmni,3.0
Type-II,ADHD,BrainOmni,3.0
Type-II,AD65,BrainOmni,4.0
Type-II,PD31,BrainOmni,10.0
Type-II,EEG_Mortality_PD,BrainOmni,10.0
Type-II,MDD,BrainOmni,1.0
Type-II,TDBRAIN,BrainOmni,1.0
Type-II,Depression_rest,BrainOmni,4.0
Type-II,MODMA,BrainOmni,2.0
Type-III,ISRUC_S1,BrainOmni,2.0
Type-III,ISRUC_S2,BrainOmni,1.0
Type-III,ISRUC_S3,BrainOmni,4.0
Type-III,SleepEDF_full,BrainOmni,3.0
Type-III,HMC,BrainOmni,1.0
Type-IV,SEED_VIG,BrainOmni,4.0
Type-IV,DEAP_arousal,BrainOmni,2.0
Type-IV,DEAP_valence,BrainOmni,1.0
Type-IV,SEED,BrainOmni,3.0
Type-IV,SEED_IV,BrainOmni,1.0
Type-IV,SEED_V,BrainOmni,3.0
Type-IV,SEED_VII,BrainOmni,3.0
Type-IV,SEED_FRA,BrainOmni,3.5
Type-IV,EEG_SVRec,BrainOmni,7.0
Type-IV,CIRE,BrainOmni,4.0
Type-IV,EEGMAT,BrainOmni,10.0
Type-IV,Workload,BrainOmni,4.0
Type-V,BCI_Speech,BrainOmni,2.0
Type-V,Broderick_CP,BrainOmni,10.0
Type-V,Broderick_Rev,BrainOmni,10.0
Type-V,ChineseEEG2_RA_Tone,BrainOmni,10.0
Type-V,Things_EEG2,BrainOmni,10.0
Type-VI,BCIC2A,BrainOmni,1.0
Type-VI,BCIC4_1,BrainOmni,10.0
Type-VI,Physionet_MI,BrainOmni,1.0
Type-VI,SHU_MI,BrainOmni,1.0
Type-VI,BETA_SSVEP,BrainOmni,1.0
Type-VI,BenchmarkSSVEP,BrainOmni,2.0
Type-VI,DUAL_FREQ_SSVEP,BrainOmni,1.0
Type-VI,SSVEP,BrainOmni,2.0
Type-VI,Monitering-Errp,BrainOmni,10.0
Type-VI,ExoEEG_WalkStop,BrainOmni,2.0
Type-I,Longitudinal_EEG_Reliability,LaBraM,5.0
Type-II,LEMON_age,LaBraM,5.0
Type-II,LEMON_gender,LaBraM,3.0
Type-II,LEMON_extraversial,LaBraM,7.0
Type-II,HFO,LaBraM,6.0
Type-II,TUEV,LaBraM,3.0
Type-II,ADHD,LaBraM,5.0
Type-II,AD65,LaBraM,2.0
Type-II,PD31,LaBraM,10.0
Type-II,EEG_Mortality_PD,LaBraM,10.0
Type-II,MDD,LaBraM,6.0
Type-II,TDBRAIN,LaBraM,4.0
Type-II,Depression_rest,LaBraM,5.0
Type-II,MODMA,LaBraM,9.0
Type-III,Awakening,LaBraM,3.0
Type-III,ISRUC_S1,LaBraM,5.0
Type-III,ISRUC_S2,LaBraM,10.0
Type-III,ISRUC_S3,LaBraM,8.0
Type-III,SleepEDF_full,LaBraM,2.0
Type-III,HMC,LaBraM,3.0
Type-III,HBN_EEG,LaBraM,2.0
Type-III,PEARL_Neuro,LaBraM,3.0
Type-III,RestCog,LaBraM,2.0
Type-IV,SEED_VIG,LaBraM,5.0
Type-IV,DEAP_arousal,LaBraM,10.0
Type-IV,DEAP_valence,LaBraM,9.0
Type-IV,SEED_V,LaBraM,4.0
Type-IV,SEED_VII,LaBraM,5.0
Type-IV,EEG_SVRec,LaBraM,1.0
Type-IV,MusicEEG,LaBraM,2.0
Type-IV,CIRE,LaBraM,2.0
Type-IV,EEGMAT,LaBraM,10.0
Type-IV,Workload,LaBraM,2.0
Type-V,BCI_Speech,LaBraM,3.0
Type-V,Broderick_CP,LaBraM,10.0
Type-V,Broderick_Rev,LaBraM,10.0
Type-V,ChineseEEG2_RA_Tone,LaBraM,7.0
Type-V,Things_EEG2,LaBraM,10.0
Type-VI,BCIC4_1,LaBraM,3.0
Type-VI,Physionet_MI,LaBraM,4.0
Type-VI,SHU_MI,LaBraM,4.0
Type-VI,BETA_SSVEP,LaBraM,9.0
Type-VI,BenchmarkSSVEP,LaBraM,7.0
Type-VI,DUAL_FREQ_SSVEP,LaBraM,9.0
Type-VI,SSVEP,LaBraM,5.0
Type-VI,Monitering-Errp,LaBraM,10.0
Type-VI,ExoEEG_WalkStop,LaBraM,8.0
Type-I,Longitudinal_EEG_Reliability,BIOT,3.0
Type-II,LEMON_age,BIOT,1.0
Type-II,LEMON_gender,BIOT,2.0
Type-II,LEMON_extraversial,BIOT,10.0
Type-II,HFO,BIOT,1.0
Type-II,TUEV,BIOT,1.0
Type-II,TUEP,BIOT,2.0
Type-II,TUSL,BIOT,1.0
Type-II,Siena_EEG,BIOT,2.0
Type-II,ADHD,BIOT,6.0
Type-II,AD65,BIOT,1.0
Type-II,PD31,BIOT,1.0
Type-II,EEG_Mortality_PD,BIOT,1.0
Type-II,MDD,BIOT,3.0
Type-II,TDBRAIN,BIOT,3.0
Type-II,Depression_rest,BIOT,10.0
Type-II,MODMA,BIOT,9.0
Type-III,Awakening,BIOT,4.0
Type-III,ISRUC_S1,BIOT,6.0
Type-III,ISRUC_S2,BIOT,2.0
Type-III,ISRUC_S3,BIOT,3.0
Type-III,SleepEDF_full,BIOT,10.0
Type-III,HMC,BIOT,7.0
Type-III,HBN_EEG,BIOT,1.0
Type-III,PEARL_Neuro,BIOT,4.0
Type-III,RestCog,BIOT,1.0
Type-IV,SEED_VIG,BIOT,10.0
Type-IV,DEAP_arousal,BIOT,10.0
Type-IV,DEAP_valence,BIOT,3.0
Type-IV,SEED,BIOT,6.0
Type-IV,SEED_IV,BIOT,8.0
Type-IV,SEED_V,BIOT,2.0
Type-IV,SEED_VII,BIOT,8.0
Type-IV,SEED_FRA,BIOT,3.5
Type-IV,EEG_SVRec,BIOT,10.0
Type-IV,MusicEEG,BIOT,9.0
Type-IV,CIRE,BIOT,6.0
Type-IV,EEGMAT,BIOT,3.0
Type-IV,Workload,BIOT,3.0
