Category,dataset_display,chance_level,BrainOmni,LaBraM,BIOT,FEMBA,NeuroLM,CBraMod,NeuroGPT,REVE,EEGMamba,BENDR
Type-III,Awakening,0.5,,0.9380269352,0.9804733077,0.9577042027,0.9250452706,0.8149024077,0.8162930898,0.6115116622,0.7907126329,0.5321730104
Type-VI,BCIC2A,0.25,0.3142651271,,0.25,0.3194608738,,0.2745455252,0.3000278074,0.2523222804,0.2874400285,
Type-V,BCI_Speech,0.2,,0.2178797487,0.2088519224,0.2041400805,0.2339697464,0.2242657088,0.2057639343,,0.2123672434,0.2014223118
Type-VI,BETA_SSVEP,0.025,0.0358394133,,0.0304805596,0.0425801635,0.027010523,0.0286126721,0.0284973286,,,0.0338850642
Type-V,Broderick_CP,0.5,0.5814359248,0.6006218606,0.6085674507,0.5827466828,0.5399956253,0.5451205954,0.5172181072,,0.5111786593,0.5010053157
Type-V,Broderick_Rev,0.5,0.5135985625,0.5888761427,0.6154542797,0.5741329084,0.5770673836,0.5,0.5,0.5128441898,,0.5001688255
Type-V,ChineseEEG2_RA_Tone,0.25,,,0.2517000499,,,,,0.2516998277,,
Type-IV,CIRE,0.5,0.5408033329,0.5063564304,0.5268731913,0.5519115324,0.5062976482,0.5376020095,0.5449411264,0.5044855922,0.5355855444,0.5096401608
Type-VI,DUAL_FREQ_SSVEP,0.025,0.0541404694,,0.0283649106,0.0355055627,0.0370588439,0.0291931217,,0.0321480371,0.0252513228,
Type-I,EEGDenoiseNet,0.5,0.6077027948,0.7610770279,0.5,0.5,0.5,0.9986366735,0.7113156101,0.5954328562,0.5,0.5074982958
Type-III,HBN_EEG,0.0769230769230769,,0.1295722196,0.1212018776,0.1137793417,0.0866608257,0.1073416296,0.1046255114,0.0908767345,0.1102571964,0.079809775
Type-II,HFO,0.5,,0.5859731448,0.6384674477,0.5528449471,0.6318778536,0.62047478,0.5887686263,0.5260759296,0.5983152528,
Type-III,HMC,0.2,0.6562630636,0.6443293991,0.5760222935,0.6018358859,0.6590826536,0.5069487974,0.5713198637,0.4931217806,0.5721012947,0.2081926991
Type-I,Longitudinal_EEG_Reliability,0.5,0.72636819,0.6774376557,0.7083932323,0.6811176585,0.7403423306,0.6683743641,0.698049211,0.6327979294,0.6405073878,0.5111931371
Type-VI,Monitering-Errp,0.5,0.511751545,,0.5000140286,,0.5120413027,0.5053724764,0.5032887544,,0.5099347493,0.5091623792
Type-III,PEARL_Neuro,0.3333333333333333,,0.4197205177,0.4212115127,0.4366874664,0.4287005309,0.3828669961,0.4166556808,0.3682787871,0.3729938784,0.3351702262
Type-VI,Physionet_MI,0.25,0.3449894016,0.2675527532,0.2514784973,0.2569867673,0.2837996762,0.2541645245,0.277229614,,,0.2766628735
Type-III,RestCog,0.2,,0.3407371223,0.367708934,0.3240432634,0.3351710549,0.3050152429,0.2922413794,0.2365271419,0.2342910084,0.2058219329
Type-IV,SEED,0.3333333333333333,0.5197948801,,0.4774268876,0.4720588017,0.5354755168,0.4270731617,0.4274275829,0.3491494366,0.4314000242,
Type-IV,SEED_FRA,0.3333333333333333,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.9967355822
Type-IV,SEED_VII,0.1428571428571428,0.2054753143,0.196309334,0.1647819251,0.1903697377,0.1850046309,0.182251644,0.1812050184,0.1501901278,0.1731637847,0.1492422925
Type-VI,SHU_MI,0.5,0.5662176958,,0.5206736445,0.5248268763,0.5160594562,0.5079021055,0.5010096968,,0.5091016872,
Type-II,Siena_EEG,0.5,0.6784036118,,0.7223364967,0.5927982203,,0.5181587276,0.6187119798,0.5232405084,,0.5033440126
Type-VI,SSVEP,0.00625,0.0196428571,0.0071428571,0.00625,0.0074404762,0.0258928571,0.0068452381,0.0068452381,,0.0116071429,0.0116071429
Type-IV,Workload,0.3333333333333333,,0.3354958986,,,0.3564752672,,,,0.3340790455,
