Category,dataset_display,model,rank
Type-III,Awakening,BrainOmni,10.0
Type-VI,BCIC2A,BrainOmni,2.0
Type-V,BCI_Speech,BrainOmni,9.5
Type-VI,BETA_SSVEP,BrainOmni,2.0
Type-V,Broderick_CP,BrainOmni,4.0
Type-V,Broderick_Rev,BrainOmni,5.0
Type-V,ChineseEEG2_RA_Tone,BrainOmni,6.5
Type-IV,CIRE,BrainOmni,3.0
Type-VI,DUAL_FREQ_SSVEP,BrainOmni,1.0
Type-I,EEGDenoiseNet,BrainOmni,4.0
Type-III,HBN_EEG,BrainOmni,10.0
Type-II,HFO,BrainOmni,9.5
Type-III,HMC,BrainOmni,2.0
Type-I,Longitudinal_EEG_Reliability,BrainOmni,2.0
Type-VI,Monitering-Errp,BrainOmni,2.0
Type-III,PEARL_Neuro,BrainOmni,10.0
Type-VI,Physionet_MI,BrainOmni,1.0
Type-III,RestCog,BrainOmni,10.0
Type-IV,SEED,BrainOmni,2.0
Type-IV,SEED_FRA,BrainOmni,4.0
Type-IV,SEED_VII,BrainOmni,1.0
Type-VI,SHU_MI,BrainOmni,1.0
Type-II,Siena_EEG,BrainOmni,2.0
Type-VI,SSVEP,BrainOmni,2.0
Type-IV,Workload,BrainOmni,7.0
Type-III,Awakening,LaBraM,3.0
Type-VI,BCIC2A,LaBraM,9.0
Type-V,BCI_Speech,LaBraM,3.0
Type-VI,BETA_SSVEP,LaBraM,9.0
Type-V,Broderick_CP,LaBraM,2.0
Type-V,Broderick_Rev,LaBraM,2.0
Type-V,ChineseEEG2_RA_Tone,LaBraM,6.5
Type-IV,CIRE,LaBraM,8.0
Type-VI,DUAL_FREQ_SSVEP,LaBraM,9.0
Type-I,EEGDenoiseNet,LaBraM,2.0
Type-III,HBN_EEG,LaBraM,1.0
Type-II,HFO,LaBraM,6.0
Type-III,HMC,LaBraM,3.0
Type-I,Longitudinal_EEG_Reliability,LaBraM,6.0
Type-VI,Monitering-Errp,LaBraM,9.0
Type-III,PEARL_Neuro,LaBraM,4.0
Type-VI,Physionet_MI,LaBraM,5.0
Type-III,RestCog,LaBraM,2.0
