dataset_display,BrainOmni,FEMBA,NeuroLM,BIOT,LaBraM,CBraMod,REVE,EEGMamba,NeuroGPT,BENDR
AD65,0.4526938154,0.4557655967,0.3808167938,0.5083650017,0.4739906521,0.3768715484,0.3529615134,0.3766767197,0.4195187923,0.3380938519
ADHD,0.6300522351,0.6567658386,0.6291939858,0.5512292352,0.6781207865,0.5478054871,0.5269604124,0.5503674088,0.7140571154,0.4886378424
Depression_rest,0.5003663051,0.5193399261,0.501085162,0.4982908372,0.5001933251,0.5,0.5187309361,0.494843169,0.5064696045,0.5
EEG_Mortality_PD,0.5,0.502025467,0.5273554184,0.5788793964,0.5,0.5,0.5010684803,0.5024737642,0.5,0.4979489824
HFO,,0.5234025488,0.5430686724,0.5806066093,0.5350701175,0.5766793022,0.5079511864,0.5771836937,0.5424831628,0.5044479031
LEMON_age,0.4552551106,0.4824340638,0.3885612784,0.4857103562,0.4375867142,0.3333333333,0.4390467141,0.3315098192,0.4307553226,0.3333467708
LEMON_extraversial,0.4749155116,0.5192380673,0.5087713277,0.4978077238,0.5016329018,0.5273440796,0.5039384319,0.5062660046,0.4778947882,0.5032452984
LEMON_gender,0.5375259221,0.5535349971,0.5816966123,0.5802646216,0.5778729528,0.5051081517,0.5372104918,0.4989839587,0.5327322976,0.4998314921
MDD,0.9959199063,0.7440077518,0.9195157366,0.8616941314,0.7441721363,0.7495484678,0.8237497243,0.7056463875,0.631404687,0.5259175865
MODMA,0.6572939068,0.7727240143,,0.5,0.5,0.5,0.5720430108,0.6102150538,0.5435483871,0.5
PD31,0.5579297625,0.5779354923,0.5136355423,0.5513340679,0.5008895482,0.521126873,0.5859328092,0.4304621163,0.4836656455,0.4830464716
Siena_EEG,0.6406104774,0.5112056265,,0.6522737433,,0.7993955775,0.5441166973,,0.4342905088,0.6303823243
TDBRAIN,0.4086903173,0.3993623709,0.3875216834,0.3914605346,0.3911326599,0.3411323547,0.3074353306,0.3232964272,0.383654312,0.2783985102
TUAB,0.7308094862,,,0.7864577894,0.7405061852,,,,,
TUEP,0.5988083572,,,0.5871542376,,,,,,
TUEV,0.4239683825,,,0.6930945712,0.4137375307,,,,,
TUSL,0.4724849225,,,0.6043817294,,,,,,
Awakening,,0.7543006823,0.5950536062,0.6022660819,0.6306773879,0.473245614,0.6835359159,0.489205653,0.5769736842,0.4719907407
HBN_EEG,,0.1162869574,0.0897364175,0.1289014282,0.125335891,0.1103088327,0.0904758043,0.1006398709,0.0974418263,0.0803835056
HMC,0.6600885269,0.6204304176,0.6499519312,0.5711706951,0.6316500629,0.4866075319,0.6285144515,0.5540451646,0.5756857428,0.2025510233
