dataset_folder,dataset_exp_name,participation_method,model,n_seeds,mean_score,std_score,chance_level,chance_source,category_en,category_ch,subtype,t_stat,p_raw,cohens_d,above_chance,p_holm_global,p_holm_within_dataset
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,bendr,3,0.505942642020614,0.027068431616915866,0.5,balanced_chance,Unknown,Unknown,Unknown,0.380256900605385,0.7403403735134317,0.2195414239257318,True,1.0,0.7403403735134317
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,biot,3,0.9773659200634337,0.005898092930802184,0.5,balanced_chance,Unknown,Unknown,Unknown,140.18463884041864,5.088221374750958e-05,80.93563897076616,True,0.012211731299402298,0.00040705770998007663
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,brainomni,3,0.9807962384520347,0.010046919169776725,0.5,balanced_chance,Unknown,Unknown,Unknown,82.8874502735182,0.0001455216573661309,47.855091727857456,True,0.03405206782367463,0.0010186516015629162
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,cbramod,3,0.8042184572826017,0.013061757078525502,0.5,balanced_chance,Unknown,Unknown,Unknown,40.340807247134215,0.0006139185492431402,23.290775923459744,True,0.13874559212894969,0.003069592746215701
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,eegmamba,3,0.7608970765480837,0.030593891425621966,0.5,balanced_chance,Unknown,Unknown,Unknown,14.770497346702955,0.004552356514217892,8.527750619183605,True,0.8922618767867068,0.013657069542653676
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,femba,3,0.950077151721289,0.004881621942475336,0.5,balanced_chance,Unknown,Unknown,Unknown,159.6921071097667,3.921096702188344e-05,92.19828102728236,True,0.009449843052273909,0.00035289870319695095
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,labram,3,0.9280716777903143,0.0035514314573272593,0.5,balanced_chance,Unknown,Unknown,Unknown,208.77268901933795,2.29423385498267e-05,120.5349682047568,True,0.0055749882676078884,0.00022942338549826702
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,neurogpt,3,0.8096815841989379,0.014067077054136805,0.5,balanced_chance,Unknown,Unknown,Unknown,38.130468464537294,0.0006870810099074738,22.014636232327142,True,0.15390614621927412,0.003069592746215701
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,neurolm,3,0.9200341473539684,0.009356340629290428,0.5,balanced_chance,Unknown,Unknown,Unknown,77.7569471822575,0.00016535368144285673,44.89299438703988,True,0.03836205409474276,0.0010186516015629162
Awakening_balanced_within_subject_linear_downsample,Awakening_balanced,within_subject,reve,3,0.5872190417410214,0.02124048823388019,0.5,balanced_chance,Unknown,Unknown,Unknown,7.112257026274707,0.01920146738271962,4.10626350866551,True,1.0,0.03840293476543924
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,bendr,3,0.21645249292920166,0.023070438977623432,0.25,balanced_chance,Unknown,Unknown,Unknown,-2.51863377069926,0.12805223497434964,-1.4541338855033001,False,1.0,0.7683134098460979
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,biot,3,0.09781095035515304,0.007520448690369224,0.25,balanced_chance,Unknown,Unknown,Unknown,-35.050989268508054,0.0008129607765184419,-20.23669808953581,False,0.18047729238709412,0.00812960776518442
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,brainomni,3,0.30630054834902587,0.012334636962786121,0.25,balanced_chance,Unknown,Unknown,Unknown,7.905819241272125,0.015625478348062577,4.564426867112984,True,1.0,0.1406293051325632
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,cbramod,3,0.22642416409293328,0.02209586006166145,0.25,balanced_chance,Unknown,Unknown,Unknown,-1.848063189574517,0.20584723851632256,-1.0669797799802858,False,1.0,0.8233889540652902
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,eegmamba,3,0.27238824170082304,0.022911457674813954,0.25,balanced_chance,Unknown,Unknown,Unknown,1.6924969449056515,0.2326266010988115,0.9771635667438973,True,1.0,0.8233889540652902
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,femba,3,0.30711153498303173,0.03149101547984788,0.25,balanced_chance,Unknown,Unknown,Unknown,3.141215955775083,0.08815089859147773,1.8135818776494919,True,1.0,0.6170562901403441
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,labram,3,0.26760778124269696,0.013416139630236667,0.25,balanced_chance,Unknown,Unknown,Unknown,2.2732002320679046,0.1509061798363864,1.3124327659063244,True,1.0,0.7683134098460979
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,neurogpt,3,0.26559567239298304,0.028533535626238615,0.25,balanced_chance,Unknown,Unknown,Unknown,0.9466929481394518,0.4437208238464702,0.546573428448233,True,1.0,0.8874416476929404
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,neurolm,3,0.2840631845016663,0.011488783432766637,0.25,balanced_chance,Unknown,Unknown,Unknown,5.135371083435163,0.03589001900562628,2.9649078774099116,True,1.0,0.28712015204501024
BCIC2A_wsn_within_subject_linear_downsample,BCIC2A_wsn,within_subject,reve,3,0.2492358045216554,0.019896303468044784,0.25,balanced_chance,Unknown,Unknown,Unknown,-0.06652619656375486,0.9530108369469171,-0.038408917494245826,False,1.0,0.9530108369469171
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,bendr,3,0.1956069561298616,0.014317349155625783,0.2,balanced_chance,Unknown,Unknown,Unknown,-0.5314513951047233,0.6482259402671404,-0.30683360602491416,False,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,biot,3,0.2002017563261803,0.008474679169177449,0.2,balanced_chance,Unknown,Unknown,Unknown,0.04123485983560134,0.9708549372940547,0.023806957426080924,True,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,brainomni,3,0.18051649377279566,0.01264329716583501,0.2,balanced_chance,Unknown,Unknown,Unknown,-2.66911567864535,0.11636988273187943,-1.5410146555641435,False,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,cbramod,3,0.199975943305002,0.010631009108317793,0.2,balanced_chance,Unknown,Unknown,Unknown,-0.003919422660085943,0.9972285603023234,-0.002262879727868538,False,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,eegmamba,3,0.2070050765439804,0.009830478459183303,0.2,balanced_chance,Unknown,Unknown,Unknown,1.2342378385203265,0.34246118904566647,0.7125875483137324,True,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,femba,3,0.15457043664548661,0.04134041672417402,0.2,balanced_chance,Unknown,Unknown,Unknown,-1.9033749084022702,0.19731225979154204,-1.09891401573483,False,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,labram,3,0.19644184479266072,0.03227874827257919,0.2,balanced_chance,Unknown,Unknown,Unknown,-0.1909276514778244,0.8662075533817125,-0.11023213097646498,False,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,neurogpt,3,0.18689226122972,0.023019860150441017,0.2,balanced_chance,Unknown,Unknown,Unknown,-0.9862470655379038,0.42797974897976554,-0.5694100087757872,False,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,neurolm,3,0.20026195025137541,0.01150199447333871,0.2,balanced_chance,Unknown,Unknown,Unknown,0.039446301725264026,0.9721180965837186,0.022774332919616384,True,1.0,1.0
BCI_Speech_within_subject_linear_downsample,BCI_Speech,within_subject,reve,3,0.17386398220475383,0.025902137236289466,0.2,balanced_chance,Unknown,Unknown,Unknown,-1.747690173823493,0.2226282745841658,-1.0090293923170575,False,1.0,1.0
BETA_SSVEP_within_subject_linear_downsample,BETA_SSVEP,within_subject,reve,3,0.032612227681483766,0.008650989062195611,,unknown,Unknown,Unknown,Unknown,,,,,,
BETA_SSVEP_wsn_within_subject_linear_downsample,BETA_SSVEP_wsn,within_subject,bendr,3,0.02780020101783526,0.006224100116704068,0.025,balanced_chance,Unknown,Unknown,Unknown,0.7792436405835141,0.5174032721281676,0.44989652565519594,True,1.0,1.0
BETA_SSVEP_wsn_within_subject_linear_downsample,BETA_SSVEP_wsn,within_subject,biot,3,0.016994901208114106,0.0036630316822761177,0.025,balanced_chance,Unknown,Unknown,Unknown,-3.785180972974575,0.06324603779860206,-2.1853752536783206,False,1.0,0.3162301889930103
BETA_SSVEP_wsn_within_subject_linear_downsample,BETA_SSVEP_wsn,within_subject,brainomni,3,0.024634909546118956,0.0033760721736259933,0.025,balanced_chance,Unknown,Unknown,Unknown,-0.18730500503524086,0.8687019422881312,-0.10814059507766054,False,1.0,1.0
BETA_SSVEP_wsn_within_subject_linear_downsample,BETA_SSVEP_wsn,within_subject,cbramod,3,0.009942813151714205,0.005902424386467106,0.025,balanced_chance,Unknown,Unknown,Unknown,-4.418491611698384,0.047594390394831654,-2.551017321426166,False,1.0,0.2855663423689899
BETA_SSVEP_wsn_within_subject_linear_downsample,BETA_SSVEP_wsn,within_subject,eegmamba,3,0.01260356192940929,0.0008303714697988844,0.025,balanced_chance,Unknown,Unknown,Unknown,-25.8574160506075,0.001492302127820011,-14.928786117366393,False,0.32532186386476236,0.014923021278200109
