,pretrain_used_count,used_for_avg_rank
ad65,0,True
adhd,0,True
awakening,1,True
bci_speech,0,True
bcic2a,2,True
bcic4_1,0,True
beta_ssvep,0,True
broderick_cp,0,True
broderick_rev,0,True
chineseeeg2_ra_tone,0,True
cire,0,True
deap,0,True
depression_rest,0,True
dual_freq_ssvep,0,True
eav,0,True
eeg_mortality_pd,0,True
eeg_svrec,0,True
eegmat,0,True
hbn_eeg,1,True
hfo,1,True
hmc,0,True
isruc_s2,0,True
isruc_s3,0,True
lemon_age,0,True
lemon_extraversion,0,True
lemon_gender,0,True
longitudinal_eeg_reliability,0,True
mdd,0,True
monitoringerrp,0,True
musiceeg,1,True
pd31,0,True
pearl_neuro,1,True
physionet_mi,2,True
restcog,1,True
seed,1,True
seed_fra,2,True
seed_v,1,True
seed_vig,0,True
seed_vii,0,True
seediv,0,True
shu_mi,0,True
siena_eeg,3,True
sleepedf_full,0,True
ssvep,0,True
tdbrain,0,True
things_eeg2,0,True
tuep,8,False
tuev,7,False
workload,0,True
