,pretrain_used_count,overused_pretrain_dataset
ad65,0,False
adhd,0,False
awakening,1,False
bcic2a,2,False
bcic41,0,False
bcispeech,0,False
benchmarkssvep,0,False
betassvep,0,False
broderickcp,0,False
broderickrev,0,False
chineseeeg2ratone,0,False
cire,0,False
deaparousal,0,False
deapvalence,0,False
depressionrest,0,False
dualfreqssvep,0,False
eegmat,0,False
eegmortalitypd,0,False
eegsvrec,0,False
emoeeg,0,False
exoeegwalkstop,0,False
facednew,0,False
hbneeg,1,False
hfo,1,False
hmc,0,False
isrucs1,0,False
isrucs2,0,False
isrucs3,0,False
lemonage,0,False
lemonextraversion,0,False
lemongender,0,False
mdd,0,False
modma,0,False
monitoringerrp,0,False
musiceeg,1,False
pd31,0,False
pearlneuro,1,False
physionetmi,2,False
restcog,1,False
seed,1,False
seedfra,2,False
seediv,2,False
seedv,1,False
seedvig,0,False
seedvii,0,False
shumi,0,False
sienaeeg,3,False
sleepedffull,0,False
ssvep,0,False
tdbrain,0,False
thingseeg2,0,False
tuab,7,True
tuep,8,True
tuev,7,True
tusl,8,True
workload,0,False
