dataset_display,pretrain_used_count,overused_pretrain_dataset,used_for_avg_rank
AD65,0,False,True
ADHD,0,False,True
Depression_rest,0,False,True
EEG_Mortality_PD,0,False,True
HFO,1,False,True
LEMON_age,0,False,True
LEMON_extraversial,0,False,True
LEMON_gender,0,False,True
MDD,0,False,True
MODMA,0,False,True
PD31,0,False,True
Siena_EEG,3,False,True
TDBRAIN,0,False,True
TUAB,7,True,False
TUEP,8,True,False
TUEV,7,True,False
TUSL,8,True,False
Awakening,1,False,True
HBN_EEG,1,False,True
HMC,0,False,True
ISRUC_S1,0,False,True
ISRUC_S2,0,False,True
ISRUC_S3,0,False,True
PEARL_Neuro,1,False,True
RestCog,1,False,True
SleepEDF_full,0,False,True
CIRE,0,False,True
DEAP_arousal,0,False,True
DEAP_valence,0,False,True
EEGMAT,0,False,True
EEG_SVRec,0,False,True
FACED,0,False,True
MusicEEG,1,False,True
SEED,1,False,True
SEED_FRA,2,False,True
SEED_IV,2,False,True
SEED_V,1,False,True
SEED_VIG,0,False,True
SEED_VII,0,False,True
Workload,0,False,True
BCI_Speech,0,False,True
Broderick_CP,0,False,True
Broderick_Rev,0,False,True
ChineseEEG2_RA_Tone,0,False,True
Things_EEG2,0,False,True
BCIC2A,2,False,True
BCIC4_1,0,False,True
BenchmarkSSVEP,0,False,True
BETA_SSVEP,0,False,True
DUAL_FREQ_SSVEP,0,False,True
ExoEEG_WalkStop,0,False,True
Monitering-Errp,0,False,True
Physionet_MI,2,False,True
SHU_MI,0,False,True
SSVEP,0,False,True
