dataset_folder,max_f1,min_f1,mean_f1,std_f1
AD65_cross_subject_linear_downsample,0.5083650017245946,0.3380938519401206,0.41357542854884166,0.056895593734381265
ADHD_cross_subject_linear_downsample,0.7140571154204443,0.48863784244180747,0.5973190347368649,0.07402728736425578
Awakening_balanced_cross_subject_linear_downsample,0.7543006822612086,0.4719907407407407,0.6000226948990626,0.10118178247415872
BCIC2A_wsn_cross_subject_linear_downsample,0.3171296296296296,0.22800925925925927,0.2662037037037037,0.028376814117952606
BCIC4_1_cross_subject_linear_downsample,0.515,0.46166666666666667,0.49099999999999994,0.01665184526163044
BCI_Speech_cross_subject_linear_downsample,0.22366666666666668,0.18666666666666665,0.20533333333333337,0.011906010516531272
BETA_SSVEP_wsn_cross_subject_linear_downsample,0.04583333333333333,0.026785714285714284,0.032202380952380955,0.006152073599543495
BenchmarkSSVEP_cross_subject_linear_downsample,0.42546296296296293,0.025000000000000005,0.08425925925925924,0.12149443497133819
Broderick_CP_cross_subject_linear_downsample,0.6085674506508548,0.4993576034821361,0.5487247825238563,0.04177691594649785
Broderick_Rev_128_cross_subject_linear_downsample,0.559524256989588,0.46535728729296316,0.4968053635107462,0.025888683812397516
CIRE_wsn_cross_subject_linear_downsample,0.5664009201772657,0.49226707292597793,0.5396251204913483,0.025890559939637372
ChineseEEG2_RA_Tone_cross_subject_linear_downsample,0.25443989908360215,0.24982498508899134,0.25120349388228047,0.0015162868550024288
DEAP_arousal_wsn_cross_subject_linear_downsample,0.5180051156669042,0.4751618603456201,0.49832313423439495,0.012208307018808998
DEAP_valence_wsn_cross_subject_linear_downsample,0.5270627604147292,0.49995115348072766,0.508575576636207,0.008934599971727627
DUAL_FREQ_SSVEP_wsn_cross_subject_linear_downsample,0.05625,0.024479166666666666,0.034218750000000006,0.008873039526555418
Depression_rest_wsn_cross_subject_linear_downsample,0.5193399260860654,0.4948431690110944,0.503931926508523,0.008452476989252394
EEGMAT_cross_subject_linear_downsample,0.6160380564050288,0.4845679012345679,0.5269014044625665,0.04689334822034739
EEG_Mortality_PD_wsn_cross_subject_linear_downsample,0.5788793964479998,0.4979489823886574,0.5109751508647722,0.025344973381727
EEG_SVRec_cross_subject_linear_downsample,0.5077989089925946,0.49746962089070496,0.5020782913441918,0.0032279444447228254
EmoEEG_cross_subject_linear_downsample,0.34567481978306697,0.3048092750479004,0.3298474230049619,0.011430784319368378
ExoEEG_WalkStop_cross_subject_linear_downsample,0.5443281807603547,0.49708155775824164,0.5140068221000238,0.01470417901651221
FACED_new_cross_subject_linear_downsample,0.49533080088635645,0.1111111111111111,0.19685818296929408,0.10879456430306432
HBN_EEG_cross_subject_linear_downsample,0.15347762464837317,0.08038350561591501,0.10929881585555105,0.0221904020219532
HFO_cross_subject_linear_downsample,0.5806066093479231,0.504447903089516,0.5447350688360907,0.027948316012931376
HMC_cross_subject_linear_downsample,0.6600885269331902,0.20255102334364036,0.5580695547906809,0.1354474503373653
ISRUC_S1_cross_subject_linear_downsample,0.6146482279416817,0.23085586102635833,0.5233776085894404,0.11066744633669366
ISRUC_S2_wsn_cross_subject_linear_downsample,0.2719456586812254,0.18198050280017494,0.22831625122323626,0.03258144766295128
ISRUC_S3_wsn_cross_subject_linear_downsample,0.33807887627082384,0.19351363968935897,0.29621306027476835,0.04342079234943065
LEMON_age_wsn_cross_subject_linear_downsample,0.48571035619599917,0.33150981919056516,0.41392593524852195,0.062374786379194164
LEMON_extraversion_cross_subject_linear_downsample,0.5273440796488102,0.4749155115997567,0.5021054135067486,0.01612817019073291
LEMON_gender_wsn_cross_subject_linear_downsample,0.5816966122560299,0.4989839587225686,0.5416950960061151,0.03267556998293125
MDD_cross_subject_linear_downsample,0.9959199063095405,0.5259175864982448,0.7701576515505215,0.13718542645381412
MODMA_cross_subject_linear_downsample,0.7727240143369176,0.5,0.5728693747510953,0.09391769310091959
MonitoringErrP_cross_subject_linear_downsample,0.511547157622739,0.4897888771435283,0.49739913671599717,0.00759859459053794
MusicEEG_cross_subject_linear_downsample,0.5685185185185185,0.4498456790123457,0.5097376543209877,0.033958367521673985
PD31_cross_subject_linear_downsample,0.5692661424913056,0.2836656455306941,0.42198366994001874,0.10012505709443822
PEARL_Neuro_wsn_cross_subject_linear_downsample,0.48238310427262104,0.33580626047109186,0.44044344590495055,0.046165316518543394
Physionet_MI_wsn_cross_subject_linear_downsample,0.38792990096652485,0.24504462303401184,0.28762032085264566,0.04012322998833273
RestCog_wsn_cross_subject_linear_downsample,0.3688148148148148,0.20085185185185186,0.2961703703703704,0.06108329570242454
SEEDIV_cross_subject_linear_downsample,0.32627403274351596,0.22694906670800175,0.2858667548703728,0.03305929412937913
SEED_FRA_cross_subject_linear_downsample,0.4459649294025088,0.3333333333333333,0.3832225192855755,0.03773411160268712
SEED_VIG_wsn_cross_subject_linear_downsample,0.5128044127589491,0.3324316973094641,0.41199543903298236,0.06500605952687895
SEED_VII_cross_subject_linear_downsample,0.1918746569517393,0.14826065424691082,0.17492839245185304,0.015531549602898972
SEED_V_cross_subject_linear_downsample,0.2993982796834695,0.20248667549817292,0.23049091927439416,0.030626319497985246
SEED_cross_subject_linear_downsample,0.5224365279491628,0.35170662999856267,0.4576154041804023,0.05508632862530711
SHU_MI_cross_subject_linear_downsample,0.5202260225064935,0.47909439546619675,0.5061471342747749,0.012065294288549865
SSVEP_wsn_cross_subject_linear_downsample,0.030833333333333334,0.005208333333333333,0.011145833333333334,0.007839844122442584
Siena_EEG_cross_subject_linear_downsample,0.7993955775142174,0.43429050875318026,0.6442410489183154,0.11880984797838234
SleepEDF_full_cross_subject_linear_downsample,0.6961996384016018,0.20000000000000004,0.5203719530682648,0.1843819289062419
TDBRAIN_cross_subject_linear_downsample,0.40869031730507593,0.2783985102420857,0.3539503926852751,0.04909301233531759
TUAB_cross_subject_linear_downsample,0.7864577893738742,0.5,0.6880309783876943,0.07956556009913908
TUEP_cross_subject_linear_downsample,0.627191491878123,0.49981882361247276,0.5719316191238722,0.0492524051153295
TUEV_cross_subject_linear_downsample,0.6930945711746096,0.16394324412886943,0.35148443932365736,0.15052464548123748
TUSL_cross_subject_linear_downsample,0.6043817293817294,0.3176980426980427,0.463524161024161,0.07733576703692953
Things_EEG2_cross_subject_linear_downsample,0.5,0.4969172000295064,0.4993406358959739,0.001058882663366274
Workload_cross_subject_linear_downsample,0.4962714392244593,0.3445190156599553,0.42099179716629387,0.054938191784582
