dataset_folder,max_f1,min_f1,mean_f1,std_f1
Awakening_balanced_within_subject_linear_downsample,0.9856553669142335,0.5321730104210959,0.83524978859394,0.1570578010148983
BCIC2A_wsn_within_subject_linear_downsample,0.319460873795899,0.23965416181801605,0.28071168506759675,0.027576100003006327
BCI_Speech_within_subject_linear_downsample,0.2339697463504762,0.19868689219984895,0.21064875150657594,0.011617276475883119
BETA_SSVEP_within_subject_linear_downsample,0.039321500190649214,0.039321500190649214,0.039321500190649214,
BETA_SSVEP_wsn_within_subject_linear_downsample,0.04258016353948341,0.02382674917491076,0.029933159470190186,0.00600224372602519
Broderick_CP_within_subject_linear_downsample,0.6085674506508548,0.4993576034821361,0.5487247825238563,0.04177691594649785
Broderick_Rev_128_within_subject_linear_downsample,0.8473925375279798,0.5,0.5820793680703645,0.10382461984603619
Broderick_Rev_wsn_within_subject_linear_downsample,0.6528441897557951,0.4985316994228575,0.546067399158312,0.05242520025861972
CIRE_wsn_within_subject_linear_downsample,0.5519115324284941,0.5062976482322173,0.5272587745984222,0.017264604145670444
ChineseEEG2_RA_Tone_within_subject_linear_downsample,0.28169982766920537,0.19503338323062092,0.24603870189254243,0.020872183151166547
DUAL_FREQ_SSVEP_wsn_within_subject_linear_downsample,0.054140469416204706,0.02100419256669257,0.030983676726323787,0.009710468678821783
EEGDenoiseNet_singleCOz_within_subject_linear_downsample,0.9986366734832992,0.5,0.6184234987915971,0.15575366762282816
ExoEEG_WalkStop_within_subject_linear_downsample,0.500183232353339,0.500183232353339,0.500183232353339,
HBN_EEG_within_subject_linear_downsample,0.1296373525349531,0.07980977497921067,0.10737624641708679,0.01731250763986535
HFO_within_subject_linear_downsample,0.63846744765172,0.49926694289308665,0.583603038926807,0.04524528432181882
HMC_within_subject_linear_downsample,0.6590826536404261,0.20819269907773894,0.5489217731052656,0.1326252721346542
ISRUC_S1_within_subject_linear_downsample,0.6130029502260135,0.2,0.35497932039693764,0.1977461490695239
Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,0.7263681899827774,0.5111931370559918,0.6694674053083893,0.06163684755723729
MonitoringErrP_within_subject_linear_downsample,0.5120413027017267,0.4914963481165449,0.5030698813148611,0.007891038616335421
PEARL_Neuro_wsn_within_subject_linear_downsample,0.43668746635430633,0.3351702262309168,0.4016860597546558,0.03445599050354295
Physionet_MI_wsn_within_subject_linear_downsample,0.34498940161291797,0.25147849734220135,0.2739566169611251,0.02711390412837611
RestCog_wsn_within_subject_linear_downsample,0.36770893399457333,0.20582193288643644,0.2991266988686803,0.05560163408982132
SEED_FRA_within_subject_linear_downsample,0.43091736877777415,0.3333333333333333,0.38341753122119393,0.037494811271162706
SEED_VII_within_subject_linear_downsample,0.20547531433635816,0.14924229251483498,0.17779938094971798,0.018614949872681964
SEED_within_subject_linear_downsample,0.5409086708760213,0.3334629411449708,0.45277861652304063,0.062202579433600746
SHU_MI_within_subject_linear_downsample,0.5662176958160688,0.4920348634726395,0.5167057538270388,0.021708225764453776
SSVEP_wsn_within_subject_linear_downsample,0.025892857142857138,0.005952380952380952,0.010922619047619047,0.006727112241939051
Siena_EEG_within_subject_linear_downsample,0.7223364966527894,0.5033440126105265,0.621774232329529,0.08457810563113888
TUAB_within_subject_linear_downsample,0.9955423476968797,0.8038632986627043,0.9155522535908865,0.06484086777595267
Workload_within_subject_linear_downsample,0.35647526721352224,0.24832214765100669,0.32065374098931143,0.02923844358050726
