dataset_folder,max_f1,min_f1,mean_f1,std_f1
AD65_cross_subject_linear_downsample,0.4958292084421612,0.23490504536484372,0.36745573482379035,0.0831348597313021
ADHD_cross_subject_linear_downsample,0.69517998976117,0.43329551740284855,0.5500136067480519,0.08179888683436026
Awakening_balanced_cross_subject_linear_downsample,0.7520047127841704,0.4035549708418827,0.5900410548827488,0.11567447046745595
BCIC2A_wsn_cross_subject_linear_downsample,0.2657436655491851,0.10000000000000002,0.18226143782643286,0.059038651570311386
BCIC4_1_cross_subject_linear_downsample,0.5112612143450509,0.33668452403522364,0.43027683383780113,0.050933579700645444
BCI_Speech_cross_subject_linear_downsample,0.2041370501018934,0.16466053102785008,0.18345349638647016,0.014098768560020167
BETA_SSVEP_wsn_cross_subject_linear_downsample,0.03749361197463138,0.012268326004405765,0.021521673268626976,0.00854768830517862
BenchmarkSSVEP_cross_subject_linear_downsample,0.4291772117613553,0.0012195121951219512,0.07010569121117267,0.12797515260918801
Broderick_CP_cross_subject_linear_downsample,0.6048533383964902,0.4372100501597583,0.5293718813697652,0.05852561928474265
Broderick_Rev_128_cross_subject_linear_downsample,0.5407685855263836,0.361062871414247,0.4044360582308554,0.056617767179800944
CIRE_wsn_cross_subject_linear_downsample,0.5601964186220383,0.43858329377176036,0.510957676995773,0.04660976304733687
ChineseEEG2_RA_Tone_cross_subject_linear_downsample,0.24513357866104568,0.15986215814816362,0.2050658017637764,0.030420841183844347
DEAP_arousal_wsn_cross_subject_linear_downsample,0.48288854070321685,0.3780843718785858,0.43981155693611595,0.04125518151418419
DEAP_valence_wsn_cross_subject_linear_downsample,0.509992753062522,0.4276187522523498,0.4679745020947134,0.032132807725051414
DUAL_FREQ_SSVEP_wsn_cross_subject_linear_downsample,0.04196052361956135,0.00805053951037825,0.020461329602220236,0.010116863295309864
Depression_rest_wsn_cross_subject_linear_downsample,0.5118014268147556,0.4258473155738113,0.44737629798697054,0.029280799172807837
EEGMAT_cross_subject_linear_downsample,0.6049317774635109,0.4280000358520922,0.4841073001998174,0.07312484144452715
EEG_Mortality_PD_wsn_cross_subject_linear_downsample,0.5924177639098839,0.4537107880642693,0.47462949960148804,0.04337754595198491
EEG_SVRec_cross_subject_linear_downsample,0.5003937136044058,0.389685064400714,0.4613287209541266,0.03596285116372597
EmoEEG_cross_subject_linear_downsample,0.32155148319889276,0.2021567181260968,0.27481507009846406,0.03752885460034104
ExoEEG_WalkStop_cross_subject_linear_downsample,0.531227570861331,0.39268673145444044,0.48000733800188466,0.03790105734367987
FACED_new_cross_subject_linear_downsample,0.49147591249533146,0.027777777777777776,0.165835021921905,0.12270986196450492
HBN_EEG_cross_subject_linear_downsample,0.11895724048648686,0.04631242925840659,0.07250046885618869,0.021537618936183923
HFO_cross_subject_linear_downsample,0.5566836808250879,0.46453840007456076,0.5180984957789339,0.03089516979462425
HMC_cross_subject_linear_downsample,0.6411366678617759,0.19683423123265678,0.5192421846773039,0.13134982250972996
ISRUC_S1_cross_subject_linear_downsample,0.5901964563616827,0.2234864683605899,0.49803692963746915,0.11170858907062634
ISRUC_S2_wsn_cross_subject_linear_downsample,0.22733025385800845,0.0866371179293721,0.1645189515362663,0.052169671284609635
ISRUC_S3_wsn_cross_subject_linear_downsample,0.30781017196359106,0.16892485756323342,0.2506162715480104,0.041855958335286846
LEMON_age_wsn_cross_subject_linear_downsample,0.4664259612451965,0.1974890864716973,0.35337692600953785,0.10161442058143129
LEMON_extraversion_cross_subject_linear_downsample,0.5036247868731087,0.4002584745067761,0.4648984911620332,0.034909664724897545
LEMON_gender_wsn_cross_subject_linear_downsample,0.5776492302799174,0.3699349630119984,0.48592590872466956,0.07741376188771111
MDD_cross_subject_linear_downsample,0.996240380827906,0.4373045386916801,0.7303711046294626,0.15689741774311075
MODMA_cross_subject_linear_downsample,0.7571725840382557,0.3973509933774834,0.5214973198908961,0.1307438453327666
MonitoringErrP_cross_subject_linear_downsample,0.4860076763026134,0.3928148915980918,0.4631201011477419,0.030197619621878058
MusicEEG_cross_subject_linear_downsample,0.53629604566927,0.2787083001568558,0.45431746800816236,0.08121510518995849
PD31_cross_subject_linear_downsample,0.42456105384643256,0.2253970014964782,0.3436024697107463,0.0761624852173276
PEARL_Neuro_wsn_cross_subject_linear_downsample,0.48247281076853515,0.28250546704559526,0.4221358850271432,0.059933334710225175
