dataset_folder,max_f1,min_f1,mean_f1,std_f1
Awakening_balanced_within_subject_linear_downsample,0.9807962384520347,0.505942642020614,0.8224303937172298,0.16527232057136879
BCIC2A_wsn_within_subject_linear_downsample,0.30711153498303173,0.09781095035515304,0.249299037506917,0.060996087895312266
BCI_Speech_within_subject_linear_downsample,0.2070050765439804,0.15457043664548661,0.18953367012018169,0.015930600094731122
BETA_SSVEP_within_subject_linear_downsample,0.032612227681483766,0.032612227681483766,0.032612227681483766,
BETA_SSVEP_wsn_within_subject_linear_downsample,0.032663513690987106,0.006025351781032275,0.018217934391762416,0.00829653443625653
Broderick_CP_within_subject_linear_downsample,0.6048533383964902,0.4372100501597583,0.5293718813697652,0.05852561928474265
Broderick_Rev_128_within_subject_linear_downsample,0.8381525012266517,0.5374849956261979,0.6878187484264249,0.21260403209252515
Broderick_Rev_wsn_within_subject_linear_downsample,0.6179405330828812,0.39771549150480223,0.48411947788917187,0.08855670800561223
CIRE_wsn_within_subject_linear_downsample,0.5250949352893121,0.41524389054330185,0.480623960417796,0.0339016563968168
ChineseEEG2_RA_Tone_within_subject_linear_downsample,0.24648536388727416,0.19094852529397624,0.22329554412585723,0.018293738273148123
DUAL_FREQ_SSVEP_wsn_within_subject_linear_downsample,0.04591039751913206,0.005598033349019825,0.017896292184097946,0.012407458951032761
EEGDenoiseNet_singleCOz_within_subject_linear_downsample,0.9986366506772836,0.3333333333333333,0.5513290990374631,0.21702915386814048
ExoEEG_WalkStop_within_subject_linear_downsample,0.5001077139081135,0.5001077139081135,0.5001077139081135,
HBN_EEG_within_subject_linear_downsample,0.09484607924430082,0.046438201512996345,0.07148421469448935,0.015022934051160444
HFO_within_subject_linear_downsample,0.6381958386065595,0.49527058541050994,0.5781906902227842,0.044853807391955665
HMC_within_subject_linear_downsample,0.6413531531167519,0.2039017813038729,0.5269329852465336,0.13026374398775645
ISRUC_S1_within_subject_linear_downsample,0.596450016813955,0.061673414304993256,0.2898392004647452,0.2557749523077518
Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,0.7389667869763566,0.508336877421065,0.664770218552458,0.06476148265130563
MonitoringErrP_within_subject_linear_downsample,0.5068187465828663,0.4626883816182927,0.48643613692432386,0.012606644233526781
PEARL_Neuro_wsn_within_subject_linear_downsample,0.4242653223520127,0.18624185650347422,0.33717392405236746,0.07479222818838392
Physionet_MI_wsn_within_subject_linear_downsample,0.3360510552011647,0.2117651879561123,0.25153471466824484,0.033772117030975726
RestCog_wsn_within_subject_linear_downsample,0.33334054110633143,0.20387655201711227,0.269760925252836,0.04578318752170401
SEED_FRA_within_subject_linear_downsample,0.41402319665580234,0.19200844088225832,0.3333626664865184,0.06679418537522937
SEED_VII_within_subject_linear_downsample,0.18968360972085285,0.13857788209708563,0.15226297406551412,0.015431585736645218
SEED_within_subject_linear_downsample,0.4841754169701957,0.2905642726295061,0.41762282805614587,0.06289200380296854
SHU_MI_within_subject_linear_downsample,0.5637442967896172,0.4244646136557195,0.49816768530822014,0.0348143227350158
SSVEP_wsn_within_subject_linear_downsample,0.02055358395433902,7.763975155279502e-05,0.006508289389636287,0.00648696145414653
Siena_EEG_within_subject_linear_downsample,0.6347572732251244,0.47988040865340226,0.5552747191468029,0.047466571252490784
TUAB_within_subject_linear_downsample,0.49888309754281457,0.4456342668863262,0.4774471810284881,0.018096098119642558
Workload_within_subject_linear_downsample,0.23881434965443984,0.08058026787982707,0.13521027544233188,0.06731707256325206
