group,n_models,n_datasets,friedman_chi2,friedman_p,kendalls_w,status,note
all::cross_subject,11.0,1,,,,insufficient_data,Need at least 3 models and 2 datasets with complete coverage.
all::within_subject,11.0,1,,,,insufficient_data,Need at least 3 models and 2 datasets with complete coverage.
Biometrics & Disease::cross_subject,11.0,1,,,,insufficient_data,Need at least 3 models and 2 datasets with complete coverage.
Cognition & Emotion::cross_subject,10.0,4,22.52727272727273,0.007349966348852195,0.6257575757575758,ok,
Consciousness & State::cross_subject,10.0,1,,,,insufficient_data,Need at least 3 models and 2 datasets with complete coverage.
Interaction & Control::cross_subject,10.0,2,4.472727272727269,0.8776422090505079,0.24848484848484828,ok,
Naturalistic Stimulus Decoding::cross_subject,,0,,,,no_data,No dataset matched this category after merging taxonomy.
Signal Reliability::cross_subject,,0,,,,no_data,No dataset matched this category after merging taxonomy.
Biometrics & Disease::within_subject,10.0,1,,,,insufficient_data,Need at least 3 models and 2 datasets with complete coverage.
Cognition & Emotion::within_subject,10.0,2,15.490909090909085,0.07830439027538491,0.8606060606060603,ok,
Consciousness & State::within_subject,10.0,1,,,,insufficient_data,Need at least 3 models and 2 datasets with complete coverage.
Interaction & Control::within_subject,10.0,2,9.599999999999994,0.38382651737138457,0.533333333333333,ok,
Naturalistic Stimulus Decoding::within_subject,,0,,,,no_data,No dataset matched this category after merging taxonomy.
Signal Reliability::within_subject,,0,,,,no_data,No dataset matched this category after merging taxonomy.
