group,model,avg_rank
Cognition & Emotion::cross_subject,bendr,9.25
Cognition & Emotion::cross_subject,biot,8.0
Cognition & Emotion::cross_subject,brainomni,2.75
Cognition & Emotion::cross_subject,cbramod,1.75
Cognition & Emotion::cross_subject,eegmamba,5.0
Cognition & Emotion::cross_subject,femba,5.75
Cognition & Emotion::cross_subject,labram,4.0
Cognition & Emotion::cross_subject,neurogpt,6.75
Cognition & Emotion::cross_subject,neurolm,4.25
Cognition & Emotion::cross_subject,reve,7.5
Interaction & Control::cross_subject,bendr,6.0
Interaction & Control::cross_subject,biot,4.0
Interaction & Control::cross_subject,brainomni,4.0
Interaction & Control::cross_subject,cbramod,5.0
Interaction & Control::cross_subject,eegmamba,5.5
Interaction & Control::cross_subject,femba,5.5
Interaction & Control::cross_subject,labram,6.5
Interaction & Control::cross_subject,neurogpt,4.0
Interaction & Control::cross_subject,neurolm,5.5
Interaction & Control::cross_subject,reve,9.0
Cognition & Emotion::within_subject,bendr,10.0
Cognition & Emotion::within_subject,biot,2.0
Cognition & Emotion::within_subject,brainomni,2.0
Cognition & Emotion::within_subject,cbramod,2.0
Cognition & Emotion::within_subject,eegmamba,6.5
Cognition & Emotion::within_subject,femba,5.5
Cognition & Emotion::within_subject,labram,5.5
Cognition & Emotion::within_subject,neurogpt,5.5
Cognition & Emotion::within_subject,neurolm,7.5
Cognition & Emotion::within_subject,reve,8.5
Interaction & Control::within_subject,bendr,7.0
Interaction & Control::within_subject,biot,5.5
Interaction & Control::within_subject,brainomni,1.5
Interaction & Control::within_subject,cbramod,6.0
Interaction & Control::within_subject,eegmamba,4.5
Interaction & Control::within_subject,femba,5.5
Interaction & Control::within_subject,labram,9.5
Interaction & Control::within_subject,neurogpt,7.0
Interaction & Control::within_subject,neurolm,3.0
Interaction & Control::within_subject,reve,5.5
