group,model,avg_rank
Cognition & Emotion,bendr,10.0
Cognition & Emotion,biot,2.0
Cognition & Emotion,brainomni,2.0
Cognition & Emotion,cbramod,2.0
Cognition & Emotion,eegmamba,6.5
Cognition & Emotion,femba,5.5
Cognition & Emotion,labram,5.5
Cognition & Emotion,neurogpt,6.0
Cognition & Emotion,neurolm,7.0
Cognition & Emotion,reve,8.5
Interaction & Control,bendr,7.0
Interaction & Control,biot,5.5
Interaction & Control,brainomni,1.5
Interaction & Control,cbramod,6.0
Interaction & Control,eegmamba,4.5
Interaction & Control,femba,5.5
Interaction & Control,labram,9.5
Interaction & Control,neurogpt,7.0
Interaction & Control,neurolm,3.0
Interaction & Control,reve,5.5
