group,model,avg_rank
Cognition & Emotion,bendr,7.75
Cognition & Emotion,biot,8.5
Cognition & Emotion,brainomni,4.0
Cognition & Emotion,cbramod,1.25
Cognition & Emotion,eegmamba,4.5
Cognition & Emotion,femba,6.0
Cognition & Emotion,labram,4.5
Cognition & Emotion,neurogpt,7.75
Cognition & Emotion,neurolm,5.0
Cognition & Emotion,reve,5.75
Interaction & Control,bendr,5.5
Interaction & Control,biot,6.0
Interaction & Control,brainomni,4.0
Interaction & Control,cbramod,4.0
Interaction & Control,eegmamba,3.5
Interaction & Control,femba,6.5
Interaction & Control,labram,3.0
Interaction & Control,neurogpt,8.5
Interaction & Control,neurolm,9.5
Interaction & Control,reve,4.5
