,eegnet,eegconformer,femba,brainomni,labram,biot,cbramod,neurogpt,reve,eegmamba,bendr,neurolm
AD65,0.38,0.364,0.456,0.453,0.474,0.508,0.377,0.42,0.338,0.377,0.338,0.381
ADHD,0.627,0.6,0.657,0.63,0.568,0.551,0.548,0.714,0.492,0.55,0.489,0.629
Awakening,0.659,0.811,0.771,0.747,0.631,0.599,0.473,0.577,0.577,0.489,0.472,0.579
BCIC2A,0.348,0.374,0.259,0.306,0.262,0.25,0.269,0.254,0.228,0.282,0.236,0.317
BCIC4_1,0.495,0.508,0.49,0.495,0.507,0.462,0.51,0.482,0.515,0.482,0.475,0.493
BCI_Speech,0.207,0.217,0.194,0.22,0.214,0.205,0.202,0.194,0.2,0.207,0.207,0.224
BETA_SSVEP,0.028,0.027,0.036,0.035,0.031,0.031,0.029,0.027,0.018,0.027,0.027,0.028
Broderick_CP,,,0.475,0.371,0.437,0.326,0.451,0.322,0.461,0.375,0.395,0.471
Broderick_Rev,0.467,0.526,0.5,0.487,0.499,0.5,0.5,0.5,0.491,0.5,0.5,0.5
CHB_MIT,0.74,0.694,,,,,,,,,,
CIRE,0.519,0.512,0.566,0.558,0.561,0.545,0.517,0.561,0.506,0.551,0.492,0.538
ChineseEEG2_RA_Tone,0.249,0.25,0.254,0.25,0.25,0.253,0.251,0.251,0.252,0.251,0.25,0.25
DEAP,0.543,0.534,0.252,0.256,0.236,0.246,0.232,0.245,0.237,0.252,0.245,0.225
DUAL_FREQ_SSVEP,0.027,0.033,0.038,0.056,0.028,0.036,0.03,0.024,0.034,0.036,0.028,0.031
Depression_rest,,,0.519,0.5,0.5,0.498,0.5,0.506,0.5,0.495,0.5,0.501
EAV,0.238,0.222,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EEGMAT,,,0.602,0.485,0.495,0.549,0.5,0.522,0.499,0.503,0.498,0.616
EEG_Mortality_PD,,,0.502,0.5,0.5,0.579,0.5,0.5,0.501,0.502,0.498,0.527
HBN_EEG,,,0.116,0.153,0.125,0.129,0.11,0.097,0.09,0.101,0.08,0.09
HFO,0.529,0.523,0.523,0.556,0.535,0.581,0.577,0.542,0.508,0.577,0.504,0.543
HMC,0.453,0.529,0.62,0.66,0.632,0.571,0.487,0.576,0.505,0.554,0.203,0.65
ISRUC_S1,0.332,0.46,,,,,,,,,,
ISRUC_S2,0.206,0.238,0.25,0.272,0.182,0.266,0.202,0.258,0.242,0.208,0.202,0.201
ISRUC_S3,0.255,0.315,0.333,0.321,0.275,0.331,0.269,0.293,0.311,0.297,0.194,0.338
LEMON_age,0.333,0.343,0.482,0.455,0.438,0.486,0.333,0.431,0.439,0.332,0.333,0.389
LEMON_extraversion,,,0.519,0.475,0.502,0.498,0.527,0.478,0.504,0.506,0.503,0.509
LEMON_gender,0.513,0.578,0.554,0.538,0.578,0.58,0.505,0.533,0.537,0.499,0.5,0.582
Longitudinal_EEG_Reliability,0.777,0.797,0.723,0.74,0.692,0.725,0.648,0.653,0.638,0.677,0.499,0.737
MDD,,,0.744,0.996,0.744,0.862,0.75,0.631,0.824,0.706,0.526,0.92
MODMA,0.624,0.595,,,,,,,,,,
Mean,0.442,0.467,0.431,0.438,0.429,0.426,0.413,0.401,0.388,0.396,0.35,0.436
MonitoringErrP,,,0.495,0.493,0.49,0.509,0.492,0.496,0.497,0.512,0.5,0.497
MusicEEG,0.595,0.546,0.459,0.488,0.504,0.488,0.498,0.502,0.521,0.496,0.478,0.492
N,34.0,34.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
PD31,0.272,0.377,0.431,0.383,0.298,0.571,0.425,0.06,0.316,0.01,0.065,0.272
PEARL_Neuro,,,0.466,0.482,0.465,0.464,0.455,0.448,0.387,0.425,0.336,0.476
Physionet_MI,0.437,0.489,0.293,0.388,0.279,0.245,0.268,0.268,0.267,0.279,0.253,0.296
RestCog,0.267,0.284,0.341,0.351,0.353,0.369,0.26,0.28,0.233,0.235,0.201,0.338
SEED,0.415,0.434,0.409,0.492,0.504,0.423,0.514,0.465,0.378,0.475,0.352,0.522
SEEDIV,,,0.307,0.316,0.303,0.227,0.311,0.283,0.248,0.282,0.255,0.326
SEED_FRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEED_V,,,0.299,0.234,0.233,0.266,0.208,0.224,0.205,0.215,0.202,0.217
SEED_VIG,,,0.513,0.43,0.416,0.333,0.393,0.466,0.358,0.378,0.332,0.5
SEED_VII,,,0.192,0.187,0.181,0.164,0.191,0.173,0.152,0.184,0.148,0.177
SHU_MI,,,0.508,0.52,0.514,0.508,0.517,0.515,0.501,0.479,0.497,0.503
SSVEP,,,0.005,0.017,0.008,0.006,0.007,0.006,0.007,0.01,0.014,0.031
Siena_EEG,0.632,0.715,0.511,0.641,0.724,0.652,0.799,0.434,0.544,0.732,0.63,0.774
SleepEDF_full,0.587,0.631,0.623,0.67,0.69,0.2,0.51,0.632,0.438,0.526,0.218,0.696
Std,0.207,0.208,0.201,0.211,0.212,0.214,0.215,0.208,0.2,0.211,0.197,0.227
TDBRAIN,0.379,0.389,0.399,0.409,0.391,0.391,0.341,0.384,0.316,0.323,0.278,0.371
TUEV,,,0.439,0.378,0.449,0.718,0.257,0.288,0.18,0.295,0.163,0.278
Things_EEG2,0.498,0.498,0.498,0.5,0.5,0.497,0.5,0.5,0.5,0.498,0.5,0.5
Workload,0.402,0.476,0.405,0.438,0.482,0.455,0.496,0.35,0.421,0.43,0.357,0.375
