,eegconformer,eegnet,cbramod_x,brainomni_x,reve_x,femba_x,biot_x,labram_x,neurolm_x,neurogpt_x,eegmamba_x,bendr_x,femba_y,brainomni_y,labram_y,biot_y,cbramod_y,neurogpt_y,reve_y,eegmamba_y,bendr_y,neurolm_y
AD65,,,,,,,,,,,,,0.4557655967,0.4526938154,0.4739906521,0.5083650017,0.3768715484,0.4195187923,0.3375522119,0.3766767197,0.3380938519,0.3808167938
ADHD,0.8564886282,0.7528558197,0.7191725841,0.6479674797,0.5826464816,,,,,,,,0.6567658386,0.6300522351,0.5681207865,0.5512292352,0.5478054871,0.7140571154,0.4920265087,0.5503674088,0.4886378424,0.6291939858
Awakening,,,0.7747154919,0.997306351,0.5863881417,0.9796546826,0.9915473568,0.9883529326,0.8758321789,0.7831971391,0.7355078519,0.5672133942,0.7543006823,0.7229775828,0.6306773879,0.6022660819,0.473245614,0.5769736842,0.5936163026,0.489205653,0.4719907407,0.5950536062
BCIC2A,,0.5052083333,0.3240740741,0.3038194444,0.3043981481,0.3472222222,0.25,0.3055555556,0.2789351852,0.3726851852,0.2962962963,0.2526041667,0.2586805556,0.3055555556,0.2615740741,0.25,0.2690972222,0.2540509259,0.2280092593,0.2818287037,0.2361111111,0.3171296296
BCIC4_1,,,,,,,,,,,,,0.49,0.495,0.5066666667,0.4616666667,0.51,0.4816666667,0.515,0.4816666667,0.475,0.4933333333
BCI_Speech,,,,,,,,,,,,,0.194,0.2203333333,0.2143333333,0.2046666667,0.2016666667,0.1936666667,0.2,0.2073333333,0.207,0.2236666667
BETA_SSVEP,,,,,,,,,,,,,0.037202381,0.0380952381,0.0267857143,0.0291666667,0.0291666667,0.0273809524,0.0175595238,0.0285714286,0.0303571429,0.0294642857
Broderick_CP,,,,,,,,,,,,,0.474668148,0.3709175965,0.4368311288,0.326412897,0.4514255778,0.3215534865,0.4606091835,0.3754213774,0.3952900158,0.4713906772
Broderick_Rev,,,,,,,,,,,,,0.5,0.4873611111,0.4994444444,0.5,0.4998611111,0.4995833333,0.4909722222,0.5,0.5,0.5
CIRE,,,,,,,,,,,,,0.5664009202,0.5578467409,0.5609942299,0.545338116,0.5169197626,0.5608189166,0.5057754144,0.5514543045,0.4922670729,0.5384357269
