,femba,labram,biot,reve,cbramod,neurolm,neurogpt,eegmamba,brainomni,bendr,eegnet,eegconformer
AD65,0.6225776279,0.680240708,0.6021355581,0.5182645007,0.4991977054,0.4779496663,0.442632307,0.4767345361,0.3857069653,0.3333333333,0.379716469,0.3638852318
ADHD,0.7263054624,0.714038964,0.6115276223,0.5456801967,0.6604088245,0.6443971509,0.7152784922,0.6529629644,0.6734465789,0.5,0.6269964275,0.5997355002
Awakening,0.9796546826,0.9883529326,0.9915473568,0.5863881417,0.7747154919,0.8758321789,0.7831971391,0.7355078519,0.997306351,0.5672133942,0.6588583705,0.8113993425
BCIC2A,0.4415509259,0.3530092593,0.25,0.3726851852,0.46875,0.318287037,0.4270833333,0.3148148148,0.3512731481,0.25,0.3480902778,0.3741319444
BCI_Speech,0.214,0.252,0.282,0.208,0.261,0.281,0.206,0.207,0.197,0.2,0.2065,0.2165
EEG_Mortality_PD,0.5237414271,0.5270741042,0.6425949822,0.5011830601,0.5,0.5508925771,0.4929320856,0.5,0.5588436902,0.4998089206,0.2375,0.221875
ExoEEG_WalkStop,0.5095943516,0.529704447,0.5073699403,0.5225913278,0.5698038889,0.5226504034,0.4986913185,0.5113923038,0.4907527757,0.5015321413,0.5354450515,0.5401852241
FACED_new,0.259813232,0.2795188351,0.1921494144,0.3199588477,0.4792655904,0.3520892688,0.294634378,0.2508705286,0.3336498892,0.1111111111,0.4398267471,0.3937383791
HFO,0.5393374175,0.5629725814,0.5979063772,0.5272257282,0.574220809,0.5763419071,0.5766781004,0.5948177144,0.5677881676,0.5098110465,0.5286243497,0.5229040148
HMC,0.593723736,0.6234029549,0.5607880938,0.49215882,0.4670568877,0.652896891,0.5742049791,0.5295745638,0.6635309606,0.2026182089,0.4534375713,0.52855357
ISRUC_S2,0.2487096692,0.2117715618,0.2576454717,0.2529421719,0.2,0.2119173754,0.2698916629,0.2027272727,0.2108264231,0.1962160062,0.2060677669,0.2383559885
Physionet_MI,0.4979266725,0.5156041572,0.3074272257,0.4752674426,0.5269557219,0.4927055776,0.4990801689,0.3286399464,0.4357495084,0.25,0.4373733551,0.4891099736
TUSL,0.5439814815,0.7971560847,0.7597222222,0.4917328042,0.6203703704,0.4005952381,0.4712962963,0.6168650794,0.5772486772,0.3787037037,0.2868589744,0.4245661746
Mean,0.5154551297,0.5411420454,0.5048318665,0.4472367867,0.5078265608,0.4890427132,0.4808923278,0.455531352,0.4956248566,0.3461806051,0.4245490196,0.4527939042
Std,0.2065949366,0.2271078258,0.2355711993,0.1192377644,0.1515513103,0.1800737612,0.1643751331,0.1773160041,0.2161047113,0.1545091101,0.1985855161,0.2029618389
N,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,40.0,40.0
