,femba,brainomni,labram,biot,cbramod,neurogpt,eegmamba,bendr,reve,neurolm,eegnet,eegconformer
ad65,0.4557655967,0.4526938154,0.4739906521,0.5083650017,0.3768715484,0.4195187923,0.3766767197,0.3380938519,0.3529615134,0.3808167938,0.379716469,0.3638852318
adhd,0.6567658386,0.6300522351,0.6781207865,0.5512292352,0.5478054871,0.7140571154,0.5503674088,0.4886378424,0.5269604124,0.6291939858,0.6269964275,0.5997355002
awakening,0.7543006823,0.7229775828,0.6306773879,0.6022660819,0.473245614,0.5769736842,0.489205653,0.4719907407,0.6835359159,0.5950536062,0.6588583705,0.8113993425
bcic2a,0.2586805556,0.3055555556,0.2615740741,0.25,0.2690972222,0.2540509259,0.2818287037,0.2361111111,0.2280092593,0.3171296296,0.3480902778,0.3741319444
bcic41,0.49,0.495,0.5066666667,0.4616666667,0.51,0.4816666667,0.4816666667,0.475,0.515,0.4933333333,0.495,0.5075
bcispeech,0.194,0.2203333333,0.2143333333,0.2046666667,0.2016666667,0.1936666667,0.2073333333,0.207,0.1866666667,0.2236666667,0.2065,0.2165
betassvep,0.037202381,0.0380952381,0.0267857143,0.0291666667,0.0291666667,0.0273809524,0.0285714286,0.0303571429,0.0458333333,0.0294642857,0.028125,0.0272321429
cire,0.5664009202,0.5578467409,0.5609942299,0.545338116,0.5169197626,0.5608189166,0.5514543045,0.4922670729,0.5057754144,0.5384357269,0.5188222441,0.5119546309
chineseeeg2ratone,0.2544398991,0.2498249851,0.2504179266,0.2531357501,0.2505003307,0.2507882799,0.2508143722,0.2499631395,0.2519631329,0.2501871227,0.2486564285,0.2500372321
dualfreqssvep,0.0380208333,0.05625,0.0276041667,0.0359375,0.0302083333,0.0244791667,0.0364583333,0.028125,0.0338541667,0.03125,0.02734375,0.0328125
eegmortalitypd,0.502025467,0.5,0.5,0.5788793964,0.5,0.5,0.5024737642,0.4979489824,0.5010684803,0.5273554184,0.2375,0.221875
exoeegwalkstop,0.5443281808,0.5261511953,0.5023091622,0.5134444989,0.5001395553,0.5170341183,0.4970815578,0.5048075374,0.5088276924,0.5259447227,0.5354450515,0.5401852241
facednew,0.1617600506,0.1959480848,0.1543209877,0.1589901868,0.4953308009,0.1522633745,0.1516302627,0.1111111111,0.2215099715,0.1657169991,0.4398267471,0.3937383791
hfo,0.5234025488,0.5564574922,0.5350701175,0.5806066093,0.5766793022,0.5424831628,0.5771836937,0.5044479031,0.5079511864,0.5430686724,0.5286243497,0.5229040148
hmc,0.6204304176,0.6600885269,0.6316500629,0.5711706951,0.4866075319,0.5756857428,0.5540451646,0.2025510233,0.6285144515,0.6499519312,0.4534375713,0.52855357
isrucs1,0.5884396384,0.5956566413,0.560227718,0.5538524616,0.4814793922,0.5474852612,0.4978369264,0.230855861,0.5632939578,0.6146482279,0.3317945232,0.460201451
isrucs2,0.249895452,0.2719456587,0.1819805028,0.2664902604,0.2024081394,0.2578305904,0.2082621904,0.201769497,0.2416930227,0.2008871986,0.2060677669,0.2383559885
isrucs3,0.3332623722,0.3211093685,0.2748777345,0.3310451818,0.268620492,0.2927819529,0.2973645506,0.1935136397,0.3114764343,0.3380788763,0.2548482955,0.3150710339
lemonage,0.4824340638,0.4552551106,0.4375867142,0.4857103562,0.3333333333,0.4307553226,0.3315098192,0.3333467708,0.4390467141,0.3885612784,0.3331223131,0.3430210406
lemonextraversion,0.5192380673,0.4749155116,0.5016329018,0.4978077238,0.5273440796,0.4778947882,0.5062660046,0.5032452984,0.5039384319,0.5087713277,0.4705657518,0.4856587287
lemongender,0.5535349971,0.5375259221,0.5778729528,0.5802646216,0.5051081517,0.5327322976,0.4989839587,0.4998314921,0.5372104918,0.5816966123,0.5126079065,0.5780389914
monitoringerrp,0.4949054498,0.4932831219,0.4904201903,0.5093742659,0.4916314306,0.4956101715,0.5115471576,0.5004991778,0.4897888771,0.4969315245,0.5132025194,0.5419529598
musiceeg,0.5095679012,0.5186728395,0.5427469136,0.449845679,0.5685185185,0.4847222222,0.5177469136,0.4725308642,0.5171296296,0.5158950617,0.5949074074,0.5462962963
pd31,0.5779354923,0.5579297625,0.5008895482,0.5513340679,0.521126873,0.4836656455,0.4304621163,0.4830464716,0.5859328092,0.5136355423,0.2722724531,0.3773880307
