model,AD65_cross_subject_linear_downsample,ADHD_cross_subject_linear_downsample,Awakening_balanced_cross_subject_linear_downsample,BCIC2A_wsn_cross_subject_linear_downsample,BCIC4_1_cross_subject_linear_downsample,BCI_Speech_cross_subject_linear_downsample,BETA_SSVEP_wsn_cross_subject_linear_downsample,BenchmarkSSVEP_cross_subject_linear_downsample,Broderick_CP_cross_subject_linear_downsample,Broderick_Rev_128_cross_subject_linear_downsample,CIRE_wsn_cross_subject_linear_downsample,ChineseEEG2_RA_Tone_cross_subject_linear_downsample,DEAP_arousal_wsn_cross_subject_linear_downsample,DEAP_valence_wsn_cross_subject_linear_downsample,DUAL_FREQ_SSVEP_wsn_cross_subject_linear_downsample,Depression_rest_wsn_cross_subject_linear_downsample,EEGMAT_cross_subject_linear_downsample,EEG_Mortality_PD_wsn_cross_subject_linear_downsample,EEG_SVRec_cross_subject_linear_downsample,EmoEEG_cross_subject_linear_downsample,ExoEEG_WalkStop_cross_subject_linear_downsample,FACED_new_cross_subject_linear_downsample,HBN_EEG_cross_subject_linear_downsample,HFO_cross_subject_linear_downsample,HMC_cross_subject_linear_downsample,ISRUC_S1_cross_subject_linear_downsample,ISRUC_S2_wsn_cross_subject_linear_downsample,ISRUC_S3_wsn_cross_subject_linear_downsample,LEMON_age_wsn_cross_subject_linear_downsample,LEMON_extraversion_cross_subject_linear_downsample,LEMON_gender_wsn_cross_subject_linear_downsample,MDD_cross_subject_linear_downsample,MODMA_cross_subject_linear_downsample,MonitoringErrP_cross_subject_linear_downsample,MusicEEG_cross_subject_linear_downsample,PD31_cross_subject_linear_downsample,PEARL_Neuro_wsn_cross_subject_linear_downsample,Physionet_MI_wsn_cross_subject_linear_downsample,RestCog_wsn_cross_subject_linear_downsample,SEEDIV_cross_subject_linear_downsample,SEED_FRA_cross_subject_linear_downsample,SEED_VIG_wsn_cross_subject_linear_downsample,SEED_VII_cross_subject_linear_downsample,SEED_V_cross_subject_linear_downsample,SEED_cross_subject_linear_downsample,SHU_MI_cross_subject_linear_downsample,SSVEP_wsn_cross_subject_linear_downsample,Siena_EEG_cross_subject_linear_downsample,SleepEDF_full_cross_subject_linear_downsample,TDBRAIN_cross_subject_linear_downsample,TUAB_cross_subject_linear_downsample,TUEP_cross_subject_linear_downsample,TUEV_cross_subject_linear_downsample,TUSL_cross_subject_linear_downsample,Things_EEG2_cross_subject_linear_downsample,Workload_cross_subject_linear_downsample
bendr,0.3380938519401206,0.48863784244180747,0.4719907407407407,0.23611111111111113,0.47500000000000003,0.207,0.03035714285714285,0.025000000000000005,0.5010053157338167,0.5,0.49226707292597793,0.2499631395409796,0.4977834157952918,0.5028336237564647,0.028125,0.5,0.49845679012345673,0.4979489823886574,0.5008192813482156,0.3333333333333333,0.5048075373892332,0.1111111111111111,0.08038350561591501,0.504447903089516,0.20255102334364036,0.23085586102635833,0.20176949696906932,0.19351363968935897,0.33334677084610326,0.503245298440598,0.4998314920809152,0.5259175864982448,0.5,0.5004991778247593,0.4725308641975308,0.3333333333333333,0.33580626047109186,0.2529979721547755,0.20085185185185186,0.2548451859932959,0.3333333333333333,0.3324316973094641,0.14826065424691082,0.20248667549817292,0.35170662999856267,0.49715369623522804,0.013645833333333334,0.6303823243392185,0.218304091773222,0.2783985102420857,0.5,0.49981882361247276,0.16394324412886943,0.3176980426980427,0.5,0.3568232662192394
biot,0.5083650017245946,0.5512292352085595,0.602266081871345,0.25,0.46166666666666667,0.20466666666666666,0.029166666666666664,0.06481481481481481,0.6085674506508548,0.49892151740004603,0.545338116030259,0.2531357500727189,0.4751618603456201,0.5136537377654952,0.035937500000000004,0.49829083716231315,0.549411031826934,0.5788793964479998,0.4996258455426629,0.33155501492875133,0.5134444989278445,0.15899018676796453,0.1289014282002296,0.5806066093479231,0.5711706950816858,0.5538524616097135,0.2664902603534107,0.33104518182441545,0.48571035619599917,0.49780772379482413,0.5802646215764075,0.8616941313826265,0.5,0.5093742659149636,0.4498456790123457,0.5180007345350335,0.4641584305627911,0.24504462303401184,0.3688148148148148,0.22694906670800175,0.38623163579176795,0.3333333333333333,0.16409325229300672,0.2660772426473809,0.42283371054585533,0.5076932705299778,0.006250000000000001,0.6522737432873033,0.20000000000000004,0.39146053461101954,0.7864577893738742,0.5871542375735822,0.6930945711746096,0.6043817293817294,0.4969172000295064,0.4548844146159583
brainomni,0.4526938154047246,0.6300522351037912,0.722977582846004,0.3055555555555556,0.49499999999999994,0.22033333333333335,0.03809523809523809,0.07777777777777778,0.5814359247929098,0.46590796652463334,0.557846740879596,0.24982498508899134,0.5070855968914993,0.5270627604147292,0.05625,0.5003663051308278,0.4845679012345679,0.5,0.5007452565103389,0.3222289146166519,0.5261511953268809,0.1959480848369737,0.15347762464837317,0.556457492180786,0.6600885269331902,0.5956566413287542,0.2719456586812254,0.32110936847259963,0.45525511061725665,0.4749155115997567,0.5375259220620173,0.9959199063095405,0.6572939068100359,0.4932831219168428,0.5186728395061727,0.49126309587313094,0.48238310427262104,0.38792990096652485,0.3510925925925926,0.3162829507961174,0.41679142471413005,0.42994865625864814,0.18719385532792546,0.2344782468236076,0.49173063382963766,0.5202260225064935,0.016770833333333336,0.6406104774145781,0.6699254612293228,0.40869031730507593,0.7308094862400413,0.5988083571751524,0.4239683825265434,0.4724849224849224,0.4995719589007259,0.43773303504847133
cbramod,0.3768715484252476,0.5478054871160415,0.47324561403508775,0.26909722222222227,0.51,0.20166666666666666,0.029166666666666664,0.42546296296296293,0.5451205953999546,0.559524256989588,0.5169197626334383,0.2505003307077606,0.5130941782865898,0.49995115348072766,0.030208333333333334,0.5,0.5,0.5,0.4992063200988394,0.33961009254961994,0.500139555337622,0.49533080088635645,0.11030883273204989,0.5766793021710263,0.48660753187234174,0.48147939222428343,0.2024081393646611,0.2686204919562399,0.3333333333333333,0.5273440796488102,0.5051081517126704,0.7495484678434653,0.5,0.491631430584919,0.5685185185185185,0.37446020632067883,0.4552134037658125,0.26762703084368133,0.2597777777777778,0.31141433292058013,0.4459649294025088,0.3929905885603837,0.19061486499308064,0.20761505408485795,0.5142274362994358,0.5166848331633435,0.007395833333333333,0.7993955775142174,0.5102699212554227,0.3411323547472487,0.7377412920350178,0.6124527403070682,0.2812555307194667,0.4737234987234988,0.5,0.4962714392244593
eegmamba,0.37667671966243227,0.5503674088073208,0.48920565302144253,0.2818287037037037,0.48166666666666663,0.20733333333333337,0.02857142857142857,0.03333333333333333,0.5111786593272402,0.4998440121468925,0.551454304453259,0.25081437216985814,0.4995982038633094,0.5173506915965936,0.036458333333333336,0.4948431690110944,0.5030864197530863,0.5024737641631708,0.504173496154572,0.34567481978306697,0.49708155775824164,0.15163026274137384,0.10063987085230357,0.5771836937175615,0.5540451646117284,0.4978369264028835,0.2082621904111569,0.2973645506490132,0.33150981919056516,0.5062660045959959,0.4989839587225686,0.7056463874655128,0.6102150537634409,0.511547157622739,0.5177469135802469,0.29738695848056096,0.4245483123744444,0.2788303597526251,0.23529629629629628,0.28205674098940975,0.41187246650760506,0.37808328735296765,0.18446768784139103,0.2150337528976566,0.4746090270036476,0.47909439546619675,0.0103125,0.7321505031029147,0.5256664779427537,0.32329642718448137,0.676734035525489,0.6077711351689482,0.31286572876044466,0.491720008386675,0.49845860001475323,0.4295302013422819
femba,0.4557655966992204,0.6567658385578596,0.7543006822612086,0.2586805555555556,0.49000000000000005,0.19400000000000003,0.03720238095238095,0.05092592592592592,0.5827466827806732,0.4981492211378354,0.5664009201772657,0.25443989908360215,0.4950130070045435,0.5132047323388867,0.03802083333333333,0.5193399260860654,0.6018660097406275,0.5020254669955727,0.505025050397767,0.32564662534483935,0.5443281807603547,0.16176005064893953,0.11628695735783051,0.5234025488149409,0.6204304176482679,0.5884396383873041,0.24989545195175986,0.33326237223065197,0.4824340638460695,0.519238067262117,0.5535349970511562,0.7440077518119385,0.7727240143369176,0.4949054498473104,0.5095679012345679,0.5112688256572869,0.4658071775723526,0.2932639361608559,0.3409444444444444,0.3066076298373374,0.4135041747246171,0.5128044127589491,0.1918746569517393,0.2993982796834695,0.4086930430618397,0.5082210820465138,0.005208333333333333,0.5112056264873366,0.6227847677980428,0.39936237092171134,0.7103901748697948,0.5333030140807064,0.4265129990062593,0.5323297073297073,0.49845860001475323,0.4052945563012677
labram,0.4739906521145107,0.6781207865418127,0.63067738791423,0.26157407407407407,0.5066666666666667,0.21433333333333335,0.026785714285714284,0.03287037037037037,0.6006218606012539,0.46535728729296316,0.560994229948838,0.2504179266425391,0.4941180557688834,0.5008169074728684,0.027604166666666666,0.5001933250744821,0.4953703703703704,0.5,0.5077989089925946,0.3400331530924054,0.502309162162057,0.154320987654321,0.12533589096233727,0.5350701175449739,0.6316500629210724,0.5602277179741829,0.18198050280017494,0.27487773448346525,0.4375867141934437,0.5016329018181805,0.577872952767157,0.7441721363296251,0.5,0.49042019027484146,0.5427469135802468,0.3908895481812063,0.4646264220505989,0.27909671977711026,0.35287037037037033,0.3029615686061411,0.37226774054640827,0.4164594936338272,0.18083729964469983,0.23337131696219657,0.5042470354540028,0.51447884643194,0.008229166666666668,0.7242642703021772,0.6901860153922262,0.3911326598522174,0.740506185240823,0.627191491878123,0.4137375307009929,0.3835719835719836,0.5,0.48247576435495904
neurogpt,0.41951879233800765,0.7140571154204443,0.5769736842105263,0.2540509259259259,0.48166666666666663,0.19366666666666665,0.02738095238095238,0.026388888888888892,0.5172181071707329,0.48549469139075274,0.5608189165709465,0.2507882798831979,0.4902834017170396,0.5012181345093373,0.024479166666666666,0.5064696045261806,0.5217040434930343,0.5,0.5049037833465098,0.3281669139013422,0.5170341182834616,0.1522633744855967,0.0974418262992211,0.5424831627523764,0.5756857428405368,0.5474852611787048,0.2578305903858292,0.2927819528984866,0.4307553226380308,0.4778947882477551,0.5327322975857339,0.6314046870162368,0.5435483870967741,0.4956101714822645,0.4847222222222222,0.2836656455306941,0.4484906457660973,0.2681272840466995,0.28042592592592597,0.2834805624147363,0.3593754649640742,0.4656319515928809,0.17287142909878064,0.22435615040945903,0.465417493785432,0.5145500518263918,0.006041666666666667,0.43429050875318026,0.6324307872929307,0.3836543120235609,0.6503756148886938,0.5301815727388167,0.3239253709784752,0.44265518432185097,0.5,0.3501118568232662
neurolm,0.38081679381001693,0.6291939858107765,0.5950536062378168,0.3171296296296296,0.49333333333333335,0.22366666666666668,0.02946428571428571,0.032407407407407406,0.5399956252989904,0.4978127913685875,0.5384357269051651,0.25018712273827853,0.49308850700426915,0.5036615134461145,0.03125,0.5010851619657632,0.6160380564050288,0.5273554183564915,0.49746962089070496,0.3274160874517081,0.525944722698952,0.16571699905033238,0.08973641754893392,0.5430686723510006,0.6499519311740943,0.6146482279416817,0.20088719864913732,0.33807887627082384,0.38856127835896315,0.5087713277130651,0.5816966122560299,0.9195157365681467,,0.4969315245478036,0.515895061728395,0.4503022089969568,0.47638966215017065,0.2961325235723125,0.33820370370370373,0.32627403274351596,0.33865732500871076,0.4999649381821499,0.17703760981015673,0.21664280749519285,0.5224365279491628,0.5025801092866469,0.030833333333333334,0.7737207606661393,0.6961996384016018,0.38752168338269793,0.7084226794882856,0.617161872558157,0.28384906569348484,0.4662784746118079,0.5,0.45227442207307983
reve,0.352961513369541,0.526960412360235,0.683535915852224,0.22800925925925927,0.515,0.18666666666666665,0.04583333333333333,,0.4993576034821361,,0.5057754143887361,0.25196313289487876,0.5180051156669042,0.5060025115808524,0.033854166666666664,0.5187309361285036,0.49851342167855933,0.5010684802958297,0.5010153501597131,0.3048092750479004,0.5088276923555898,0.22150997150997154,0.09047580433831644,0.5079511863908023,0.6285144514802504,0.5632939578205386,0.24169302266593784,0.31147643427262883,0.46076658326545533,0.5039384319463833,0.5493999542464957,0.8237497242798791,0.5720430107526883,0.4897888771435283,0.5171296296296296,0.5692661424913056,0.38701104006352494,0.30715285821785937,0.23342592592592593,0.247795477694592,0.3542266978625992,0.3583060313472193,0.15203261431083917,0.2054496662419478,0.4202525038764466,0.5007890352550165,0.0067708333333333336,0.5441166973160879,0.43795236959712497,0.3074353306195661,0.6388725262149233,0.5054729461456972,0.19169196954742776,0.45039805873139205,0.5,0.3445190156599553
