model,Awakening_balanced_within_subject_linear_downsample,BCIC2A_wsn_within_subject_linear_downsample,BCI_Speech_within_subject_linear_downsample,BETA_SSVEP_within_subject_linear_downsample,BETA_SSVEP_wsn_within_subject_linear_downsample,Broderick_CP_within_subject_linear_downsample,Broderick_Rev_128_within_subject_linear_downsample,Broderick_Rev_wsn_within_subject_linear_downsample,CIRE_wsn_within_subject_linear_downsample,ChineseEEG2_RA_Tone_within_subject_linear_downsample,DUAL_FREQ_SSVEP_wsn_within_subject_linear_downsample,EEGDenoiseNet_singleCOz_within_subject_linear_downsample,ExoEEG_WalkStop_within_subject_linear_downsample,HBN_EEG_within_subject_linear_downsample,HFO_within_subject_linear_downsample,HMC_within_subject_linear_downsample,ISRUC_S1_within_subject_linear_downsample,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,MonitoringErrP_within_subject_linear_downsample,PEARL_Neuro_wsn_within_subject_linear_downsample,Physionet_MI_wsn_within_subject_linear_downsample,RestCog_wsn_within_subject_linear_downsample,SEED_FRA_within_subject_linear_downsample,SEED_VII_within_subject_linear_downsample,SEED_within_subject_linear_downsample,SHU_MI_within_subject_linear_downsample,SSVEP_wsn_within_subject_linear_downsample,Siena_EEG_within_subject_linear_downsample,TUAB_within_subject_linear_downsample,Workload_within_subject_linear_downsample
bendr,0.5321730104210959,0.23965416181801605,0.2014223118194105,,0.03388506420968047,0.5010053157338167,0.5,0.5001688255402249,0.509640160793357,0.24636080079758008,0.02450727513227513,0.5074982958418541,,0.07980977497921067,0.49926694289308665,0.20819269907773894,,0.5111931370559918,0.5091623791517578,0.3351702262309168,0.27666287354886804,0.20582193288643644,0.3333333333333333,0.14924229251483498,0.3334629411449708,0.4920348634726395,0.011607142857142858,0.5033440126105265,,0.33249440715883666
biot,0.9804733076567396,0.25,0.20885192243717673,,0.030480559628476605,0.6085674506508548,0.530082037289952,0.5554542797465181,0.5268731913424437,0.19503338323062092,0.02836491055241055,0.5,,0.12120187764290995,0.63846744765172,0.5760222934569759,0.2,0.7083932323358888,0.5000140285716586,0.4212115127162815,0.25147849734220135,0.36770893399457333,0.43091736877777415,0.16478192513266435,0.49619190198293905,0.5206736444908557,0.006250000000000001,0.7223364966527894,0.8974739970282318,0.30125528212776537
brainomni,0.9856553669142335,0.3142651271107783,0.19868689219984895,,0.03583941331683916,0.5814359247929098,0.5598811435156736,0.5135985624626781,0.5408033329124962,0.245741933627726,0.054140469416204706,0.6077027948193593,,0.1296373525349531,0.5939654645109483,0.6562630635635627,0.6130029502260135,0.7263681899827774,0.5117515450386472,0.43457500120805964,0.34498940161291797,0.3497099084485022,0.4262278961311567,0.20547531433635816,0.504774567877757,0.5662176958160688,0.019642857142857142,0.6784036118076373,0.9457652303120356,0.3139137459607258
cbramod,0.814902407654731,0.27454552519999653,0.22426570884341937,,0.028612672112253337,0.5451205953999546,0.8473925375279798,0.5,0.5376020094634631,0.24968293588356716,0.02919312169312169,0.9986366734832992,,0.10734162963226089,0.6204747800082119,0.5069487974319201,0.2,0.6683743641004285,0.5053724764341281,0.3828669960980635,0.2541645244848978,0.30501524294638055,0.4215432714651381,0.18225164396621604,0.5409086708760213,0.5079021054714561,0.006845238095238094,0.5181587275611448,0.9955423476968797,0.3333333333333333
eegmamba,0.7907126328591292,0.28744002850963485,0.2123672434106041,,0.02382674917491076,0.5111786593272402,0.5,0.4985316994228575,0.5355855443994022,0.24855927118290655,0.02525132275132275,0.5,,0.11025719641071373,0.5983152528068914,0.572101294652985,,0.6405073878106586,0.5099347492658768,0.37299387842629567,0.26492592212263916,0.23429100839843384,0.3896759766621245,0.17316378471562976,0.4261454346479736,0.5091016871561461,0.011607142857142858,0.7039238558261349,,0.3340790454884415
femba,0.957704202651967,0.319460873795899,0.2041400804646909,,0.04258016353948341,0.5827466827806732,0.584278894896056,0.5741329083774849,0.5519115324284941,0.2491509448904462,0.03550556265629795,0.5,,0.11377934172242211,0.5528449471073841,0.6018358859075653,,0.6811176585062834,0.49432218335734796,0.43668746635430633,0.25698676732042797,0.32404326344625695,0.4112884921637711,0.19036973767882612,0.44041845461417806,0.5248268763443827,0.007440476190476189,0.5927982202739942,0.9442793462109955,0.32370121799652
labram,0.9380269352290641,0.2725859445345379,0.2178797486897686,,0.024737967757999423,0.6006218606012539,0.5797258252680757,0.5888761427120143,0.506356430422928,0.24860994568335193,0.022663031413031415,0.7610770279481937,,0.12957221958089885,0.5859731447660037,0.6443293990512455,,0.6774376557237879,0.4914963481165449,0.4197205177067742,0.26755275320199917,0.34073712232538744,0.36006602737875554,0.1963093340468188,0.48340414291816797,0.49579295845156834,0.007142857142857143,0.6425144081826762,,0.3354958985831469
neurogpt,0.8162930897541637,0.30002780742446283,0.20576393432403747,,0.028497328648295902,0.5172181071707329,0.530062095754297,0.5,0.5449411264257632,0.24942148991361188,0.02100419256669257,0.7113156100886163,,0.10462551140305319,0.5887686263379713,0.5713198636554843,,0.6980492109701829,0.5032887543802578,0.4166556808145007,0.27722961402560264,0.2922413794499707,0.37334483052868594,0.18120501842347428,0.4436371498804914,0.5010096968167833,0.006845238095238095,0.6187119798222509,0.9063893016344725,0.24832214765100669
neurolm,0.9250452706363793,0.296815101901206,0.2339697463504762,,0.027010522993010416,0.5399956252989904,0.6535088333469774,0.5770673835655474,0.5062976482322173,0.24612648604640808,0.037058843933843934,0.5,,0.08666082572837724,0.6318778536070027,0.6590826536404261,,0.6637686204986899,0.5120413027017267,0.42870053094115557,0.28379967620670704,0.3351710549006676,0.341236139787855,0.18500463089911182,0.48068701002101527,0.5160594561836384,0.025892857142857138,0.7143105021242367,,0.35647526721352224
reve,0.6115116621618961,0.252322280381436,0.1991399265263266,0.039321500190649214,0.02386115332095241,0.4993576034821361,0.5358623131046343,0.6528441897557951,0.5125767695636574,0.28169982766920537,0.03214803714803715,0.5954328561690525,0.500183232353339,0.09087673453606815,0.5260759295788503,0.4931217806147516,0.40691433136173716,0.7194645960992031,0.49331504613066585,0.36827878705020417,0.2617761397449898,0.2365271418901945,0.3465419759833452,0.15019012778324542,0.378155891266891,0.5334385540668486,0.005952380952380952,0.5232405084338988,0.8038632986627043,0.32746706437981604
