model,AD65_cross_subject_linear_downsample,ADHD_cross_subject_linear_downsample,Awakening_balanced_cross_subject_linear_downsample,BCIC2A_wsn_cross_subject_linear_downsample,BCIC4_1_cross_subject_linear_downsample,BCI_Speech_cross_subject_linear_downsample,BETA_SSVEP_wsn_cross_subject_linear_downsample,BenchmarkSSVEP_cross_subject_linear_downsample,Broderick_CP_cross_subject_linear_downsample,Broderick_Rev_128_cross_subject_linear_downsample,CIRE_wsn_cross_subject_linear_downsample,ChineseEEG2_RA_Tone_cross_subject_linear_downsample,DEAP_arousal_wsn_cross_subject_linear_downsample,DEAP_valence_wsn_cross_subject_linear_downsample,DUAL_FREQ_SSVEP_wsn_cross_subject_linear_downsample,Depression_rest_wsn_cross_subject_linear_downsample,EEGMAT_cross_subject_linear_downsample,EEG_Mortality_PD_wsn_cross_subject_linear_downsample,EEG_SVRec_cross_subject_linear_downsample,EmoEEG_cross_subject_linear_downsample,ExoEEG_WalkStop_cross_subject_linear_downsample,FACED_new_cross_subject_linear_downsample,HBN_EEG_cross_subject_linear_downsample,HFO_cross_subject_linear_downsample,HMC_cross_subject_linear_downsample,ISRUC_S1_cross_subject_linear_downsample,ISRUC_S2_wsn_cross_subject_linear_downsample,ISRUC_S3_wsn_cross_subject_linear_downsample,LEMON_age_wsn_cross_subject_linear_downsample,LEMON_extraversion_cross_subject_linear_downsample,LEMON_gender_wsn_cross_subject_linear_downsample,MDD_cross_subject_linear_downsample,MODMA_cross_subject_linear_downsample,MonitoringErrP_cross_subject_linear_downsample,MusicEEG_cross_subject_linear_downsample,PD31_cross_subject_linear_downsample,PEARL_Neuro_wsn_cross_subject_linear_downsample,Physionet_MI_wsn_cross_subject_linear_downsample,RestCog_wsn_cross_subject_linear_downsample,SEEDIV_cross_subject_linear_downsample,SEED_FRA_cross_subject_linear_downsample,SEED_VIG_wsn_cross_subject_linear_downsample,SEED_VII_cross_subject_linear_downsample,SEED_V_cross_subject_linear_downsample,SEED_cross_subject_linear_downsample,SHU_MI_cross_subject_linear_downsample,SSVEP_wsn_cross_subject_linear_downsample,Siena_EEG_cross_subject_linear_downsample,SleepEDF_full_cross_subject_linear_downsample,TDBRAIN_cross_subject_linear_downsample,TUAB_cross_subject_linear_downsample,TUEP_cross_subject_linear_downsample,TUEV_cross_subject_linear_downsample,TUSL_cross_subject_linear_downsample,Things_EEG2_cross_subject_linear_downsample,Workload_cross_subject_linear_downsample
bendr,0.23490504536484372,0.43329551740284855,0.4035549708418827,0.20124803015315304,0.46431884036142135,0.1943774111259529,0.026403937020903268,0.0012195121951219512,0.4372100501597583,0.3747040325801483,0.43858329377176036,0.22977092881504288,0.48288854070321685,0.5020874323063856,0.011475558222807792,0.4258473155738113,0.4280000358520922,0.45835118934853897,0.4785216204651303,0.2021567181260968,0.477989559280021,0.027777777777777776,0.04631242925840659,0.5005926231694902,0.19683423123265678,0.2234864683605899,0.1845256317695112,0.16892485756323342,0.24004670066843817,0.4988198140637987,0.38461287333552646,0.4373045386916801,0.4354806341561308,0.44287957761437097,0.4299024052056941,0.2253970014964782,0.28250546704559526,0.2472657168782887,0.1534624969926291,0.2426116772647836,0.13470452483019088,0.26240318479230956,0.14129273165790426,0.18685788860741284,0.34225664921278026,0.49397104548440485,0.011161835849335848,0.457994703426905,0.18112307847529951,0.18129815802899132,0.31505621648712606,0.46758841283267444,0.13247974168528684,0.26593279238206774,0.3517821238662006,0.3420157696745985
biot,0.4958292084421612,0.5302861787032915,0.5963560376437124,0.10000000000000002,0.4337799108266471,0.17885725694160567,0.012268326004405765,0.04184053429045639,0.6048533383964902,0.3876152014908216,0.5362712247559713,0.2375172144050185,0.39877530365888597,0.45786377828667346,0.017869464929510175,0.4338512890465893,0.5406684006337311,0.5924177639098839,0.4042755369030155,0.27582103825751453,0.49344866194708564,0.13371152488041074,0.0961059076189041,0.5566836808250879,0.5507465209080572,0.5506703926121198,0.22102413381207195,0.27739841998628906,0.4659919352227297,0.46370915884847314,0.5638808530042374,0.8355694159559128,0.3973509933774834,0.4820119526545503,0.36785262050362927,0.42456105384643256,0.43868676776385634,0.17217972564282458,0.3201361610360439,0.1729883056019719,0.29114248778708246,0.20651869075677354,0.12028244333172704,0.20749266896782434,0.35492910900335595,0.4623192902718872,7.763975155279502e-05,0.5088917201142128,0.09190152492655101,0.33251536572900126,0.7832462661878631,0.5415257182608185,0.5638810013662536,0.5613636363636364,0.170443874509446,0.44084354450998503
brainomni,0.41561014421581427,0.6021890245167713,0.7285318769809394,0.2347112535944524,0.33668452403522364,0.18299161926573482,0.03015505919587908,0.0673560795158474,0.5793583431219808,0.361062871414247,0.5504720918135445,0.19506544167552953,0.43274996151141415,0.509895716280279,0.04196052361956135,0.42917482035073384,0.42930157234619176,0.4537107880642693,0.4692562127921897,0.2848337044431563,0.5066048469578076,0.18225709669700976,0.11895724048648686,0.5425731281705493,0.6323643980339929,0.5889798859826376,0.20239052750917805,0.28127770484709425,0.44515074047155734,0.45232065042507746,0.5151315356532429,0.996240380827906,0.6551213244661356,0.47669656041342207,0.48017016583159045,0.38107651314560304,0.48247281076853515,0.3844764643216809,0.3293858615020516,0.2593309457101195,0.3396957114868002,0.3522266729587495,0.16137337833506601,0.21362686073117107,0.4426165430615698,0.5058656039796712,0.011300309717668072,0.45361998874723736,0.6074784642924992,0.365406058321923,0.7202885026697982,0.5436552661596724,0.40206859474716866,0.41283408230088653,0.36245450606733987,0.40833173492295405
cbramod,0.2798103551218328,0.49387977672541417,0.4724160806237423,0.14956206973397182,0.39575167853856374,0.1863586112452643,0.021277681401508496,0.4291772117613553,0.5000426837484855,0.5407685855263836,0.4630750142882743,0.18893903213211835,0.44369626402374357,0.44346128046935873,0.00805053951037825,0.4258473155738113,0.4287589051368579,0.4537107880642693,0.47543058091557583,0.32155148319889276,0.4808315756634363,0.49147591249533146,0.0631923090253425,0.5319709116046362,0.43287827438533905,0.4513034675821568,0.0866371179293721,0.21240700647470293,0.26220970950261147,0.4872129855318515,0.406025991357769,0.6648718635432371,0.3973509933774834,0.46766063043120215,0.53629604566927,0.3398821382399327,0.4050394047708968,0.19509632850705047,0.18644823488158216,0.30193335764178625,0.4126883843584013,0.3081496539480967,0.15391288845763793,0.19262113827487984,0.4667144696429218,0.5089239082563709,0.00260586365241039,0.500653870370691,0.45685494666173193,0.2970642613231127,0.7341025545928184,0.5615208126435541,0.2622207351369776,0.375584279932106,0.3601515879646027,0.457555768222192
eegmamba,0.312324512657521,0.4934579117082285,0.4664690985797028,0.2476792620544034,0.3964695707851096,0.18886010457311034,0.01370904607866476,0.024460669242839087,0.47246071070961637,0.3747110816654288,0.5184190600345744,0.15986215814816362,0.47925697128654093,0.509992753062522,0.018001170069483832,0.4308149019818541,0.43734035877094307,0.45924521012514746,0.5003937136044058,0.32005377998237267,0.39268673145444044,0.11228165008888169,0.058084969053295334,0.5527002108628557,0.520822600269872,0.475217210444526,0.10539269202491781,0.23681240906380663,0.1974890864716973,0.4596682218653168,0.3699349630119984,0.6577511198612388,0.6140119935644288,0.4860076763026134,0.5095500599673731,0.2660757387073062,0.40395763076009367,0.2513498282881175,0.21595827523182706,0.22789674690257658,0.3543817607034761,0.3688470487546289,0.16750915703022928,0.203018771468914,0.43160679837643984,0.4779402531003382,0.0028352365016443004,0.468559524636885,0.4135378850522704,0.2759462076197829,0.6699211613305239,0.558331180654906,0.29818206554685345,0.3840058578009242,0.2611129991878233,0.37426828753165614
femba,0.44143190770809343,0.6464576440271558,0.7520047127841704,0.13208751437217536,0.3964684761065113,0.16771942218588368,0.02795110476251605,0.032321839248100795,0.5799638399392855,0.3769783851092711,0.5547189039153587,0.21321420239620745,0.3780843718785858,0.44009532335239293,0.02556417913407101,0.46940371299526173,0.6001605954710078,0.46662974446040223,0.46671113759204985,0.2737198734103868,0.531227570861331,0.1395013424399632,0.07196761451518469,0.46453840007456076,0.5912642988257061,0.5863380646013793,0.18621954264771481,0.2860401105426295,0.4664259612451965,0.5036247868731087,0.5321416463270477,0.708053998968408,0.7571725840382557,0.48122345226106195,0.4784452935461414,0.41769142957732114,0.4593244099608764,0.26533788939539,0.29363701778901985,0.23714386660346262,0.3725084445211917,0.4377580276222757,0.15555814898563902,0.22783125078184466,0.3176906007052196,0.4644105690219931,0.0006986094832628626,0.4615798639972015,0.5533967654090562,0.3553732513090897,0.69405944531298,0.48653389190732615,0.42083439389857236,0.38387472439760023,0.35458538221451774,0.3401406949377197
labram,0.4380146934078886,0.5377485638779164,0.6273182164404149,0.15433845417445413,0.4626993876087027,0.20034569742312183,0.015053702971209995,0.023901203871867005,0.600325263426028,0.3703611852177766,0.5601964186220383,0.17579734298529126,0.47353992329664946,0.4648780957077003,0.02033451134411654,0.4263240075923945,0.4324292104682928,0.4537107880642693,0.46024992801220743,0.31038626565830824,0.4898187400396708,0.12667393571240143,0.08190816115799915,0.49234882726647533,0.6069318399673883,0.5518947521550114,0.11203365331858071,0.219365805817179,0.42612922164046835,0.4905194552851702,0.5580641356906202,0.72512592873984,0.3973509933774834,0.48304681487257284,0.5329019670065196,0.333001222641344,0.46440399065409615,0.261684382738791,0.32733268461903553,0.22586295319071178,0.31364941010236985,0.3806244294520198,0.15875652616279481,0.21499837403119723,0.46459342830637396,0.49306650985450684,0.005410618113047185,0.48224050482859854,0.6124653437179958,0.34655656853267375,0.7353812772133262,0.5733673608178874,0.37206282042908784,0.30352413601052436,0.25830974083950625,0.4285806245951334
neurogpt,0.3830825868026058,0.69517998976117,0.5736585926523077,0.11616045920657732,0.4784271166641796,0.16466053102785008,0.014942186162018057,0.01396495043935501,0.4941958604254344,0.36976026299499315,0.5522078696770539,0.173335384546083,0.3794652801247053,0.43533342104991374,0.011692815236798512,0.44324349572242705,0.5041896991686771,0.4537107880642693,0.389685064400714,0.26157995682218654,0.45587047375177553,0.12488104424871459,0.055673396823917844,0.5413025204171955,0.5425962788281412,0.5225152448066793,0.19649997667224914,0.2487784653081849,0.4106536924661915,0.4002584745067761,0.49770548520587926,0.6005118853443521,0.5438287494919387,0.3928148915980918,0.2787083001568558,0.2387233476566805,0.4355444238776327,0.25028844672390266,0.24650709589179132,0.2066847918483211,0.2996575435461242,0.39929133289323376,0.13358715686894523,0.1920333893464199,0.4135047844525892,0.47452417458830687,0.0015815598526489848,0.37331692265430433,0.54812525504594,0.35918597107862843,0.6365621917491016,0.4592993194097432,0.3051341067438405,0.38775234690267374,0.25830974083950625,0.3193729762672835
neurolm,0.3723783559364919,0.5889833472674453,0.5929821531416158,0.2657436655491851,0.42690761910660163,0.2041370501018934,0.0159620771145329,0.006730037557059456,0.5306546108774025,0.44930593652275846,0.4681196513017416,0.2320227338732638,0.4522577259622996,0.4276187522523498,0.018905681529085897,0.4774546942180668,0.6049317774635109,0.49649594373267103,0.4782307302566417,0.2369359777415541,0.4629803254534412,0.12618159939861953,0.07044935823459553,0.4961883023585194,0.6411366678617759,0.5901964563616827,0.12313598582105871,0.26734776391339404,0.3345687386027789,0.4139017199841759,0.5776492302799174,0.8797332724635766,,0.43688153440853733,0.4256834048775886,0.39592842554909796,0.47436845459693605,0.2452612304957724,0.2920970933003578,0.28690782299357176,0.20684234805520738,0.4473332030078936,0.16093642274817002,0.19337672840439482,0.505401757071198,0.4479187047854795,0.021257824988255795,0.4855780481085914,0.6139863719020169,0.341125917896274,0.7100198886044532,0.57597307670734,0.253683488622251,0.46275062012913676,0.3601515879646027,0.41294426403233425
reve,0.30117053858065107,0.4786581134902772,0.6871188091390001,0.22108366942595592,0.5112612143450509,0.16622725997428475,0.03749361197463138,,0.4946541128931705,,0.46751324177741255,0.24513357866104568,0.47740122691511816,0.4885184681795584,0.03075885242638898,0.5118014268147556,0.435292446686869,0.4583119921811592,0.49053268459933586,0.26111190334417184,0.5086148946098378,0.19360833547993972,0.06235330238775443,0.5020863530399685,0.4768467364601088,0.43976735346790924,0.22733025385800845,0.30781017196359106,0.28510347380370926,0.47894964423658326,0.45411237338045646,0.798548641898475,0.49580761316872435,0.48197792092099595,0.503664417316961,0.41368782624726713,0.37505549007291356,0.26428791982484817,0.20973943034100373,0.2461702624050863,0.2858792757963342,0.33743540421821067,0.1368868657504905,0.1912999233108846,0.3871616883918734,0.4923950668033846,0.004827484123633504,0.4161753904301693,0.34550012613285414,0.2706551669917914,0.6320929195388473,0.43847662715698593,0.17147063411554328,0.3074131431152303,0.1648373578128118,0.34039284964534994
