model,Awakening_balanced_within_subject_linear_downsample,BCIC2A_wsn_within_subject_linear_downsample,BCI_Speech_within_subject_linear_downsample,BETA_SSVEP_within_subject_linear_downsample,BETA_SSVEP_wsn_within_subject_linear_downsample,Broderick_CP_within_subject_linear_downsample,Broderick_Rev_128_within_subject_linear_downsample,Broderick_Rev_wsn_within_subject_linear_downsample,CIRE_wsn_within_subject_linear_downsample,ChineseEEG2_RA_Tone_within_subject_linear_downsample,DUAL_FREQ_SSVEP_wsn_within_subject_linear_downsample,EEGDenoiseNet_singleCOz_within_subject_linear_downsample,ExoEEG_WalkStop_within_subject_linear_downsample,HBN_EEG_within_subject_linear_downsample,HFO_within_subject_linear_downsample,HMC_within_subject_linear_downsample,ISRUC_S1_within_subject_linear_downsample,Longitudinal_EEG_Reliability_wsn_within_subject_linear_downsample,MonitoringErrP_within_subject_linear_downsample,PEARL_Neuro_wsn_within_subject_linear_downsample,Physionet_MI_wsn_within_subject_linear_downsample,RestCog_wsn_within_subject_linear_downsample,SEED_FRA_within_subject_linear_downsample,SEED_VII_within_subject_linear_downsample,SEED_within_subject_linear_downsample,SHU_MI_within_subject_linear_downsample,SSVEP_wsn_within_subject_linear_downsample,Siena_EEG_within_subject_linear_downsample,TUAB_within_subject_linear_downsample,Workload_within_subject_linear_downsample
bendr,0.505942642020614,0.21645249292920166,0.19560695612986165,,0.02780020101783526,0.4372100501597583,,0.39880563015622994,0.46726290387271924,0.23666433765257142,0.007470397785193961,0.4647051683460734,,0.046438201512996345,0.49527058541050994,0.2039017813038729,,0.508336877421065,0.47992010811728053,0.18624185650347422,0.25228154372708933,0.20387655201711227,0.19200844088225832,0.14463475305652396,0.2905642726295061,0.49028952486166516,0.006737006665618518,0.49655348841889496,,0.08058026787982707
biot,0.9773659200634337,0.09781095035515304,0.2002017563261803,,0.016994901208114106,0.6048533383964902,0.5374849956261979,0.6179405330828812,0.43832941239018997,0.23840932738276396,0.016085228465439805,0.3333333333333333,,0.08629165874578344,0.6381958386065595,0.5609575666257802,0.061673414304993256,0.7005364493587979,0.4853008931718012,0.38834389921767626,0.21558798078089456,0.33334054110633143,0.3841444727250729,0.1498109428049915,0.45271558729035166,0.5154399697427774,7.763975155279502e-05,0.5970815522825426,0.4729835552075176,0.20126418605243682
brainomni,0.9807962384520347,0.3063005483490258,0.18051649377279566,,0.024634909546118956,0.5793583431219808,,0.43153070420529155,0.5078508983288444,0.19094852529397624,0.04591039751913206,0.6073487018071554,,0.09484607924430082,0.5923359957424756,0.6378102403827453,0.596450016813955,0.7249594652600012,0.5068187465828663,0.4242653223520127,0.3360510552011647,0.3105387996577545,0.3739888642591615,0.18968360972085285,0.4841754169701957,0.5637442967896172,0.015733105913398392,0.6347572732251244,0.4860633829705995,0.10363040974611548
cbramod,0.8042184572826017,0.22642416409293328,0.199975943305002,,0.009942813151714205,0.5000426837484855,0.8381525012266517,0.39771549150480223,0.5250949352893121,0.20153137099299365,0.007149526729975292,0.9986366506772836,,0.06393223987338911,0.6112938790494499,0.45630611053811587,0.09713077620054364,0.6651689240361129,0.5035122821106832,0.26551164768781227,0.2117651879561123,0.2678859006953944,0.41402319665580234,0.14126916408916457,0.45773567810669524,0.4939631786507566,0.002741975916676911,0.5209154689195478,0.49888309754281457,0.08058608058608059
eegmamba,0.7608970765480837,0.27238824170082304,0.2070050765439804,,0.012603561929409292,0.47246071070961637,,0.41172743141414986,0.4893815173769493,0.22745692820486552,0.00769357709982123,0.3333333333333333,,0.06167449990273698,0.5808696123220604,0.5431247215741069,,0.6388468069705766,0.4799779498823316,0.26436374168459764,0.24866779632393896,0.21992706615327381,0.357841897867492,0.14351498892880038,0.40343926428835414,0.5072042429280837,0.005702868872242711,0.5636955454653417,,0.08225770438595945
femba,0.950077151721289,0.30711153498303173,0.15457043664548661,,0.032663513690987106,0.5799638399392855,,0.5608997168860989,0.5163213936248622,0.21140131275298538,0.024418514857312886,0.3333333333333333,,0.08043748871260409,0.5487199881208825,0.5805166127947481,,0.6746225848158814,0.4881039840309504,0.3720396552561482,0.24108423539018112,0.2887698037963662,0.37304440855861287,0.14743163897823383,0.43192379529955094,0.5127456710104185,0.003706348866949847,0.5602908858255532,0.4856706152082537,0.0816422140107786
labram,0.9280716777903143,0.26760778124269696,0.19644184479266072,,0.01712102641917893,0.600325263426028,,0.5789416545839271,0.4845935458026705,0.21196500350617278,0.016982231643867352,0.7495360459619224,,0.08650496113270745,0.5783720965752145,0.6254842082362609,,0.6733409981607914,0.4836233087909634,0.3938792334992227,0.2591247031884632,0.31220997168906,0.33998226927569936,0.16817210978546374,0.453799547930611,0.4951836489867673,0.003752846997374968,0.5913651855929319,,0.08955890405690509
neurogpt,0.8096815841989379,0.26559567239298304,0.18689226122972002,,0.006025351781032275,0.4941958604254344,,0.39771549150480223,0.47826535025730116,0.23026000779783018,0.005598033349019825,0.7107037302168621,,0.07063480017622015,0.5811353806722263,0.551251538229309,,0.6931109284711514,0.4626883816182927,0.3502374456672032,0.2544569755260786,0.23837463769552594,0.34651280212636976,0.1481662955157716,0.4065377132050087,0.4244646136557195,0.002490820450061412,0.5383237820722849,0.475448168355417,0.15591538128823715
neurolm,0.9200341473539684,0.2840631845016663,0.20026195025137547,,0.013705346055778916,0.5306546108774025,,0.5706724001589351,0.4838957566918099,0.23783326378713907,0.02238408009762763,0.3333333333333333,,0.06143108118810107,0.6300577107174695,0.6413531531167519,,0.7389667869763566,0.4816398459054339,0.3851535739376178,0.24361710168683728,0.3003425959542256,0.29144132174126786,0.15136835567825324,0.46677456218574265,0.4763168273896423,0.02055358395433902,0.5698836010124047,,0.23881434965443984
reve,0.5872190417410214,0.2492358045216554,0.17386398220475383,0.032612227681483766,0.020687719117455112,0.4946541128931705,,0.4752457253946009,0.41524389054330185,0.24648536388727416,0.025270934293589443,0.5809008874303894,0.5001077139081135,0.06265113645605407,0.5256558150109946,0.46862391966364575,0.4041025945394889,0.6298123640538448,0.4927758690326353,0.34170286471790945,0.2527105669016888,0.22234338376331628,0.26063899077344765,0.13857788209708563,0.32856244265544293,0.5023248790667544,0.003586696508148307,0.47988040865340226,0.4456342668863262,0.23785325676253874
