group,model,n_datasets,mean_f1,std_f1,median_f1,ci95_low,ci95_high
all,bendr,81,0.3399824084765891,0.16618615575073434,0.33334677084610326,0.3035894867581944,0.3761871844025118
all,biot,83,0.42170655383367944,0.21214314555740948,0.48571035619599917,0.37616139393391346,0.4665722313000012
all,brainomni,83,0.4452849855451051,0.20939826178096088,0.4845679012345679,0.40011830701618034,0.4908364138668126
all,cbramod,83,0.4238758409321374,0.2089511034202168,0.48660753187234174,0.37944379853180193,0.46876841656482776
all,eegmamba,81,0.3948312971753853,0.1876074508191381,0.4746090270036476,0.35420487927265987,0.4356606415186571
all,femba,82,0.4307141116587277,0.20506481383355366,0.49461381660232917,0.38703221001518273,0.47483611275320653
all,labram,81,0.4204802338041226,0.20352221453652228,0.48247576435495904,0.37619256096691134,0.46483835709817195
all,neurogpt,82,0.40411294674092946,0.19612742510215775,0.457539687718333,0.36203607892918854,0.4462458084233476
all,neurolm,80,0.4221070258772559,0.20695434123799833,0.4847390845772199,0.37766278308767726,0.46704681992599906
all,reve,82,0.3971780946147055,0.18548984532755006,0.45558232099842366,0.3569062749797088,0.4377186189239845
all,reve_new,4,0.36825451224320677,0.2414040473863727,0.3892058547522622,0.17749046487973602,0.5590185596066776
