group,model,n_datasets,mean_f1,std_f1,median_f1,ci95_low,ci95_high
all,bendr,56,0.34753141676664245,0.162094777093589,0.33695005620560625,0.3043228003982169,0.388935016232277
all,biot,56,0.4254634933326229,0.1890346882568625,0.4913137781127528,0.3759382662812544,0.47522952656502926
all,brainomni,56,0.4431821878044853,0.1869759429788093,0.48347550275359447,0.3949236615464201,0.4920489064875279
all,cbramod,56,0.42108460474558784,0.1698242856348005,0.48911948122863036,0.3765155301988015,0.46503487896838086
all,eegmamba,56,0.4018156769166431,0.17482198784768327,0.4803805310664317,0.356020465077975,0.4467934929090198
all,femba,56,0.43591026840367153,0.1838321311435068,0.49658111407118943,0.38799181140501177,0.4835879365448891
all,labram,56,0.42503483200552367,0.18593137167262286,0.48644797731490025,0.376063473977179,0.4728006143476611
all,neurogpt,56,0.4015175378738511,0.1718228722218217,0.46552472268915646,0.35656909167119943,0.4464167881944159
all,neurolm,55,0.4295481692073757,0.19441371512716255,0.49333333333333335,0.3778276671795742,0.47879507518755376
all,reve,54,0.404288129284867,0.1744188227594281,0.4752777302044918,0.35828868542498393,0.4498766250319732
all,reve_new,3,0.2840076068718785,0.2117277137124705,0.2813698186483609,0.07361111111111111,0.49704189085616357
