group,model,n_datasets,mean_f1,std_f1,median_f1,ci95_low,ci95_high
all,bendr,26,0.3298890069624463,0.17710285504121825,0.33339813723915207,0.26266638718173124,0.39500568205156145
all,biot,28,0.41923426723001506,0.2541135519871788,0.46355463538035657,0.32602848554497377,0.5098082570644593
all,brainomni,28,0.45208695562856166,0.24924942663592747,0.508263056458202,0.3602257239448746,0.540229000481761
all,cbramod,28,0.4323927977451252,0.2723259663697458,0.4607716357325691,0.3323079502222467,0.5296673626895891
all,eegmamba,26,0.384018337241773,0.21355987213775482,0.40791070565504906,0.3041593487462538,0.4633217887715904
all,femba,27,0.425864895617653,0.2455817840714258,0.44041845461417806,0.3371440558022056,0.5163293569641642
all,labram,26,0.4168732941321866,0.2398531125631647,0.45156233031247106,0.3279342819228807,0.5064720067869495
all,neurogpt,27,0.4131921772577815,0.2402286897713162,0.4436371498804914,0.32458241635561635,0.5000176756939869
all,neurolm,26,0.4139870709193095,0.23408271701120023,0.4546937704810854,0.3273945671205079,0.5016199713695761
all,reve,30,0.38004872134543033,0.21728259256802757,0.39253511131431407,0.3037314726972593,0.45517149284992237
all,reve_new,1,0.6209952283571916,0.0,0.6209952283571916,0.6209952283571916,0.6209952283571916
