group,model,n_datasets,mean_f1,std_f1,median_f1,ci95_low,ci95_high
all,bendr,56,0.2954209164198126,0.15188082324988977,0.2742191297138315,0.25599618526365747,0.33489141400919664
all,biot,56,0.37319821741808085,0.19552504322518338,0.414418295374724,0.3225924302097313,0.4245990647215819
all,brainomni,56,0.40269451231206455,0.1885144397898212,0.4223924822832741,0.3541979420437317,0.453143334190504
all,cbramod,56,0.3673859878534517,0.16235758262216124,0.4192678499661063,0.32413630130077326,0.4088944758700512
all,eegmamba,56,0.3508506438324127,0.1681283846325271,0.37935846973317655,0.3067727797381647,0.39367161889575764
all,femba,56,0.3915328613651453,0.18739770405340367,0.429296210760424,0.3420207766045876,0.44048227925357775
all,labram,56,0.37960607141194735,0.1823123170398936,0.427452316093764,0.33151608534980503,0.4272441731359369
all,neurogpt,56,0.351072536943105,0.17139842492385973,0.3854174668526398,0.30575392952366975,0.39530067891850235
all,neurolm,55,0.3833933847543484,0.18872923725280089,0.42690761910660163,0.33311469679822553,0.4314899141181832
all,reve,54,0.3594901016597663,0.16674645385148426,0.3811085892323935,0.31550998315747614,0.40319108622001876
all,reve_new,3,0.24809720296974647,0.18952169644782513,0.24511369513279024,0.06008487398972425,0.4390930397867249
