group,model,n_datasets,mean_f1,std_f1,median_f1,ci95_low,ci95_high
all,bendr,25,0.2814222416191101,0.17745974326803962,0.23666433765257142,0.2123413449558371,0.34872440081361433
all,biot,28,0.36866270872878715,0.24538908634862971,0.38624418597137455,0.2784658612871329,0.45619685473426375
all,brainomni,27,0.404853623749211,0.2420410485444817,0.43153070420529155,0.3158249883135452,0.49598066502766536
all,cbramod,28,0.37362533309346097,0.2655499736189626,0.4058693440803023,0.27662674037026275,0.46934169180905927
all,eegmamba,25,0.3318422464964372,0.21275371367185983,0.3333333333333333,0.24919730031078519,0.41259970028075593
all,femba,26,0.3669811799657995,0.23486281114576613,0.37254203190738056,0.2772991433826007,0.45834270780499703
all,labram,25,0.384237602762715,0.25093940807272225,0.3938792334992227,0.28565627134082316,0.4796280508762965
all,neurogpt,26,0.35710319261072304,0.22340359203433127,0.37397646858600275,0.2729029240647396,0.4411343542017038
all,neurolm,25,0.37178210096831676,0.2366738727840171,0.3333333333333333,0.2804283942496819,0.4632076454851673
all,reve,29,0.33099878417791495,0.19076121840904087,0.34170286471790945,0.2619369626252859,0.3969770706856019
all,reve_new,1,0.6194555716390754,0.0,0.6194555716390754,0.6194555716390754,0.6194555716390754
