,femba,brainomni,neurolm,biot,labram,cbramod,neurogpt,eegmamba,reve,bendr
ad65,3.0,4.0,6.0,1.0,2.0,7.5,5.0,7.5,9.5,9.5
adhd,2.0,3.0,4.0,6.0,5.0,8.0,1.0,7.0,9.0,10.0
awakening,1.0,,4.0,3.0,2.0,8.0,5.5,7.0,5.5,9.0
bci_speech,9.5,2.0,1.0,6.0,3.0,7.0,9.5,4.5,8.0,4.5
bcic2a,4.0,1.0,,6.0,,3.0,5.0,2.0,8.0,7.0
bcic4_1,6.0,4.0,5.0,10.0,3.0,2.0,7.5,7.5,1.0,9.0
beta_ssvep,1.0,2.0,6.0,3.5,3.5,5.0,8.0,8.0,10.0,8.0
broderick_cp,1.0,8.0,2.0,9.0,5.0,4.0,10.0,7.0,3.0,6.0
broderick_rev,4.0,10.0,4.0,4.0,8.0,4.0,4.0,4.0,9.0,4.0
chineseeeg2_ra_tone,1.0,8.5,8.5,2.0,8.5,5.0,5.0,5.0,3.0,8.5
cire,1.0,4.0,7.0,6.0,2.5,8.0,2.5,5.0,9.0,10.0
deap,2.5,1.0,10.0,4.0,8.0,9.0,5.5,2.5,7.0,5.5
depression_rest,1.0,6.0,3.0,9.0,6.0,6.0,2.0,10.0,6.0,6.0
dual_freq_ssvep,2.0,1.0,6.0,3.5,8.5,7.0,10.0,3.5,5.0,8.5
eav,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
eeg_mortality_pd,3.5,7.5,2.0,1.0,7.5,7.5,7.5,3.5,5.0,10.0
eeg_svrec,2.5,6.0,10.0,8.0,1.0,9.0,2.5,4.0,6.0,6.0
eegmat,2.0,10.0,1.0,3.0,9.0,6.0,4.0,5.0,7.0,8.0
hbn_eeg,3.0,,7.5,1.0,2.0,4.0,6.0,5.0,7.5,9.0
hfo,7.0,,4.0,1.0,6.0,2.5,5.0,2.5,8.0,9.0
hmc,4.0,1.0,2.0,6.0,3.0,9.0,5.0,7.0,8.0,10.0
isruc_s2,4.0,1.0,9.0,2.0,10.0,7.5,3.0,6.0,5.0,7.5
isruc_s3,2.0,4.0,1.0,3.0,8.0,9.0,7.0,6.0,5.0,10.0
lemon_age,2.0,3.0,7.0,1.0,5.0,8.5,6.0,10.0,4.0,8.5
lemon_extraversion,2.0,10.0,3.0,8.0,7.0,1.0,9.0,4.0,5.0,6.0
lemon_gender,4.0,5.0,1.0,2.0,3.0,8.0,7.0,10.0,6.0,9.0
longitudinal_eeg_reliability,4.0,1.0,2.0,3.0,5.0,8.0,7.0,6.0,9.0,10.0
mdd,6.5,1.0,2.0,3.0,6.5,5.0,9.0,8.0,4.0,10.0
monitoringerrp,7.0,8.0,4.5,2.0,10.0,9.0,6.0,1.0,4.5,3.0
musiceeg,9.0,,6.0,7.0,2.0,4.0,3.0,5.0,1.0,8.0
pd31,2.0,4.0,7.0,1.0,6.0,3.0,9.0,10.0,5.0,8.0
pearl_neuro,2.0,,1.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0
physionet_mi,3.0,1.0,2.0,8.0,4.0,5.5,5.5,,,7.0
restcog,3.0,,4.0,1.0,2.0,6.0,5.0,7.0,8.0,9.0
seed,7.0,3.0,1.0,6.0,,2.0,5.0,4.0,8.0,9.0
seed_fra,4.5,4.5,,4.5,,4.5,4.5,4.5,4.5,4.5
seed_v,1.0,3.0,,2.0,4.0,7.0,5.0,6.0,8.0,9.0
seed_vig,1.0,4.0,2.0,9.0,5.0,6.0,3.0,7.0,8.0,10.0
seed_vii,1.0,3.0,6.0,8.0,5.0,2.0,7.0,4.0,9.0,10.0
seediv,4.0,2.0,1.0,10.0,5.0,3.0,6.0,7.0,9.0,8.0
shu_mi,5.5,1.0,7.0,5.5,4.0,2.0,3.0,10.0,8.0,9.0
siena_eeg,7.0,4.0,,2.0,,1.0,5.0,,6.0,3.0
sleepedf_full,5.0,3.0,1.0,10.0,2.0,7.0,4.0,6.0,8.0,9.0
ssvep,10.0,2.0,1.0,8.5,5.0,6.5,8.5,4.0,6.5,3.0
tdbrain,2.0,1.0,6.0,3.5,3.5,7.0,5.0,8.0,9.0,10.0
things_eeg2,8.5,4.0,4.0,10.0,4.0,4.0,4.0,8.5,4.0,4.0
tuep,,1.0,,2.0,,,,,,
tuev,,2.0,,1.0,3.0,,,,,
workload,7.0,4.0,8.0,3.0,2.0,1.0,10.0,5.0,6.0,9.0
