dataset_display,BrainOmni,FEMBA,NeuroLM,BIOT,LaBraM,CBraMod,REVE,EEGMamba,NeuroGPT,BENDR
AD65,4.0,3.0,6.0,1.0,2.0,7.0,9.0,8.0,5.0,10.0
ADHD,4.0,3.0,5.0,6.0,2.0,8.0,9.0,7.0,1.0,10.0
Depression_rest,5.0,1.0,4.0,10.0,6.0,10.0,2.0,10.0,3.0,10.0
EEG_Mortality_PD,10.0,4.0,2.0,1.0,10.0,10.0,5.0,3.0,10.0,10.0
HFO,,7.0,4.0,1.0,6.0,3.0,8.0,2.0,5.0,9.0
LEMON_age,3.0,2.0,7.0,1.0,5.0,9.0,4.0,10.0,6.0,8.0
LEMON_extraversial,10.0,2.0,3.0,10.0,7.0,1.0,5.0,4.0,10.0,6.0
LEMON_gender,5.0,4.0,1.0,2.0,3.0,8.0,6.0,10.0,7.0,10.0
MDD,1.0,7.0,2.0,3.0,6.0,5.0,4.0,8.0,9.0,10.0
MODMA,2.0,1.0,,9.0,9.0,9.0,4.0,3.0,5.0,9.0
PD31,3.0,2.0,6.0,4.0,7.0,5.0,1.0,10.0,10.0,10.0
Siena_EEG,3.0,6.0,,2.0,,1.0,5.0,,7.0,4.0
TDBRAIN,1.0,2.0,5.0,3.0,4.0,7.0,9.0,8.0,6.0,10.0
TUAB,3.0,,,1.0,2.0,,,,,
TUEP,1.0,,,2.0,,,,,,
TUEV,2.0,,,1.0,3.0,,,,,
TUSL,2.0,,,1.0,,,,,,
Awakening,,1.0,5.0,4.0,3.0,9.0,2.0,9.0,6.0,9.0
HBN_EEG,,3.0,8.0,1.0,2.0,4.0,7.0,5.0,6.0,9.0
HMC,1.0,5.0,2.0,7.0,3.0,9.0,4.0,8.0,6.0,10.0
ISRUC_S1,2.0,3.0,1.0,6.0,5.0,9.0,4.0,8.0,7.0,10.0
ISRUC_S2,1.0,4.0,9.0,2.0,10.0,7.0,5.0,6.0,3.0,8.0
ISRUC_S3,4.0,2.0,1.0,3.0,8.0,9.0,5.0,6.0,7.0,10.0
PEARL_Neuro,,2.0,1.0,4.0,3.0,5.0,8.0,7.0,6.0,9.0
RestCog,,3.0,4.0,1.0,2.0,6.0,8.0,7.0,5.0,9.0
SleepEDF_full,3.0,5.0,1.0,10.0,2.0,7.0,8.0,6.0,4.0,9.0
CIRE,4.0,1.0,7.0,6.0,2.0,8.0,9.0,5.0,3.0,10.0
DEAP_arousal,3.0,10.0,10.0,10.0,10.0,2.0,1.0,10.0,10.0,10.0
DEAP_valence,1.0,4.0,6.0,3.0,9.0,10.0,5.0,2.0,8.0,7.0
EEGMAT,10.0,2.0,1.0,3.0,10.0,10.0,10.0,5.0,4.0,10.0
EEG_SVRec,7.0,2.0,10.0,10.0,1.0,10.0,5.0,4.0,3.0,6.0
FACED,3.0,5.0,4.0,6.0,7.0,1.0,2.0,9.0,8.0,10.0
MusicEEG,,6.0,5.0,9.0,2.0,1.0,4.0,3.0,9.0,9.0
SEED,3.0,8.0,1.0,6.0,,2.0,7.0,4.0,5.0,9.0
SEED_FRA,2.0,3.0,,5.0,,1.0,7.0,4.0,6.0,8.0
SEED_IV,1.0,3.0,,8.0,,2.0,8.0,5.0,4.0,6.0
SEED_V,3.0,1.0,,2.0,4.0,7.0,8.0,6.0,5.0,9.0
SEED_VIG,4.0,1.0,2.0,10.0,5.0,6.0,8.0,7.0,3.0,10.0
SEED_VII,3.0,1.0,6.0,8.0,5.0,2.0,9.0,4.0,7.0,10.0
Workload,4.0,7.0,8.0,3.0,2.0,1.0,6.0,5.0,10.0,9.0
BCI_Speech,2.0,10.0,1.0,6.0,3.0,7.0,10.0,4.0,10.0,5.0
Broderick_CP,4.0,3.0,6.0,1.0,2.0,5.0,10.0,8.0,7.0,9.0
Broderick_Rev,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0
ChineseEEG2_RA_Tone,10.0,1.0,8.0,2.0,7.0,6.0,3.0,4.0,5.0,10.0
Things_EEG2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
BCIC2A,1.0,4.0,,8.0,,3.0,8.0,2.0,5.0,8.0
BCIC4_1,10.0,10.0,10.0,10.0,3.0,2.0,1.0,10.0,10.0,10.0
BenchmarkSSVEP,2.0,5.0,8.0,4.0,7.0,1.0,3.0,6.0,9.0,10.0
BETA_SSVEP,2.0,3.0,5.0,6.5,10.0,6.5,1.0,8.0,9.0,4.0
DUAL_FREQ_SSVEP,1.0,2.0,6.0,4.0,9.0,7.0,5.0,3.0,10.0,8.0
ExoEEG_WalkStop,2.0,1.0,3.0,5.0,8.0,9.0,6.0,10.0,4.0,7.0
Monitering-Errp,10.0,10.0,10.0,2.0,10.0,10.0,10.0,1.0,10.0,3.0
Physionet_MI,1.0,3.0,2.0,8.0,4.0,6.0,,,5.0,7.0
SHU_MI,1.0,5.0,7.0,6.0,4.0,2.0,8.0,10.0,3.0,10.0
SSVEP,2.0,10.0,1.0,10.0,5.0,6.0,7.0,4.0,10.0,3.0
