,bendr,biot,brainomni,cbramod,eegmamba,femba,labram,neurogpt,neurolm,reve
ad65,9.5,1.0,4.0,7.5,7.5,3.0,2.0,5.0,6.0,9.5
adhd,10.0,6.0,3.0,8.0,7.0,2.0,5.0,1.0,4.0,9.0
awakening,9.0,3.0,,8.0,7.0,1.0,2.0,5.5,4.0,5.5
bci_speech,4.5,6.0,2.0,7.0,4.5,9.5,3.0,9.5,1.0,8.0
bcic2a,7.0,6.0,1.0,3.0,2.0,4.0,,5.0,,8.0
bcic4_1,9.0,10.0,4.0,2.0,7.5,6.0,3.0,7.5,5.0,1.0
beta_ssvep,8.0,3.5,2.0,5.0,8.0,1.0,3.5,8.0,6.0,10.0
broderick_cp,6.0,9.0,8.0,4.0,7.0,1.0,5.0,10.0,2.0,3.0
broderick_rev,4.0,4.0,10.0,4.0,4.0,4.0,8.0,4.0,4.0,9.0
chineseeeg2_ra_tone,8.5,2.0,8.5,5.0,5.0,1.0,8.5,5.0,8.5,3.0
cire,10.0,6.0,4.0,8.0,5.0,1.0,2.5,2.5,7.0,9.0
deap,5.5,4.0,1.0,9.0,2.5,2.5,8.0,5.5,10.0,7.0
depression_rest,6.0,9.0,6.0,6.0,10.0,1.0,6.0,2.0,3.0,6.0
dual_freq_ssvep,8.5,3.5,1.0,7.0,3.5,2.0,8.5,10.0,6.0,5.0
eav,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
eeg_mortality_pd,10.0,1.0,7.5,7.5,3.5,3.5,7.5,7.5,2.0,5.0
eeg_svrec,6.0,8.0,6.0,9.0,4.0,2.5,1.0,2.5,10.0,6.0
eegmat,8.0,3.0,10.0,6.0,5.0,2.0,9.0,4.0,1.0,7.0
hbn_eeg,9.0,1.0,,4.0,5.0,3.0,2.0,6.0,7.5,7.5
hfo,9.0,1.0,,2.5,2.5,7.0,6.0,5.0,4.0,8.0
hmc,10.0,6.0,1.0,9.0,7.0,4.0,3.0,5.0,2.0,8.0
isruc_s2,7.5,2.0,1.0,7.5,6.0,4.0,10.0,3.0,9.0,5.0
isruc_s3,10.0,3.0,4.0,9.0,6.0,2.0,8.0,7.0,1.0,5.0
lemon_age,8.5,1.0,3.0,8.5,10.0,2.0,5.0,6.0,7.0,4.0
lemon_extraversion,6.0,8.0,10.0,1.0,4.0,2.0,7.0,9.0,3.0,5.0
lemon_gender,9.0,2.0,5.0,8.0,10.0,4.0,3.0,7.0,1.0,6.0
longitudinal_eeg_reliability,10.0,3.0,1.0,8.0,6.0,4.0,5.0,7.0,2.0,9.0
mdd,10.0,3.0,1.0,5.0,8.0,6.5,6.5,9.0,2.0,4.0
monitoringerrp,3.0,2.0,8.0,9.0,1.0,7.0,10.0,6.0,4.5,4.5
musiceeg,8.0,7.0,,4.0,5.0,9.0,2.0,3.0,6.0,1.0
pd31,8.0,1.0,4.0,3.0,10.0,2.0,6.0,9.0,7.0,5.0
pearl_neuro,9.0,4.0,,5.0,7.0,2.0,3.0,6.0,1.0,8.0
physionet_mi,7.0,8.0,1.0,5.5,,3.0,4.0,5.5,2.0,
restcog,9.0,1.0,,6.0,7.0,3.0,2.0,5.0,4.0,8.0
seed,9.0,6.0,3.0,2.0,4.0,7.0,,5.0,1.0,8.0
seed_fra,4.5,4.5,4.5,4.5,4.5,4.5,,4.5,,4.5
seed_v,9.0,2.0,3.0,7.0,6.0,1.0,4.0,5.0,,8.0
seed_vig,10.0,9.0,4.0,6.0,7.0,1.0,5.0,3.0,2.0,8.0
seed_vii,10.0,8.0,3.0,2.0,4.0,1.0,5.0,7.0,6.0,9.0
seediv,8.0,10.0,2.0,3.0,7.0,4.0,5.0,6.0,1.0,9.0
shu_mi,9.0,5.5,1.0,2.0,10.0,5.5,4.0,3.0,7.0,8.0
siena_eeg,3.0,2.0,4.0,1.0,,7.0,,5.0,,6.0
sleepedf_full,9.0,10.0,3.0,7.0,6.0,5.0,2.0,4.0,1.0,8.0
ssvep,3.0,8.5,2.0,6.5,4.0,10.0,5.0,8.5,1.0,6.5
tdbrain,10.0,3.5,1.0,7.0,8.0,2.0,3.5,5.0,6.0,9.0
things_eeg2,4.0,10.0,4.0,4.0,8.5,8.5,4.0,4.0,4.0,4.0
workload,9.0,3.0,4.0,1.0,5.0,7.0,2.0,10.0,8.0,6.0
