dataset_display,FEMBA,LaBraM,BrainOmni,BIOT,CBraMod,NeuroGPT,REVE,EEGMamba,BENDR,NeuroLM
AD65,3.0,2.0,4.0,1.0,7.0,5.0,9.0,8.0,10.0,6.0
ADHD,3.0,2.0,4.0,6.0,8.0,1.0,9.0,7.0,10.0,5.0
Depression_rest,1.0,6.0,5.0,10.0,10.0,3.0,2.0,10.0,10.0,4.0
EEG_Mortality_PD,4.0,10.0,10.0,1.0,10.0,10.0,5.0,3.0,10.0,2.0
HFO,7.0,6.0,,1.0,3.0,5.0,8.0,2.0,9.0,4.0
LEMON_age,2.0,5.0,3.0,1.0,9.0,6.0,4.0,10.0,8.0,7.0
LEMON_extraversial,2.0,7.0,10.0,10.0,1.0,10.0,5.0,4.0,6.0,3.0
LEMON_gender,4.0,3.0,5.0,2.0,8.0,7.0,6.0,10.0,10.0,1.0
MDD,7.0,6.0,1.0,3.0,5.0,9.0,4.0,8.0,10.0,2.0
MODMA,1.0,9.0,2.0,9.0,9.0,5.0,4.0,3.0,9.0,
PD31,2.0,7.0,3.0,4.0,5.0,10.0,1.0,10.0,10.0,6.0
Siena_EEG,6.0,,3.0,2.0,1.0,7.0,5.0,,4.0,
TDBRAIN,2.0,4.0,1.0,3.0,7.0,6.0,9.0,8.0,10.0,5.0
Awakening,1.0,3.0,,4.0,9.0,6.0,2.0,9.0,9.0,5.0
HBN_EEG,3.0,2.0,,1.0,4.0,6.0,7.0,5.0,9.0,8.0
HMC,5.0,3.0,1.0,7.0,9.0,6.0,4.0,8.0,10.0,2.0
ISRUC_S1,3.0,5.0,2.0,6.0,9.0,7.0,4.0,8.0,10.0,1.0
ISRUC_S2,4.0,10.0,1.0,2.0,7.0,3.0,5.0,6.0,8.0,9.0
ISRUC_S3,2.0,8.0,4.0,3.0,9.0,7.0,5.0,6.0,10.0,1.0
PEARL_Neuro,2.0,3.0,,4.0,5.0,6.0,8.0,7.0,9.0,1.0
RestCog,3.0,2.0,,1.0,6.0,5.0,8.0,7.0,9.0,4.0
SleepEDF_full,5.0,2.0,3.0,10.0,7.0,4.0,8.0,6.0,9.0,1.0
CIRE,1.0,2.0,4.0,6.0,8.0,3.0,9.0,5.0,10.0,7.0
DEAP_arousal,10.0,10.0,3.0,10.0,2.0,10.0,1.0,10.0,10.0,10.0
DEAP_valence,4.0,9.0,1.0,3.0,10.0,8.0,5.0,2.0,7.0,6.0
EEGMAT,2.0,10.0,10.0,3.0,10.0,4.0,10.0,5.0,10.0,1.0
EEG_SVRec,2.0,1.0,7.0,10.0,10.0,3.0,5.0,4.0,6.0,10.0
FACED,5.0,7.0,3.0,6.0,1.0,8.0,2.0,9.0,10.0,4.0
MusicEEG,6.0,2.0,,9.0,1.0,9.0,4.0,3.0,9.0,5.0
SEED,8.0,,3.0,6.0,2.0,5.0,7.0,4.0,9.0,1.0
SEED_FRA,3.0,,2.0,5.0,1.0,6.0,7.0,4.0,8.0,
SEED_IV,3.0,,1.0,8.0,2.0,4.0,8.0,5.0,6.0,
SEED_V,1.0,4.0,3.0,2.0,7.0,5.0,8.0,6.0,9.0,
SEED_VIG,1.0,5.0,4.0,10.0,6.0,3.0,8.0,7.0,10.0,2.0
SEED_VII,1.0,5.0,3.0,8.0,2.0,7.0,9.0,4.0,10.0,6.0
Workload,7.0,2.0,4.0,3.0,1.0,10.0,6.0,5.0,9.0,8.0
BCI_Speech,10.0,3.0,2.0,6.0,7.0,10.0,10.0,4.0,5.0,1.0
Broderick_CP,3.0,2.0,4.0,1.0,5.0,7.0,10.0,8.0,9.0,6.0
Broderick_Rev,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0
ChineseEEG2_RA_Tone,1.0,7.0,10.0,2.0,6.0,5.0,3.0,4.0,10.0,8.0
Things_EEG2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
BCIC2A,4.0,,1.0,8.0,3.0,5.0,8.0,2.0,8.0,
BCIC4_1,10.0,3.0,10.0,10.0,2.0,10.0,1.0,10.0,10.0,10.0
BenchmarkSSVEP,5.0,7.0,2.0,4.0,1.0,9.0,3.0,6.0,10.0,8.0
BETA_SSVEP,3.0,10.0,2.0,6.5,6.5,9.0,1.0,8.0,4.0,5.0
DUAL_FREQ_SSVEP,2.0,9.0,1.0,4.0,7.0,10.0,5.0,3.0,8.0,6.0
ExoEEG_WalkStop,1.0,8.0,2.0,5.0,9.0,4.0,6.0,10.0,7.0,3.0
Monitering-Errp,10.0,10.0,10.0,2.0,10.0,10.0,10.0,1.0,3.0,10.0
Physionet_MI,3.0,4.0,1.0,8.0,6.0,5.0,,,7.0,2.0
SHU_MI,5.0,4.0,1.0,6.0,2.0,3.0,8.0,10.0,10.0,7.0
SSVEP,10.0,5.0,2.0,10.0,6.0,10.0,7.0,4.0,3.0,1.0
