,Category,dataset_display,dataset_exp,bacc_chance,num_labels,BENDR,BIOT,BrainOmni,CBraMod,EEGMamba,FEMBA,LaBraM,NeuroGPT,NeuroLM,REVE,chance_level
0,Type-II,AD65,ad65,0.6128 / 0.333,3.0,0.3380938519,0.5083650017,0.4526938154,0.3768715484,0.3766767197,0.4557655967,0.4739906521,0.4195187923,0.3808167938,0.3529615134,0.3333333333333333
1,Type-II,ADHD,adhd,0.5331 / 0.500,2.0,0.4886378424,0.5512292352,0.6300522351,0.5478054871,0.5503674088,0.6567658386,0.6781207865,0.7140571154,0.6291939858,0.5269604124,0.5
2,Type-III,Awakening,awakening,0.6836 / 0.200,2.0,0.4719907407,0.6022660819,,0.473245614,0.489205653,0.7543006823,0.6306773879,0.5769736842,0.5950536062,0.6835359159,0.5
3,Type-VI,BCIC2A,bcic2a,— / 0.500,4.0,0.2361111111,0.25,0.3055555556,0.2690972222,0.2818287037,0.2586805556,,0.2540509259,,0.2280092593,0.25
4,Type-VI,BCIC4_1,bcic41,0.5412 / 0.500,2.0,0.475,0.4616666667,0.495,0.51,0.4816666667,0.49,0.5066666667,0.4816666667,0.4933333333,0.515,0.5
5,Type-V,BCI_Speech,bcispeech,0.1679 / 0.006*,5.0,0.207,0.2046666667,0.2203333333,0.2016666667,0.2073333333,0.194,0.2143333333,0.1936666667,0.2236666667,0.1866666667,0.2
6,Type-VI,BenchmarkSSVEP,benchmarkssvep,,40.0,0.025,0.0648148148,0.0777777778,0.425462963,0.0333333333,0.0509259259,0.0328703704,0.0263888889,0.0324074074,0.0736111111,0.025
7,Type-VI,BETA_SSVEP,betassvep,0.5405 / 0.500,40.0,0.0303571429,0.0291666667,0.0380952381,0.0291666667,0.0285714286,0.037202381,0.0267857143,0.0273809524,0.0294642857,0.0458333333,0.025
8,Type-V,Broderick_CP,broderickcp,0.1741 / 0.025,2.0,0.5010053157,0.6085674507,0.5814359248,0.5451205954,0.5111786593,0.5827466828,0.6006218606,0.5172181072,0.5399956253,0.4993576035,0.5
9,Type-V,Broderick_Rev,broderickrev,0.5542 / 0.500,2.0,0.5,0.4989215174,0.4659079665,0.559524257,0.4998440121,0.4981492211,0.4653572873,0.4854946914,0.4978127914,0.4970418909,0.5
