,Category,dataset_display,dataset_exp,bacc_chance,num_labels,BENDR,BIOT,BrainOmni,CBraMod,EEGConformer,EEGMamba,EEGNet,FEMBA,LaBraM,NeuroGPT,NeuroLM,REVE,chance_level
0,Type-II,AD65,ad65,0.6128 / 0.333,3,0.3333333333,0.6021355581,0.3857069653,0.4991977054,0.3638852318,0.4767345361,0.379716469,0.6225776279,0.680240708,0.442632307,0.4779496663,0.5182645007,0.3333333333333333
1,Type-II,ADHD,adhd,0.5331 / 0.500,2,0.5,0.6115276223,0.6734465789,0.6604088245,0.5997355002,0.6529629644,0.6269964275,0.7263054624,0.714038964,0.7152784922,0.6443971509,0.5456801967,0.5
2,Type-III,Awakening,awakening,0.6836 / 0.200,2,0.5672133942,0.9915473568,,0.7747154919,0.8113993425,0.7355078519,0.6588583705,0.9796546826,0.9883529326,0.7831971391,0.8758321789,0.5863881417,0.5
3,Type-VI,BCIC2A,bcic2a,— / 0.500,4,0.25,0.25,0.3512731481,0.46875,0.3741319444,0.3148148148,0.3480902778,0.4415509259,,0.4270833333,,0.3726851852,0.25
4,Type-V,BCI_Speech,bcispeech,0.1679 / 0.006*,5,0.2,0.282,0.197,0.261,0.2165,0.207,0.2065,0.214,0.252,0.206,0.281,0.208,0.2
5,Type-II,EEG_Mortality_PD,eegmortalitypd,0.7580 / 0.500,2,0.4998089206,0.6425949822,0.5588436902,0.5,0.221875,0.5,0.2375,0.5237414271,0.5270741042,0.4929320856,0.5508925771,0.5011830601,0.5
6,Type-VI,ExoEEG_WalkStop,exoeegwalkstop,0.0327 / 0.025,2,0.5015321413,0.5073699403,0.4907527757,0.5698038889,0.5401852241,0.5113923038,0.5354450515,0.5095943516,0.529704447,0.4986913185,0.5226504034,0.5225913278,0.5
7,Type-IV,FACED,facednew,0.3313 / 0.333,9,0.1111111111,0.1921494144,0.3336498892,0.4792655904,0.3937383791,0.2508705286,0.4398267471,0.259813232,0.2795188351,0.294634378,0.3520892688,0.3199588477,0.1111111111111111
8,Type-II,HFO,hfo,0.7439 / 0.500,2,0.5098110465,0.5979063772,,0.574220809,0.5229040148,0.5948177144,0.5286243497,0.5393374175,0.5629725814,0.5766781004,0.5763419071,0.5272257282,0.5
9,Type-III,HMC,hmc,0.2473 / 0.250,5,0.2026182089,0.5607880938,0.6635309606,0.4670568877,0.52855357,0.5295745638,0.4534375713,0.593723736,0.6234029549,0.5742049791,0.652896891,0.49215882,0.2
10,Type-III,ISRUC_S2,isrucs2,0.8333 / 0.333,5,0.1962160062,0.2576454717,0.2108264231,0.2,0.2383559885,0.2027272727,0.2060677669,0.2487096692,0.2117715618,0.2698916629,0.2119173754,0.2529421719,0.2
11,Type-VI,Physionet_MI,physionetmi,— / 0.500,4,0.25,0.3074272257,0.4357495084,0.5269557219,0.4891099736,,0.4373733551,0.4979266725,0.5156041572,0.4990801689,0.4927055776,,0.25
12,Type-II,TUSL,tusl,- / 0.333,3,,0.7597222222,0.5772486772,,0.4245661746,,0.2868589744,,,,,,0.3333333333333333
