,Category,dataset_display,dataset_exp,bacc_chance,num_labels,BENDR,BIOT,BrainOmni,CBraMod,EEGMamba,FEMBA,LaBraM,NeuroGPT,NeuroLM,REVE,chance_level
0,Type-III,Awakening,awakening,0.6836 / 0.200,2,0.5321730104,0.9804733077,,0.8149024077,0.7907126329,0.9577042027,0.9380269352,0.8162930898,0.9250452706,0.6115116622,0.5
1,Type-VI,BCIC2A,bcic2a,— / 0.500,4,0.2396541618,0.25,0.3142651271,0.2745455252,0.2874400285,0.3194608738,,0.3000278074,,0.2523222804,0.25
2,Type-V,BCI_Speech,bcispeech,0.1679 / 0.006*,5,0.2014223118,0.2088519224,0.1986868922,0.2242657088,0.2123672434,0.2041400805,0.2178797487,0.2057639343,0.2339697464,0.1991399265,0.2
3,Type-VI,BETA_SSVEP,betassvep,0.5405 / 0.500,40,0.0338850642,0.0304805596,0.0358394133,0.0286126721,0.0238267492,0.0425801635,0.0247379678,0.0284973286,0.027010523,0.0393215002,0.025
4,Type-V,Broderick_CP,broderickcp,0.1741 / 0.025,2,0.5010053157,0.6085674507,0.5814359248,0.5451205954,0.5111786593,0.5827466828,0.6006218606,0.5172181072,0.5399956253,0.4993576035,0.5
5,Type-V,Broderick_Rev,broderickrev,0.5542 / 0.500,2,0.5000844127499999,0.5727681585,0.536739853,0.67369626875,0.4989999016499999,0.57920590165,0.584300984,0.5150310479,0.60933007045,0.52247899325,0.5
6,Type-V,ChineseEEG2_RA_Tone,chineseeeg2ratone,— / 0.500,4,0.2463608008,0.2517000499,0.2457419336,0.2496829359,0.2485592712,0.2491509449,0.2486099457,0.2494214899,0.246126486,0.2516998277,0.25
7,Type-IV,CIRE,cire,0.5000 / 0.500,2,0.5096401608,0.5268731913,0.5408033329,0.5376020095,0.5355855444,0.5519115324,0.5063564304,0.5449411264,0.5062976482,0.5125767696,0.5
8,Type-VI,DUAL_FREQ_SSVEP,dualfreqssvep,— / 0.333,40,0.0245072751,0.0283649106,0.0541404694,0.0291931217,0.0252513228,0.0355055627,0.0226630314,0.0210041926,0.0370588439,0.0321480371,0.025
9,Type-I,EEGDenoiseNet,eegdenoisenet,,2,0.5074982958,0.5,0.6077027948,0.9986366735,0.5,0.5,0.7610770279,0.7113156101,0.5,0.5954328562,0.5
10,Type-III,HBN_EEG,hbneeg,0.3458 / 0.111,13,0.079809775,0.1212018776,,0.1073416296,0.1102571964,0.1137793417,0.1295722196,0.1046255114,0.0866608257,0.0908767345,0.07692307692307693
11,Type-II,HFO,hfo,0.7439 / 0.500,2,0.4992669429,0.6384674477,,0.62047478,0.5983152528,0.5528449471,0.5859731448,0.5887686263,0.6318778536,0.5260759296,0.5
12,Type-III,HMC,hmc,0.2473 / 0.250,5,0.2081926991,0.5760222935,0.6562630636,0.5069487974,0.5721012947,0.6018358859,0.6443293991,0.5713198637,0.6590826536,0.4931217806,0.2
13,Type-I,Longitudinal_EEG_Reliability,longitudinaleegreliability,0.8161 / 0.500,2,0.5111931371,0.7083932323,0.72636819,0.6683743641,0.6405073878,0.6811176585,0.6774376557,0.698049211,0.7403423306,0.6327979294,0.5
14,Type-VI,Monitering-Errp,monitoringerrp,0.6156 / 0.025,2,0.5091623792,0.5000140286,0.511751545,0.5053724764,0.5099347493,0.4943221834,0.4914963481,0.5032887544,0.5120413027,0.4933150461,0.5
15,Type-III,PEARL_Neuro,pearlneuro,0.3234 / 0.333,3,0.3351702262,0.4212115127,,0.3828669961,0.3729938784,0.4366874664,0.4197205177,0.4166556808,0.4287005309,0.3682787871,0.3333333333333333
16,Type-VI,Physionet_MI,physionetmi,— / 0.500,4,0.2766628735,0.2514784973,0.3449894016,0.2541645245,,0.2569867673,0.2675527532,0.277229614,0.2837996762,,0.25
17,Type-III,RestCog,restcog,— / 0.250,5,0.2058219329,0.367708934,,0.3050152429,0.2342910084,0.3240432634,0.3407371223,0.2922413794,0.3351710549,0.2365271419,0.2
18,Type-IV,SEED,seed,0.6626 / 0.500,3,0.3334629411,0.4888001938,0.5047745679,0.4787785864,0.4261454346,0.4404184546,,0.4436371499,0.48068701,0.3781558913,0.3333333333333333
19,Type-IV,SEED_FRA,seedfra,— / 0.250,3,0.3333333333,0.4309173688,0.4262278961,0.4215432715,0.3896759767,0.4112884922,,0.3733448305,,0.346541976,0.3333333333333333
20,Type-IV,SEED_VII,seedvii,— / 0.500,7,0.1492422925,0.1647819251,0.2054753143,0.182251644,0.1731637847,0.1903697377,0.196309334,0.1812050184,0.1850046309,0.1501901278,0.14285714285714285
21,Type-VI,SHU_MI,shumi,0.6727 / 0.200,2,0.4920348635,0.5206736445,0.5662176958,0.5079021055,0.5091016872,0.5248268763,0.4957929585,0.5010096968,0.5160594562,0.5334385541,0.5
22,Type-II,Siena_EEG,sienaeeg,0.6290 / 0.200,2,0.5033440126,0.7223364967,0.6784036118,0.5181587276,,0.5927982203,,0.6187119798,,0.5232405084,0.5
23,Type-VI,SSVEP,ssvep,— / 0.200,160,0.0116071429,0.00625,0.0196428571,0.0068452381,0.0116071429,0.0074404762,0.0071428571,0.0068452381,0.0258928571,0.005952381,0.00625
24,Type-IV,Workload,workload,0.5411 / 0.250,3,0.3324944072,0.3012552821,0.313913746,0.3333333333,0.3340790455,0.323701218,0.3354958986,0.2483221477,0.3564752672,0.3274670644,0.3333333333333333
