dataset_display,LaBraM,NeuroLM,FEMBA,BIOT,CBraMod,NeuroGPT,BrainOmni,EEGConformer,REVE,EEGMamba,EEGNet,BENDR
HFO,6.0,4.0,7.0,1.0,5.0,3.0,,10.0,9.0,2.0,8.0,11.0
TUSL,,,,1.0,,,2.0,3.0,,,4.0,
ADHD,3.0,7.0,1.0,9.0,5.0,2.0,4.0,10.0,11.0,6.0,8.0,12.0
AD65,1.0,6.0,2.0,3.0,5.0,8.0,9.0,11.0,4.0,7.0,10.0,12.0
EEG_Mortality_PD,4.0,3.0,5.0,1.0,12.0,12.0,2.0,12.0,6.0,12.0,12.0,12.0
Awakening,2.0,4.0,3.0,1.0,7.0,6.0,,5.0,10.0,8.0,9.0,11.0
ISRUC_S2,7.0,6.0,4.0,2.0,12.0,1.0,8.0,5.0,3.0,10.0,9.0,12.0
HMC,3.0,2.0,4.0,6.0,10.0,5.0,1.0,8.0,9.0,7.0,11.0,12.0
FACED,8.0,4.0,9.0,11.0,1.0,7.0,5.0,3.0,6.0,10.0,2.0,12.0
BCI_Speech,4.0,2.0,6.0,1.0,3.0,10.0,12.0,5.0,7.0,8.0,9.0,12.0
BCIC2A,,,2.0,10.0,1.0,3.0,6.0,4.0,5.0,8.0,7.0,10.0
Physionet_MI,2.0,5.0,4.0,9.0,1.0,3.0,8.0,6.0,,,7.0,10.0
ExoEEG_WalkStop,4.0,5.0,8.0,9.0,1.0,12.0,12.0,2.0,6.0,7.0,3.0,10.0
