dataset_display,BrainOmni,NeuroLM,BIOT,FEMBA,LaBraM,CBraMod,NeuroGPT,EEGMamba,REVE,BENDR
EEGDenoiseNet,4.0,10.0,10.0,10.0,2.0,1.0,3.0,10.0,5.0,6.0
Longitudinal_EEG_Reliability,2.0,1.0,3.0,5.0,6.0,7.0,4.0,8.0,9.0,10.0
HFO,,2.0,1.0,7.0,6.0,3.0,5.0,4.0,8.0,9.0
Siena_EEG,2.0,,1.0,4.0,,6.0,3.0,,5.0,7.0
Awakening,,4.0,1.0,2.0,3.0,6.0,5.0,7.0,8.0,9.0
HMC,2.0,1.0,5.0,4.0,3.0,8.0,7.0,6.0,9.0,10.0
HBN_EEG,,8.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0,9.0
PEARL_Neuro,,2.0,3.0,1.0,4.0,6.0,5.0,7.0,8.0,9.0
RestCog,,3.0,1.0,4.0,2.0,5.0,6.0,8.0,7.0,9.0
SEED,1.0,3.0,2.0,6.0,,4.0,5.0,7.0,8.0,9.0
SEED_VII,1.0,4.0,8.0,3.0,2.0,5.0,6.0,7.0,9.0,10.0
SEED_FRA,2.0,,1.0,4.0,,3.0,6.0,5.0,7.0,8.0
CIRE,3.0,10.0,6.0,1.0,9.0,4.0,2.0,5.0,7.0,8.0
Workload,10.0,1.0,10.0,10.0,2.0,10.0,10.0,3.0,10.0,10.0
BCI_Speech,10.0,1.0,5.0,7.0,3.0,2.0,6.0,4.0,10.0,8.0
Broderick_CP,4.0,6.0,1.0,3.0,2.0,5.0,7.0,8.0,10.0,9.0
Broderick_Rev,6.0,2.0,5.0,4.0,3.0,1.0,8.0,10.0,7.0,9.0
ChineseEEG2_RA_Tone,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,2.0,10.0
BCIC2A,2.0,,8.0,1.0,,5.0,3.0,4.0,6.0,8.0
Physionet_MI,1.0,2.0,8.0,6.0,5.0,7.0,3.0,,,4.0
SHU_MI,1.0,5.0,4.0,3.0,10.0,7.0,8.0,6.0,2.0,10.0
BETA_SSVEP,3.0,8.0,5.0,1.0,10.0,6.0,7.0,10.0,2.0,4.0
DUAL_FREQ_SSVEP,1.0,2.0,6.0,3.0,10.0,5.0,10.0,7.0,4.0,10.0
SSVEP,2.0,1.0,10.0,5.0,6.0,7.5,7.5,3.5,10.0,3.5
Monitering-Errp,2.0,1.0,7.0,10.0,10.0,5.0,6.0,3.0,10.0,4.0
