dataset_folder,dataset_exp_name,dataset_mod,seed_folder,seed_num,model,score,chance_level,chance_source,category_en,category_ch,subtype,dataset_name,path
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,bendr,0.3493121902408362,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/bendr/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,biot,0.42861849942266406,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/biot/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,brainomni,0.43926027896193104,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/brainomni/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,cbramod,0.37380525405065285,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/cbramod/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,eegmamba,0.3543774726067321,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/eegmamba/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,femba,0.540740073509974,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/femba/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,labram,0.43185082344617004,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/labram/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,neurogpt,0.3697026899480887,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/neurogpt/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,neurolm,0.3383215940607179,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/neurolm/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_10_downsample_t40,10,reve,0.3435056986221612,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/reve/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_42_downsample_t40,42,bendr,0.33271534148827725,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/bendr/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_42_downsample_t40,42,biot,0.6458182603615027,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/biot/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_42_downsample_t40,42,brainomni,0.5833025658238233,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/brainomni/summary.json
AD65_cross_subject_linear_downsample,AD65,cross_subject,seed_42_downsample_t40,42,cbramod,0.4041284403669725,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/cbramod/summary.json
