dataset_folder,model,seed_folder,dataset_exp_name,participation_method,seed_num,score,chance_level,chance_source,category_en,category_ch,subtype,dataset_name,path
Awakening_balanced_within_subject_linear_downsample,bendr,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.5092427581697968,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/bendr/summary.json
Awakening_balanced_within_subject_linear_downsample,bendr,seed_42_downsample_t40,Awakening_balanced,within_subject,42,0.5312156670328849,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/bendr/summary.json
Awakening_balanced_within_subject_linear_downsample,bendr,seed_5_downsample_t40,Awakening_balanced,within_subject,5,0.5560606060606061,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/bendr/summary.json
Awakening_balanced_within_subject_linear_downsample,biot,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.9849627231601481,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/biot/summary.json
Awakening_balanced_within_subject_linear_downsample,biot,seed_42_downsample_t40,Awakening_balanced,within_subject,42,0.9784268967797677,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/biot/summary.json
Awakening_balanced_within_subject_linear_downsample,biot,seed_5_downsample_t40,Awakening_balanced,within_subject,5,0.978030303030303,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/biot/summary.json
Awakening_balanced_within_subject_linear_downsample,brainomni,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.9889434889434889,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/brainomni/summary.json
Awakening_balanced_within_subject_linear_downsample,brainomni,seed_42_downsample_t40,Awakening_balanced,within_subject,42,0.990533434310034,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_42_downsample_t40/ratio_full/brainomni/summary.json
Awakening_balanced_within_subject_linear_downsample,brainomni,seed_5_downsample_t40,Awakening_balanced,within_subject,5,0.9774891774891775,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_5_downsample_t40/ratio_full/brainomni/summary.json
Awakening_balanced_within_subject_linear_downsample,cbramod,seed_10_downsample_t40,Awakening_balanced,within_subject,10,0.818387447142812,0.5,balanced_chance,Unknown,Unknown,Unknown,,/benchmark-eeg/5.0_version/result_5/linear_downsample/Awakening_balanced_within_subject_linear_downsample/seed_10_downsample_t40/ratio_full/cbramod/summary.json
