dataset_folder,model,seed_folder,dataset_exp_name,participation_method,seed_num,score,chance_level,chance_source,category_en,category_ch,subtype,dataset_name,path
AD65_cross_subject_linear_downsample,bendr,seed_10_downsample_t40,AD65,cross_subject,10,0.28299429376104984,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/bendr/summary.json
AD65_cross_subject_linear_downsample,bendr,seed_42_downsample_t40,AD65,cross_subject,42,0.2399391639075076,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/bendr/summary.json
AD65_cross_subject_linear_downsample,bendr,seed_5_downsample_t40,AD65,cross_subject,5,0.18178167842597373,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/bendr/summary.json
AD65_cross_subject_linear_downsample,biot,seed_10_downsample_t40,AD65,cross_subject,10,0.42128004382626666,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/biot/summary.json
AD65_cross_subject_linear_downsample,biot,seed_42_downsample_t40,AD65,cross_subject,42,0.5973466594946435,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/biot/summary.json
AD65_cross_subject_linear_downsample,biot,seed_5_downsample_t40,AD65,cross_subject,5,0.4688609220055735,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/biot/summary.json
AD65_cross_subject_linear_downsample,brainomni,seed_10_downsample_t40,AD65,cross_subject,10,0.3368396509072937,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/brainomni/summary.json
AD65_cross_subject_linear_downsample,brainomni,seed_42_downsample_t40,AD65,cross_subject,42,0.5584292281379968,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_42_downsample_t40/ratio_full/brainomni/summary.json
AD65_cross_subject_linear_downsample,brainomni,seed_5_downsample_t40,AD65,cross_subject,5,0.3515615536021524,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_5_downsample_t40/ratio_full/brainomni/summary.json
AD65_cross_subject_linear_downsample,cbramod,seed_10_downsample_t40,AD65,cross_subject,10,0.2940406060872496,0.3333333333333333,balanced_chance,Biometrics & Disease,个体与疾病,神经退行性（阿尔茨海默/帕金森等）,AD65,/benchmark-eeg/5.0_version/result_5/linear_downsample/AD65_cross_subject_linear_downsample/seed_10_downsample_t40/ratio_full/cbramod/summary.json
