dataset_display,BrainOmni,FEMBA,NeuroLM,BIOT,LaBraM,CBraMod,REVE,EEGMamba,NeuroGPT,BENDR
AD65,0,0,0,0,0,0,0,0,0,0
ADHD,0,0,0,0,0,0,0,0,0,0
Depression_rest,0,0,0,0,0,0,0,0,0,0
EEG_Mortality_PD,0,0,0,0,0,0,0,0,0,0
HFO,1,0,0,0,0,0,0,0,0,0
LEMON_age,0,0,0,0,0,0,0,0,0,0
LEMON_extraversial,0,0,0,0,0,0,0,0,0,0
LEMON_gender,0,0,0,0,0,0,0,0,0,0
MDD,0,0,0,0,0,0,0,0,0,0
MODMA,0,0,0,0,0,0,0,0,0,0
PD31,0,0,0,0,0,0,0,0,0,0
Siena_EEG,0,0,1,0,1,0,0,1,0,0
TDBRAIN,0,0,0,0,0,0,0,0,0,0
TUAB,0,1,1,0,0,1,1,1,1,1
TUEP,0,1,1,0,1,1,1,1,1,1
TUEV,0,1,1,0,0,1,1,1,1,1
TUSL,0,1,1,0,1,1,1,1,1,1
Awakening,1,0,0,0,0,0,0,0,0,0
HBN_EEG,1,0,0,0,0,0,0,0,0,0
HMC,0,0,0,0,0,0,0,0,0,0
ISRUC_S1,0,0,0,0,0,0,0,0,0,0
ISRUC_S2,0,0,0,0,0,0,0,0,0,0
ISRUC_S3,0,0,0,0,0,0,0,0,0,0
PEARL_Neuro,1,0,0,0,0,0,0,0,0,0
RestCog,1,0,0,0,0,0,0,0,0,0
SleepEDF_full,0,0,0,0,0,0,0,0,0,0
CIRE,0,0,0,0,0,0,0,0,0,0
DEAP_arousal,0,0,0,0,0,0,0,0,0,0
DEAP_valence,0,0,0,0,0,0,0,0,0,0
EEGMAT,0,0,0,0,0,0,0,0,0,0
EEG_SVRec,0,0,0,0,0,0,0,0,0,0
FACED,0,0,0,0,0,0,0,0,0,0
MusicEEG,1,0,0,0,0,0,0,0,0,0
SEED,0,0,0,0,1,0,0,0,0,0
SEED_FRA,0,0,1,0,1,0,0,0,0,0
SEED_IV,0,0,1,0,1,0,0,0,0,0
SEED_V,0,0,1,0,0,0,0,0,0,0
SEED_VIG,0,0,0,0,0,0,0,0,0,0
SEED_VII,0,0,0,0,0,0,0,0,0,0
Workload,0,0,0,0,0,0,0,0,0,0
BCI_Speech,0,0,0,0,0,0,0,0,0,0
Broderick_CP,0,0,0,0,0,0,0,0,0,0
Broderick_Rev,0,0,0,0,0,0,0,0,0,0
ChineseEEG2_RA_Tone,0,0,0,0,0,0,0,0,0,0
Things_EEG2,0,0,0,0,0,0,0,0,0,0
BCIC2A,0,0,1,0,1,0,0,0,0,0
BCIC4_1,0,0,0,0,0,0,0,0,0,0
BenchmarkSSVEP,0,0,0,0,0,0,0,0,0,0
BETA_SSVEP,0,0,0,0,0,0,0,0,0,0
DUAL_FREQ_SSVEP,0,0,0,0,0,0,0,0,0,0
ExoEEG_WalkStop,0,0,0,0,0,0,0,0,0,0
Monitering-Errp,0,0,0,0,0,0,0,0,0,0
Physionet_MI,0,0,0,0,0,0,1,1,0,0
SHU_MI,0,0,0,0,0,0,0,0,0,0
SSVEP,0,0,0,0,0,0,0,0,0,0
