,femba,labram,biot,reve,cbramod,neurolm,neurogpt,eegmamba,brainomni,bendr,eegnet,eegconformer
ad65,0,0,0,0,0,0,0,0,0,0,0,0
adhd,0,0,0,0,0,0,0,0,0,0,0,0
awakening,0,0,0,0,0,0,0,0,1,0,0,0
bcic2a,0,1,0,0,0,1,0,0,0,0,0,0
bcispeech,0,0,0,0,0,0,0,0,0,0,0,0
eegmortalitypd,0,0,0,0,0,0,0,0,0,0,0,0
exoeegwalkstop,0,0,0,0,0,0,0,0,0,0,0,0
facednew,0,0,0,0,0,0,0,0,0,0,0,0
hfo,0,0,0,0,0,0,0,0,1,0,0,0
hmc,0,0,0,0,0,0,0,0,0,0,0,0
isrucs2,0,0,0,0,0,0,0,0,0,0,0,0
physionetmi,0,0,0,1,0,0,0,1,0,0,0,0
tusl,1,1,0,1,1,1,1,1,0,1,0,0
