,femba,labram,biot,reve,cbramod,neurolm,neurogpt,eegmamba,brainomni,bendr,eegnet,eegconformer
ad65,0.6225776279 ± 0.1771560311,0.6802407080 ± 0.0721778047,0.6021355581 ± 0.0656657770,0.5031120818 ± 0.1162024553,0.4991977054 ± 0.0966847317,0.4779496663 ± 0.1161811981,0.4426323070 ± 0.1393853268,0.4767345361 ± 0.0565367960,0.3857069653 ± 0.0278293403,0.3333333333 ± 0.0000000000,0.3797164690 ± 0.0441465317,0.3638852318 ± 0.0437426243
adhd,0.7263054624 ± 0.0127703841,0.7140389640 ± 0.0905715124,0.6115276223 ± 0.0299255011,0.5456801967 ± 0.0415797133,0.6604088245 ± 0.0844543289,0.6443971509 ± 0.0707618488,0.7152784922 ± 0.1113449513,0.6529629644 ± 0.1199401951,0.6734465789 ± 0.0435329943,0.5000000000 ± 0.0000000000,0.6269964275 ± 0.0220310501,0.5997355002 ± 0.0403283055
awakening,0.9796546826 ± 0.0168609968,0.9883529326 ± 0.0033137340,0.9915473568 ± 0.0040473568,0.5863881417 ± 0.0374068641,0.7747154919 ± 0.0357011747,0.8758321789 ± 0.0186001672,0.7831971391 ± 0.0256806193,0.7355078519 ± 0.0370313467,,0.5672133942 ± 0.0196913677,0.6588583705 ± 0.0083357224,0.8113993425 ± 0.0372432243
bcic2a,0.4415509259 ± 0.0390356990,,0.2500000000 ± 0.0000000000,0.3726851852 ± 0.0110105889,0.4687500000 ± 0.0589255651,,0.4270833333 ± 0.0602574797,0.3148148148 ± 0.0029508215,0.3512731481 ± 0.0706824449,0.2500000000 ± 0.0000000000,0.3480902778 ± 0.0234375000,0.3741319444 ± 0.0043402778
bcispeech,0.2140000000 ± 0.0180000000,0.2520000000 ± 0.0000000000,0.2820000000 ± 0.0260000000,0.2080000000 ± 0.0280000000,0.2610000000 ± 0.0150000000,0.2810000000 ± 0.0130000000,0.2060000000 ± 0.0140000000,0.2070000000 ± 0.0130000000,0.1970000000 ± 0.0230000000,0.2000000000 ± 0.0000000000,0.2065000000 ± 0.0095000000,0.2165000000 ± 0.0115000000
eegmortalitypd,0.5237414271 ± 0.0599205801,0.5270741042 ± 0.0064965674,0.6425949822 ± 0.0513690332,0.5011830601 ± 0.0020262304,0.5000000000 ± 0.0000000000,0.5508925771 ± 0.0748652309,0.4929320856 ± 0.0057468808,0.5000000000 ± 0.0000000000,0.5588436902 ± 0.0217801164,0.4998089206 ± 0.0001074592,0.2375000000 ± 0.0043750000,0.2218750000 ± 0.0125000000
exoeegwalkstop,0.5095943516 ± 0.0037960725,0.5297044470 ± 0.0075254223,0.5073699403 ± 0.0051947101,0.5225913278 ± 0.0049248713,0.5698038889 ± 0.0003677338,0.5226504034 ± 0.0069982371,0.4986913185 ± 0.0029799598,0.5113923038 ± 0.0006411918,0.4907527757 ± 0.0007966154,0.5015321413 ± 0.0002339965,0.5354450515 ± 0.0028172977,0.5401852241 ± 0.0006400243
facednew,0.2598132320 ± 0.0193387529,0.2795188351 ± 0.0226318078,0.1921494144 ± 0.0183219957,0.3199588477 ± 0.1184613340,0.4792655904 ± 0.0857870064,0.3520892688 ± 0.1691541710,0.2946343780 ± 0.0797006814,0.2508705286 ± 0.0067773644,0.3336498892 ± 0.0040953938,0.1111111111 ± 0.0000000000,0.4398267471 ± 0.0000000000,0.3937383791 ± 0.0000000000
hfo,0.5393374175 ± 0.0037269524,0.5629725814 ± 0.0095568837,0.5979063772 ± 0.0154209120,0.5899807146 ± 0.0002278076,0.5742208090 ± 0.0146277857,0.5763419071 ± 0.0192249534,0.5766781004 ± 0.0076374027,0.5948177144 ± 0.0185095748,,0.5098110465 ± 0.0098110465,0.5286243497 ± 0.0142535573,0.5229040148 ± 0.0000115730
hmc,0.5937237360 ± 0.0080606801,0.6234029549 ± 0.0117053513,0.5607880938 ± 0.0099727203,0.4921588200 ± 0.0028032312,0.4670568877 ± 0.0130556436,0.6528968910 ± 0.0087289248,0.5742049791 ± 0.0091341689,0.5295745638 ± 0.0180699354,0.6635309606 ± 0.0058471601,0.2026182089 ± 0.0026182089,0.4534375713 ± 0.0217375017,0.5285535700 ± 0.0023295028
isrucs2,0.2487096692 ± 0.0126733922,0.2117715618 ± 0.0060994561,0.2576454717 ± 0.0082642894,0.2529421719 ± 0.0099595882,0.2000000000 ± 0.0000000000,0.2119173754 ± 0.0028764646,0.2698916629 ± 0.0038499752,0.2027272727 ± 0.0027272727,0.2108264231 ± 0.0001292878,0.1962160062 ± 0.0046386946,0.2060677669 ± 0.0074146974,0.2383559885 ± 0.0041275425
physionetmi,0.4979266725 ± 0.0262705226,0.5156041572 ± 0.0219161155,0.3074272257 ± 0.0065491169,,0.5269557219 ± 0.0247637500,0.4927055776 ± 0.0270827839,0.4990801689 ± 0.0287418873,,0.4357495084 ± 0.0918722658,0.2500000000 ± 0.0000000000,0.4373733551 ± 0.0162302814,0.4891099736 ± 0.0151394647
tusl,,,0.7597222222 ± 0.0236111111,,,,,,0.5772486772 ± 0.1235449735,,0.2868589744 ± 0.0048076923,0.4245661746 ± 0.0661745662
