,brainomni,biot,femba,labram,neurolm,cbramod,neurogpt,eegmamba,reve,bendr
EEGDenoiseNet,0.6077027948 ± 0.0314194265,0.5000000000 ± 0.0000000000,0.5000000000 ± 0.0000000000,0.7610770279 ± 0.0079348648,0.5000000000 ± 0.0000000000,0.9986366735 ± 0.0019280348,0.7113156101 ± 0.0135734886,0.5000000000 ± 0.0000000000,0.5954328562 ± 0.0278691085,0.5074982958 ± 0.0037646084
Longitudinal test-retest,0.7263681900 ± 0.0238147346,0.7083932323 ± 0.0099247462,0.6811176585 ± 0.0381752035,0.6774376557 ± 0.0047495625,0.7403423306 ± 0.0226263264,0.6683743641 ± 0.0249348574,0.6980492110 ± 0.0189577486,0.6405073878 ± 0.0129597187,0.6327979294 ± 0.0185996521,0.5111931371 ± 0.0126047284
HFO,PT,0.6384674477 ± 0.0017279980,0.5528449471 ± 0.0057565038,0.5859731448 ± 0.0187786827,0.6318778536 ± 0.0019443850,0.6204747800 ± 0.0049746729,0.5887686263 ± 0.0062238697,0.5983152528 ± 0.0204641180,0.5260759296 ± 0.0067160260,0.4992669429 ± 0.0096360202
Siena EEG,0.6784036118 ± 0.1052632202,0.7223364967 ± 0.1086875320,0.5927982203 ± 0.0586620668,PT,PT,0.5181587276 ± 0.0199658876,0.6187119798 ± 0.0564300531,PT,0.5232405084 ± 0.0153516707,0.5033440126 ± 0.0050494485
Awakening,PT,0.9804733077 ± 0.0031786224,0.9577042027 ± 0.0046892966,0.9380269352 ± 0.0026749736,0.9250452706 ± 0.0100049303,0.8149024077 ± 0.0036582797,0.8162930898 ± 0.0104230303,0.7907126329 ± 0.0231353196,0.6115116622 ± 0.0211250893,0.5321730104 ± 0.0191252904
HMC,0.6562630636 ± 0.0016466839,0.5760222935 ± 0.0034891540,0.6018358859 ± 0.0032334155,0.6443293991 ± 0.0036964011,0.6590826536 ± 0.0048386264,0.5069487974 ± 0.0027156185,0.5713198637 ± 0.0035841861,0.5721012947 ± 0.0036228575,0.4931217806 ± 0.0043889849,0.2081926991 ± 0.0072799774
HBN EEG,PT,0.1212018776 ± 0.0020865218,0.1137793417 ± 0.0031771222,0.1295722196 ± 0.0060661291,0.0866608257 ± 0.0055363060,0.1073416296 ± 0.0086528775,0.1046255114 ± 0.0038690399,0.1102571964 ± 0.0066091262,0.0908767345 ± 0.0057946979,0.0798097750 ± 0.0038846482
PEARL-Neuro,PT,0.4212115127 ± 0.0060966769,0.4366874664 ± 0.0150244226,0.4197205177 ± 0.0077955124,0.4287005309 ± 0.0013180091,0.3828669961 ± 0.0390835186,0.4166556808 ± 0.0115869784,0.3729938784 ± 0.0192640010,0.3682787871 ± 0.0082494006,0.3351702262 ± 0.0026423841
RestCog,PT,0.3677089340 ± 0.0046851951,0.3240432634 ± 0.0017984649,0.3407371223 ± 0.0016069388,0.3351710549 ± 0.0040610712,0.3050152429 ± 0.0013279820,0.2922413794 ± 0.0061166066,0.2342910084 ± 0.0027559407,0.2365271419 ± 0.0012187709,0.2058219329 ± 0.0029748701
SEED,0.5047745679 ± 0.0872824269,0.4888001938 ± 0.0793330296,0.4404184546 ± 0.0905739303,PT,0.4806870100 ± 0.0210218821,0.4787785864 ± 0.1166941970,0.4436371499 ± 0.0351863126,0.4261454346 ± 0.0536572911,0.3781558913 ± 0.0319462440,0.3334629411 ± 0.0001832931
SEED-VII,0.2054753143 ± 0.0081286332,0.1647819251 ± 0.0065659964,0.1903697377 ± 0.0051524050,0.1963093340 ± 0.0124872457,0.1850046309 ± 0.0109483945,0.1822516440 ± 0.0124199828,0.1812050184 ± 0.0193709758,0.1731637847 ± 0.0075910239,0.1501901278 ± 0.0035075055,0.1492422925 ± 0.0126647099
SEED-FRA,0.4262278961 ± 0.0059019242,0.4309173688 ± 0.0245975676,0.4112884922 ± 0.0320764172,PT,PT,0.4215432715 ± 0.0108219087,0.3733448305 ± 0.0025526047,0.3896759767 ± 0.0099863025,0.3465419760 ± 0.0047727294,0.3333333333 ± 0.0000000000
CIRE,0.5408033329 ± 0.0311617394,0.5268731913 ± 0.0243966162,0.5519115324 ± 0.0212234611,0.5063564304 ± 0.0706731024,0.5062976482 ± 0.0158315351,0.5376020095 ± 0.1199799727,0.5449411264 ± 0.0098520050,0.5355855444 ± 0.0399116568,0.5125767696 ± 0.0107036716,0.5096401608 ± 0.0068710550
Workload,0.3139137460 ± 0.0274634438,0.3012552821 ± 0.0612311276,0.3237012180 ± 0.0136218681,0.3354958986 ± 0.0015721975,0.3564752672 ± 0.0348381594,0.3333333333 ± 0.0000000000,0.2483221477 ± 0.0762507012,0.3340790455 ± 0.0006975498,0.3274670644 ± 0.0067176265,0.3324944072 ± 0.0011864208
BCI-Speech,0.1986868922 ± 0.0168488175,0.2088519224 ± 0.0110269410,0.2041400805 ± 0.0093342603,0.2178797487 ± 0.0121724761,0.2339697464 ± 0.0155031348,0.2242657088 ± 0.0136597732,0.2057639343 ± 0.0112186470,0.2123672434 ± 0.0053057356,0.1991399265 ± 0.0199187222,0.2014223118 ± 0.0088052903
Broderick-Cocktail-party,0.5814359248 ± 0.0119883321,0.6085674507 ± 0.0092618104,0.5827466828 ± 0.0070123252,0.6006218606 ± 0.0043467977,0.5399956253 ± 0.0114181552,0.5451205954 ± 0.0154481737,0.5172181072 ± 0.0108085122,0.5111786593 ± 0.0052585597,0.4993576035 ± 0.0061350488,0.5010053157 ± 0.0023746181
Broderick-reverse,0.5598811435 ± 0.0104211667,0.5300820373 ± 0.0078345783,0.5842788949 ± 0.0160079590,0.5797258253 ± 0.0072349134,0.6415927573 ± 0.0119160761,0.8473925375 ± 0.0148365820,0.5300620958 ± 0.0106648365,0.4994681039 ± 0.0005318961,0.5321137967 ± 0.0037485164,0.5000000000 ± 0.0000000000
Broderick-reverse,0.5135985625 ± 0.0068617917,0.6154542797 ± 0.0153969414,0.5741329084 ± 0.0161622801,0.5888761427 ± 0.0128290251,0.5770673836 ± 0.0141711111,0.5000000000 ± 0.0000000000,0.5000000000 ± 0.0000000000,0.4985316994 ± 0.0010177834,0.5128441898 ± 0.0026709149,0.5001688255 ± 0.0002747198
ChineseEEG2-RA-Tone,0.2457419336 ± 0.0065430081,0.2517000499 ± 0.0022361205,0.2491509449 ± 0.0067871874,0.2486099457 ± 0.0008769067,0.2461264860 ± 0.0043030720,0.2496829359 ± 0.0021850002,0.2494214899 ± 0.0060737382,0.2485592712 ± 0.0011690376,0.2516998277 ± 0.0033245215,0.2463608008 ± 0.0062013813
BCIC-IV-2a,0.3142651271 ± 0.0050228919,0.2500000000 ± 0.0000000000,0.3194608738 ± 0.0119224175,PT,PT,0.2745455252 ± 0.0084847018,0.3000278074 ± 0.0129053972,0.2874400285 ± 0.0043708850,0.2523222804 ± 0.0164000722,0.2396541618 ± 0.0068531586
Physionet-MI,0.3449894016 ± 0.0234573738,0.2514784973 ± 0.0133085217,0.2569867673 ± 0.0204961887,0.2675527532 ± 0.0223083803,0.2837996762 ± 0.0015679006,0.2541645245 ± 0.0232231313,0.2772296140 ± 0.0132268862,PT,PT,0.2766628735 ± 0.0024402213
SHU-MI,0.5662176958 ± 0.0153368465,0.5206736445 ± 0.0056704866,0.5248268763 ± 0.0110731420,0.4957929585 ± 0.0111003079,0.5160594562 ± 0.0055665511,0.5079021055 ± 0.0059131425,0.5010096968 ± 0.0081351986,0.5091016872 ± 0.0121097686,0.5334385541 ± 0.0179472514,0.4920348635 ± 0.0164410930
BETA-SSVEP,--,--,--,--,--,--,--,--,0.0393215002 ± 0.0039591964,--
BETA-SSVEP,0.0358394133 ± 0.0003111817,0.0304805596 ± 0.0033728693,0.0425801635 ± 0.0060087641,0.0247379678 ± 0.0013130369,0.0270105230 ± 0.0061067491,0.0286126721 ± 0.0013578901,0.0284973286 ± 0.0026159035,0.0238267492 ± 0.0012370211,0.0238611533 ± 0.0036740378,0.0338850642 ± 0.0046892116
Dual-Freq-SSVEP,0.0541404694 ± 0.0060859353,0.0283649106 ± 0.0010258342,0.0355055627 ± 0.0075094295,0.0226630314 ± 0.0009766545,0.0370588439 ± 0.0028502080,0.0291931217 ± 0.0037447765,0.0210041926 ± 0.0069023816,0.0252513228 ± 0.0104920281,0.0321480371 ± 0.0031120096,0.0245072751 ± 0.0061742190
SSVEP-9-chn,0.0196428571 ± 0.0045526960,0.0062500000 ± 0.0000000000,0.0074404762 ± 0.0008417938,0.0071428571 ± 0.0025253814,0.0258928571 ± 0.0007290148,0.0068452381 ± 0.0027600055,0.0068452381 ± 0.0018346470,0.0116071429 ± 0.0033407655,0.0059523810 ± 0.0027600055,0.0116071429 ± 0.0019287919
Monitoring-Errp,0.5117515450 ± 0.0190286548,0.5000140286 ± 0.0066529680,0.4943221834 ± 0.0015832753,0.4914963481 ± 0.0074099131,0.5120413027 ± 0.0230828636,0.5053724764 ± 0.0240179808,0.5032887544 ± 0.0032663723,0.5099347493 ± 0.0090650067,0.4933150461 ± 0.0087782369,0.5091623792 ± 0.0214274935
