epoch,train_loss,val_loss,lr,train_avg_data_time,train_avg_step_time,val_avg_step_time
epoch,train_loss,val_loss,lr,train_avg_data_time,train_avg_step_time,val_avg_step_time
epoch,train_loss,val_loss,lr,train_avg_data_time,train_avg_step_time,val_avg_step_time
epoch,train_loss,val_loss,lr,train_avg_data_time,train_avg_step_time,val_avg_step_time
0,0.16746786,0.12460322,0.0004992309,5.76763418,0.87758576,0.28870625
1,0.14738532,0.12179788,0.0004969282,10.18244599,0.87548071,0.29365875
2,0.14138190,0.12603978,0.0004931063,15.25886841,0.87720048,0.29196806
3,0.13917545,0.11807590,0.0004877886,15.24369555,0.87601282,0.29298425
4,0.13516569,0.11417212,0.0004810079,12.64114125,0.87822002,0.29417240
5,0.13575446,0.11336616,0.0004728061,0.19041201,0.87639312,0.29030853
6,0.13316611,0.11363565,0.0004632337,0.19954388,0.87774231,0.29334742
7,0.13324195,0.11211249,0.0004523497,0.14770495,0.87358570,0.28926837
8,0.13254643,0.11669900,0.0004402213,0.14508316,0.87391257,0.29342502
9,0.13094766,0.10906679,0.0004269231,0.14610581,0.87468347,0.28926732
10,0.13081244,0.11010512,0.0004125373,0.14312692,0.87442042,0.28930513
11,0.13037223,0.11116338,0.0003971524,0.14334554,0.87357171,0.28910765
12,0.12796432,0.11308121,0.0003808634,0.14943394,0.87240776,0.28986965
13,0.12728496,0.10990685,0.0003637706,0.14336638,0.87443997,0.28912207
14,0.12655708,0.10872040,0.0003459795,0.14117368,0.87517327,0.28972665
15,0.12713657,0.10794207,0.0003275997,0.14676627,0.87243006,0.28872820
16,0.12641285,0.10892198,0.0003087446,0.15195397,0.87381502,0.29154167
17,0.12541783,0.10612096,0.0002895304,0.15062701,0.87300108,0.29344912
18,0.12449230,0.10627543,0.0002700755,0.15920474,0.87433003,0.29257606
19,0.12263772,0.10740082,0.0002505000,0.15872690,0.87508088,0.28877268
20,0.12248254,0.10494141,0.0002309245,0.16078366,0.87452108,0.29313095
21,0.12151438,0.10528615,0.0002114696,0.16495553,0.87526346,0.28912121
22,0.12047153,0.10046751,0.0001922554,0.16497962,0.87425562,0.29300991
23,0.11945911,0.10472156,0.0001734003,0.16830422,0.87541066,0.28882482
24,0.11919106,0.10266499,0.0001550205,0.19920298,0.87706812,0.28946735
25,0.11696218,0.09655145,0.0001372294,0.19062753,0.87667651,0.29286157
26,0.11746529,0.10119939,0.0001201366,0.19928868,0.87736813,0.29183054
27,0.11580221,0.09786654,0.0001038476,0.19572332,0.87741621,0.28928425
28,0.11647620,0.09669708,0.0000884627,0.20098187,0.87654431,0.29294874
29,0.11570891,0.10036645,0.0000740769,0.18232963,0.87556824,0.28918172
30,0.11531079,0.10175183,0.0000607787,0.18104220,0.87441170,0.29282552
31,0.11584000,0.09914908,0.0000486503,0.20984763,0.87401618,0.29318736
32,0.11640682,0.09989189,0.0000377663,0.20556394,0.87539910,0.28887869
33,0.11684636,0.10174019,0.0000281939,0.17740598,0.87580600,0.28951727
34,0.11555990,0.10102055,0.0000199921,0.19251779,0.87548574,0.28884913
35,0.11613767,0.09962312,0.0000132114,0.18236375,0.87557235,0.29300781
36,0.11666483,0.10224338,0.0000078937,0.17444960,0.87600732,0.29309203
37,0.11593262,0.10128895,0.0000040718,0.17528710,0.87502642,0.29305406
38,0.11692799,0.10177683,0.0000017691,0.16770642,0.87625247,0.28884559
39,0.11693507,0.10363637,0.0000010000,0.17469801,0.87329715,0.28873449
